"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
HCA001-DN374946-82091361,Contract,"Homes England (the name adopted by the Homes and Communities Agency)",Awarded,2018-11-22T12:06:19Z,"Homes England Property Professional Services / Corby","Homes England required to appoint a Valuer from its national property panel .  The appointed valuer is CBRE and their work will include providing valuation on ongoing development.  All work will be instructed under the standard terms of HCA property panel dated  June 2018.
https://procontract.due-north.com/ContractsRegister/ViewContractDetails?contractId=3531b5fe-08e1-e811-80ef-005056b64545&returnPage=ContractsRegisterSettings",,,"East Midlands","70000000 ",,etendering@homesengland.gov.uk,"5 St Philips Place","Colmore Row",Birmingham,"B3 2PW",England,,,,"https://procontract.due-north.com/ContractsRegister/ViewContractDetails?contractId=3531b5fe-08e1-e811-80ef-005056b64545&returnPage=ContractsRegisterSettings ",,22/11/2018,31/03/2020,12/11/2018,NO,,Yes,No,No,Services,68750,,21/11/2018,68750,"[CBRE|W1G 0NB|NONE||No|No]","Mr Justin Carty",22/11/2018,31/03/2020,"NotApplicable ",
LBSUT001-DN356775-44267893,Contract,"London Borough of Sutton",Awarded,2018-07-31T17:13:41Z,"Financial development appraisal of the Council's 'Northern Gateway'  town centre housing regeneration estates","Appointment of CBRE is proposed through 'Direct Award' via the Crown Commercial Services - Estate Professional Services Framework Agreement RM 3816, Lot 1 (National).",,,London,"71000000 ","Sharon King-Holmes",sharon.king-holmes@sutton.gov.uk,"Civic Offices","St Nicholas Way",Sutton,"SM1 1EA","United Kingdom","+44 2087705316",http://www.sutton.gov.uk/,,,,02/05/2018,31/10/2018,30/04/2018,NO,,Yes,Yes,No,Services,0,35000,01/05/2018,35000,"[CBRE|Henrietta House                                                                                                
8 Henrietta Place                                                                               London, Greater London, W1G 0NB,|NONE||No|No]",CBRE,02/05/2018,31/10/2018,"Open ",
HCA001-DN326071-56539575,Contract,"Homes England (the name adopted by the Homes and Communities Agency)",Awarded,2018-07-20T16:30:16Z,"Homes England - Property Panel - Property Advice - Lodge Hill, Medway","Professional Property Services provided to Homes England by CBRE.

Property Market and Viability Services on the Lodge Hill Site (Medway) incorporate the following;
Development appraisal / financial viability modelling work linked to emerging masterplan(s);
Inputs into formulation of development costs of implementing considerable physical infrastructure;
Inputs into delivery of scheme;
Advice on land acquisitions and disposals.
Strategic advice relating to options for procurement of a development partner including bid analysis and evaluation.
https://www.gov.uk/government/publications/homesengland-contracts-and-tenders",,,"South East","70000000 ",,etendering@homesengland.gov.uk,Eastbrook,"Shaftesbury Road",Cambridge,"CB2 8BF","United Kingdom",,,,,,13/07/2018,01/06/2020,06/03/2018,NO,,Yes,No,No,Services,63333,,13/07/2018,63333,"[CBRE|W1G 0NB|NONE||No|No]","Mr Justin Carty",16/07/2018,01/06/2020,"NotApplicable ",
"CEC0002 - AWARD",Contract,"Cirrus Purchasing",Awarded,2020-04-17T14:36:04Z,"Cheshire East Borough Council - Procurement of Fund Management Services_ - AWARD","As part of a package of programmes to stimulate and drive growth, the LEP in conjunction with Cheshire East Borough Council as the accountable body, has secured £20m of European Regional Development Funds (ERDF) to establish an investment fund called the Cheshire and Warrington Development Fund (CWDF).
      
      The proposed CWDF will be complementary to the Evergreen 1 fund established in 2011 and the Greater Manchester Evergreen 2 fund. The Evergreen 1(EG1) fund was very successful. Cheshire and Warrington received £37m (some of this is still in final assessment) from the fund which is now fully committed.
      
      The tender process was for the procurement of fund management services to deliver the CWDF. As part of the contract, the successful service provider will be required to deliver the following services:
      
      - Manage and market the fund and the entire investment cycle
      - Launch the fund
      - Market the fund
      - Manage all enquires
      - Generate applications to the fund
      - Secure a minimum of £20m of match funding which can be at a fund or investee level
      - Identify, monitor and report co-investment in accordance with Article 1 of the Commission Implementing Regulation (821/2014).
      - Work with other funds, funders, and investees, most notably Evergreen 1 to assess the benefit of adding this funding to wider funding packages for projects
      - Assess and develop the applications
      - Invest the funds
      - Carry out financial and commercial due diligence
      - Ensure all investments made are state aid compliant
      - Issue heads of terms
      - Make investment recommendations to the CWDF board
      - Issue contracts for investments
      - Monitor the investments and ensure repayments are made on time, and if not work with the applicant to take remedial action
      - Ensure outputs are achieved and recorded in compliance with ERDF guidelines.
      
      CBRE Indirect Investment Services Ltd were the successful service provider awarded the contract.",,"CW7 1AH","North West","66171000 ","Mike Munro",mmunro@cirruspurchasing.co.uk,"Wyvern House","The Drumber",Winsford,"CW7 1AH","United Kingdom",07572108320,,,,,09/04/2020,08/04/2030,05/11/2019,NO,,Yes,No,No,Services,600000,1000000,24/01/2020,320000,"[cbre limited|henrietta house, United Kingdom, w1G 0NB|NONE||No|No]","William Church",09/04/2020,08/04/2030,"Open ",
ncgcorporation001-DN230643-67608421,Contract,"NCG Corporation",Awarded,2017-08-08T15:08:03Z,"NCG161004FC - Mechanical & Electrical Maintenance Services for Newcastle College*****AWARD*****","NCG Corporation have awarded a contract to CBRE Managed Services Ltd for  Mechanical & Electrical Maintenance Services for Newcastle College following completion of a non-EU tender.  This is a contract award notice as per PCR15 as the value of the award is above �25,000. The Contract shall be awarded for an initial period of 2 years and 6 months, with a possible +1 +1 extension.",,,"North East","50710000 ","Noel Proudfoot",Noel.Proudfoot@ncgrp.co.uk,"John Marley Centre","Off Whickham View","Newcastle upon Tyne","NE15 6TT","United Kingdom","+44 1912004091",https://www.ncgrp.co.uk,,,,01/07/2017,31/12/2019,16/01/2017,NO,,Yes,No,No,Services,861175,1583344,16/06/2017,861175.87,"[CBRE Managed Services Ltd|CBRE, City Bridge House, 57-59 Southwark Street, London, SE1 1RU|||No|No]","Jennifer Foster",01/07/2017,31/12/2019,"NotSpecified ",
BRISTOLCC001-DN487091-74052484,Contract,"Bristol City Council",Awarded,2020-08-25T14:02:32Z,"CCS Estates Professional Services RM3816 - St Mary Le Port","Redevelopment of St Mary Le Port Bristol.\r
Call off from compliant framework - CCS Estates Professional Services RM3816",,,England,"71000000 ","Niotia Ferguson",niotia.ferguson@bristol.gov.uk,"Bristol City Council","P O Box 3176",BRISTOL,"BS3 9FS",England,"+44 1179037674",https://www.bristol.gov.uk/,,,,01/09/2020,31/03/2021,27/07/2020,NO,,Yes,No,No,Services,22500,22500,25/08/2020,22500,"[CBRE|W1G 0NB|NONE||Yes|No]","Mr Justin Carty",01/09/2020,31/03/2021,"Open ",,12:00
GMCA001-DN453447-05311616,Contract,"Greater Manchester Combined Authority",Awarded,2020-03-31T00:00:00Z,"Fund Investment Adviser, Operator and Administrator Services for the Low Carbon Fund","The GMCA are looking to procure an  Investment Adviser who shall be responsible for: (a) developing the pipeline of Potential Projects, following the origination of Potential Projects from public sector partners and the Investment Adviser's own network of contacts; (b) arranging the investment in and leading the negotiation and structuring of financial deals in viable projects with Project Developers who are Qualifying Financial Recipients and which fit within the Investment Policy. All projects should at least be in compliance with Applicable Requirements and the Eligibility Rules, including State Aid Law and have soundness in terms of business model, cash flow projections, investment and project implementation partners; (c) monitoring compliance and risk in accordance with Applicable Requirements and the Eligibility Rules, including the pursuit (investigation and where applicable correction and recovery) of irregularities at final recipient level where required; (d) managing and arranging Relevant Investments in order to meet the Targets; and (e) recommending and managing appropriate exit strategies from Relevant Investments. Full details on scope of the requirement can be found in the Tender Pack",,,"North West","66000000 ","Bushra Dawood",dawoodb@manchesterfire.gov.uk,"Greater Manchester Fire and Rescue Service Headquarters","146 Bolton Road, Swinton",Salford,"M27 8US",England,"+44 1616084120",http://www.manchesterfire.gov.uk/,,,,02/03/2020,01/03/2024,28/01/2020,NO,,Yes,Yes,No,Services,900000,900000,06/03/2020,690000,"[CBRE|W1G 0NB|NONE||No|No]","Mrs Sarah Pickard",09/03/2020,08/03/2024,"Open ",
"TfL 93535 Task 007 BC501",Contract,"TRANSPORT FOR LONDON",Awarded,2019-06-25T11:08:57Z,"CR2 Property Services Consultant","Property Advisory Services to CR2",,,London,"63000000 79000000 ",,CommercialCoE@TfL.gov.uk,"55 Broadway",,London,"SW1H 0BD",England,,,"TfL 93535 T007 BC501   CR2 Property Consultant Contract  REDACTED.pdf ",,,11/03/2019,10/03/2022,05/03/2019,NO,,No,No,No,Services,104000,104000,05/03/2019,104000,"[CBRE|St Martin's Court, 10 Paternoster Row, London, EC4M 7HP|NONE||No|No]",,11/03/2019,10/03/2022,"CallOffFromFrameworkAgreement ",
P105865,Contract,"MET OFFICE",Awarded,2019-04-08T14:31:33Z,"Facilities Management Services","Contract awarded following Competitive Dialogue Procedure.",,,"South West","79993000 ",,procurement.enquiries@metoffice.gov.uk,"Fitzroy Road",,EXETER,EX13PB,England,,,,"https://ted.europa.eu/TED/notice/udl?uri=TED:NOTICE:299410-2017:TEXT:EN:HTML ",,12/12/2018,11/12/2023,22/09/2017,NO,,Yes,No,No,Services,550000,,18/08/2018,550000,"[CBRE|ASSET MANAGEMENT 
6TH FLOOR, EAGLE BUILDING 
215 BOTHWELL STREET 
GLASGOW
G2 7EZ|COMPANIES_HOUSE|3536032|No|No]",,12/12/2018,11/12/2023,"CompetitiveDialogueOJEU ",
2018-1456-DEVCONSULT-TT-CH,Contract,"UNIVERSITY OF MANCHESTER",Awarded,2018-11-01T10:20:21Z,"Provision of Development Consultancy and Related Services","This is a contract award notice",,,"North West","73220000 ",,procurement@manchester.ac.uk,"Oxford Road",,MANCHESTER,M139PL,England,,,,,,01/10/2018,31/07/2024,30/08/2018,NO,,Yes,Yes,No,Services,100000,,24/09/2018,100000,"[Cbre|St Martins Court
EC4M 7HP
GB|COMPANIES_HOUSE|03536032|No|No]",,01/10/2018,31/07/2024,"CallOffFromFrameworkAgreement ",
HCA001-DN360336-28134957,Contract,"Homes England (the name adopted by the Homes and Communities Agency)",Awarded,2018-08-17T09:19:47Z,"Homes England - WM Due Diligence, West Midlands","Homes England awarded a contract for property due diligence on a WM scheme from the Homes England Property Framework",,,"West Midlands","70000000 ",,etendering@homesengland.gov.uk,"Windsor House","42-50 Victoria Street",London,"SW1H 0TL","United Kingdom",,,,,,17/08/2018,31/08/2018,13/08/2018,NO,,No,No,No,Services,46200,,16/08/2018,46200,"[CBRE|W1G 0NB|NONE||No|No]",,17/08/2018,31/08/2018,"Open ",
"CPD 004 116 056",Contract,"CROWN COMMERCIAL SERVICE",Awarded,2015-11-05T15:59:28Z,"Appointment of and agent to assist in the serach for a site for the new National Memorial to the Holocaust and Learning Centre","1    On behalf of the UK Holocaust Memorial Foundation (UKHMF), the    Department for Communities and Local Government (DCLG) is seeking to award a Contract to one (1) Contractor to conduct a thorough search of Central London for possible sites for a new National Memorial to the Holocaust and Learning Centre.

1.2   The Contractor shall be required to:

1.2.1	Engage with all major landowners in Central London to identify all available and suitable sites that meet the criteria as set out in the site briefing. 

1.2.2	Establish for each viable site – as a minimum – ownership and control of the site and relevant contact details; approximate size; estimated cost of acquisition; the nature of the site and development proposition; and an assessment of possible planning or other objections.

1.2.3	Make recommendations to UKHMF based on price, accessibility, prominence and quality of space.",,,London,"70300000 ","Fiona Holmes",fiona.holmes@crowncommercial.gov.uk,"Aviation House, 125 Kingsway",,London,"WC2B 6NH",England,,,"Bravo Solution Registration.doc Annex B_038 Part A Conditions of Contract General.doc Annex E_038 - Form of Tender (FINAL).doc Annex C Property Agent Evaluation Matrix (1).xlsx Copy of Annex D_038 Priced and Unpriced Resource Schedule Template.xlsx Annex B_038 Part D Conditions of Contract for Services.doc Annex A Specification Site Agent Final.docx 1. CPD 004 116 056 Site agent ITT Final.doc ",,,16/11/2015,24/12/2015,12/11/2015,NO,,Yes,Yes,No,Services,0,,16/11/2015,0,"[CBRE|St Martins Court
London
EC4M 7HP|||No|No]",,16/11/2015,24/12/2015,"Open ",
WYCHAVON001-DN461315-84450492,Contract,"Wychavon District Council",Awarded,2020-10-28T11:57:15Z,"Wychavon Town Centres Prospectuses","Wychavon District Council is seeking to appoint a consultant to produce three individual town centre prospectuses covering the towns of Droitwich Spa, Evesham and Pershore. The purpose of each prospectus is to provide a clear direction of travel for attracting and shaping future investment to meet each town's unique challenges and opportunities whilst taking into account national and international trends and best practice.",,,"West Midlands","73000000 ",,procurement@wychavon.gov.uk,"Civic Centre","Queen Elizabeth Drive",Pershore,"WR10 1PT","United Kingdom",,http://www.wychavon.gov.uk/,,"https://procontract.due-north.com/Advert?advertId=be09cf19-3f43-ea11-80ff-005056b64545 ",,15/11/2020,30/06/2021,06/03/2020,NO,,Yes,No,No,Services,0,0,26/10/2020,113156,"[CBRE Ltd|1 St Peter's Square
Manchester
M2 3DE|NONE||No|No]",,15/11/2020,30/06/2021,"NotApplicable ",,12:00
P108252,Contract,"MET OFFICE",Awarded,2020-10-19T16:34:19Z,"Maintenance and repair services","Corrective maintenance and repair services.",,,"South West","50000000 ",,procurement.enquiries@metoffice.gov.uk,"Fitzroy Road",,EXETER,EX13PB,England,,,,,,17/06/2020,07/07/2020,16/06/2020,NO,,Yes,No,No,Services,31700,,16/06/2020,31700,"[CBRE MANAGED SERVICES LTD|61 SOUTHWARK STREET
LONDON
SE11RU|NONE_OTHER||No|No]",,17/06/2020,07/07/2020,"SingleTenderActionNonOJEU ",,12:00
P108253,Contract,"MET OFFICE",Awarded,2020-10-19T16:18:15Z,"Electric Vehicle Charging Infrastructure","Electric vehicle charging infrastructure installation to join existing network.",,,"South West","45300000 ",,procurement.enquiries@metoffice.gov.uk,"Fitzroy Road",,EXETER,EX13PB,England,,,,,,17/06/2020,31/07/2020,16/06/2020,NO,,Yes,No,No,Products,26400,,16/06/2020,26400,"[CBRE MANAGED SERVICES LTD|61 SOUTHWARK STREET 
LONDON
SE1 1RU|NONE_OTHER||No|No]",,17/06/2020,31/07/2020,"SingleTenderActionNonOJEU ",,12:00
