"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
"CQC PSO 003 CCN 003 CHOICE SUPPORT",Contract,"Care Quality Commission",Awarded,2019-07-10T11:09:19Z,"Experts by Experience","Experts by Experience. 12 month contact extension linked to main contract CQC PSO 020 with Choice Support",,,"Any region","85000000 ",,commercialcontracts@cqc.org.uk,"151 Buckingham Palace Road",Victoria,London,"SW1W 9SZ",England,,,"20190702 CQC PSO 020 Choice Support Deed of Variation Year 4 REDACTED.pdf ",,,01/04/2019,31/03/2020,01/01/2019,NO,,Yes,Yes,No,Services,0,,01/03/2019,0,"[CHOICE SUPPORT|ONE HERMITAGE COURT,HERMITAGE LANE
MAIDSTONE
KENT
ME16 9NT
GB|COMPANIES_HOUSE|08971493|No|Yes]",,01/04/2019,31/03/2020,"Other Contract variation",
DN341147,Contract,"Wakefield Council Customer Service",Awarded,2018-09-28T15:52:37Z,"Supported Living Services for Adults with Broad Ranging Learning Difficulties and Mental Health Needs","Contract for care and support services for approximately 77 adults with broad ranging learning disabilities and complex health needs across 24 supported living properties, to help them live fulfilling and independent lives.

Alongside the delivery of care and support within this contract, the Council intends to carry out a programme of transformation, working with the successful provider, service users and their families and representatives and partner organisations (including health partners) to deliver improved services and increased choice.

The contract will commence on 3 December 2018 and run for an initial period of 3 years (36 months) making the initial expiry date 2 December 2021.	  There will be an option to extend by up to a further 2 years (24 months) at the sole discretion of the Council, making the last possible end date 2 December 2023.",,,"Yorkshire and the Humber","85311200 ",,hwatson@wakefield.gov.uk,"County Hall","Bond Street",WAKEFIELD,"WF1 2QW",England,01924306838,,,,,03/12/2018,02/12/2021,08/08/2018,YES,DN341147,Yes,Yes,No,Services,28350000,,27/09/2018,28350000,"[Choice Support|100 Westminster Bridge Road
SE1 7XA
GB|COMPANIES_HOUSE|02189556|No|No]","Kim Arnold",03/12/2018,02/12/2021,"OpenOJEU ",
"CQC PSO 020 Choice",Contract,"Care Quality Commission",Awarded,2016-05-18T17:39:30Z,"Care Quality Commission Experts by Experience","Please view attached contract for full description of services.",,,"Any region","85000000 73000000 ","Commercial and Contracts Team",commercialcontracts@cqc.org.uk,"Buckingham Palace Road",,London,"SW1W 9SZ",England,,www.cqc.org.uk,"20160513 CQC PSO 020 Choice Part 1.pdf 20160513 CQC PSO 020 Choice Part 3_Redacted.pdf 20160513 CQC PSO 020 Choice Part 2 Redacted.zip ",,,01/02/2016,31/07/2017,16/07/2015,NO,,No,Yes,No,Services,3775650,,01/02/2016,3775650,"[Choice Support|100 Westminster Bridge Road
London, SE1 7XA.|||No|No]",,01/02/2016,31/07/2017,"Other ",
LBSUT001-DN356792-29194917,Contract,"London Borough of Sutton",Awarded,2019-08-06T10:32:48Z,"Supported Living - Locality Care & Support Providers","The London Borough of Sutton (""the Council"") intends to commission care and support services to support the independence and wellbeing of Sutton Service Users living in the Council's commissioned supported living schemes with a learning disability. 

The Council is introducing new arrangements for commissioned supported living schemes, which include:

A locality approach 
Focus on outcomes
'Core and Individual' care and support model
Partnership arrangements with the landlord",,,London,"85300000 ","Category Management",categorymanagement@sutton.gov.uk,"Civic Offices","St Nicholas Way",Sutton,"SM1 1EA","United Kingdom","+44 2087704590",http://www.sutton.gov.uk/,,,,01/01/2019,31/12/2023,10/09/2018,NO,,No,No,No,Services,30000000,30000000,08/01/2019,30000000,"[Choice Support|SE1 7XA|NONE||Yes|No][Living Ambitions Limited|SE1 0AS|NONE||Yes|No][Walsingham|N11 1GN|NONE||No|No]","Mr Stephen Winter",01/04/2019,31/03/2024,"Restricted ",
"CQC PSO   195",Contract,"Care Quality Commission",Awarded,2020-04-27T15:59:24Z,"Experts By Experience","The Care Quality Commission (""CQC"") is seeking to re-procure its future ""Experts by Experience"" service requirement.
Experts by experience are people who have personal experience of the services we regulate, either directly or as carers.
During inspections, experts by experience speak with people using services and their family or organisations that support them. They may also watch how the service is delivered and speak to staff. Their findings are used to support inspectors' judgements on services and may be included in inspection reports.
We want experts by experience to provide three types of support:
- inspection - support to site visits and telephone calls,
- monitor and insight - support gathering local and national information from the public. This will include special reviews and investigations as well as work raising public awareness of CQC,
- co-production - support to policy and guidance development and delivery of CQC staff training.
To aid CQC in developing its ways of working, the day-to-day activities of ExE will be managed by an external organisation on CQC's behalf, which will involve the co-ordination and arrangement of activities.

CQC is seeking to utilise the Restricted Procedure (as defined in Regulation 28 of the Public Contract Regulations 2015) and also employing the provisions of the Light Touch Regime (LTR) as detailed in Regulations 74 to 76 of the Public Contract Regulations 2015.
In accordance with Regulation 28 of the Public Contract Regulations 2015, only those economic operators who have passed an initial, qualitative, selection criteria will be invited to tender to provide the service by CQC.

During the life of the Contract including any period(s) of extension(s), CQC reserves the right to modify the Services as described in this Statement of Requirements, Core Services A and Additional Services B relying on Regulation 72 (1)(a) of the Public Contracts Regulations 2015, without a new procurement irrespective of the monetary value of the modification. Any modification of the Contract will be undertaken by variation in accordance with clause F3 ""Variation"" of the Contract.",,,"North East,North West,Yorkshire and the Humber,East Midlands,West Midlands,East of England,London,South East,South West","85000000 ",,commercialcontracts@cqc.org.uk,"151 Buckingham Palace Road",,London,"SW1W 9SZ",England,,,"Choice Support Experts by Experience Contract v4 Redacted.pdf ","https://cqc-commercial.bravosolution.co.uk/web/login.html? https://ted.europa.eu/udl?uri=TED:NOTICE:393425-2019:TEXT:EN:HTML&src=0 ",,01/04/2020,31/03/2023,19/09/2019,YES,"CQC PSO  195",Yes,Yes,No,Services,9500000,,20/12/2019,9058920,"[CHOICE SUPPORT|ONE HERMITAGE COURT,HERMITAGE LANE
MAIDSTONE
KENT
ME16 9NT
GB|COMPANIES_HOUSE|08971493|No|No]",,01/04/2020,31/03/2023,"RestrictedOJEU ",
BUCKSH001-DN168381-95331216,Contract,"Buckinghamshire County Council",Awarded,2017-12-08T10:30:25Z,"Tender for Provision of Supported Living for Adults with Learning Disabilities PPL5- 3LD","Contract award: The contract was awarded for existing accommodation-based care and support services for adults with a learning disability. The service comprises of 20 flats providing care and accommodation to a total of 22 people. Contract term 5 years with option to extend for 2 years.",,"HP20 1UA","Any region","85300000 85310000 ","Ann Spence",aspence@buckscc.gov.uk,"County Hall","Walton Street",Aylesbury,"HP20 1YG","United Kingdom","+44 1296382934",http://www.buckscc.gov.uk,,,,03/04/2017,02/04/2022,19/07/2016,NO,,Yes,Yes,No,Services,1239664,,08/11/2016,1239664,"[Choice Support Limited|100 Westminster Bridge Road
London
SE1 7XA|NONE||No|No]",,03/04/2017,02/04/2022,"Restricted ",
"
            MT151849",Contract,"London Borough of Merton",Awarded,2015-04-07T08:11:47Z,"Supported Living Service for 17 adult customers with learning disabilities","The London Borough of Merton invites suitably qualified and experienced organisations to provide an accommodation-based 'Supported Living' service for 17 adult customers with learning disabilities, the majority of whom have complex needs, across three sites (two in the borough of Merton and one in the borough of Sutton).",,,London,"85000000 ","Nick Robinson",procurement@merton.gov.uk,"Civic Centre","London Road","Morden, Surrey","SM4 5DX","
              England
            ","+44 2085453043",www.merton.gov.uk/procurement,,"http://www.mytenders.org/search/show/search_view.aspx?ID=APR107714 ",,01/01/2015,31/12/2017,29/04/2014,NO,,Yes,No,No,Services,979889,,13/11/2014,979889,"[Choice Support|Ground Floor, 100 Westminster Bridge Road,, London|||No|No]",,01/01/2015,31/12/2017,"Restricted ",
ASD00165.2.G.LPHav,Contract,"HAMPSHIRE COUNTY COUNCIL",Awarded,2016-02-03T15:18:52Z,"Launchpad Havant","The Launchpad service provides community based leisure, occupational and vocational activities to service users who currently attend Hampshire County Council operated day services in the Havant area. Small groups of people (typically three or four people) are supported to participate in activities of their choosing.  The provider will take a lead on facilitating the day opportunities that people want to follow and managing any changes that occur over time.

The service provider will work pro-actively to incorporate an outcomes focused approach to the delivery of services. This will result in service users being enabled to participate in community based activities independently, freeing capacity for new referrals.",,,"South East","85000000 ","Nick Buchanan",nick.buchanan@hants.gov.uk,"Elizabeth II Court","The Castle",Winchester,"SO23 8UQ",England,,,,,,09/11/2015,08/11/2018,25/08/2015,NO,,Yes,Yes,No,Services,394178,656964,14/09/2015,394178,"[Choice Support|Ground floor, Building 400, Langstone Gate, Havant PO9 1TR|||No|No]",,09/11/2015,08/11/2018," ",
"CQC PSO 020 CCN 002",Contract,"Care Quality Commission",Awarded,2018-07-26T13:49:03Z,"Experts By Experience - Central","Contract variation to extend main contact for Experts by Experience Central region for a further 10 months up to 31/01/2019",,,"Any region","85000000 ",,commercialcontracts@cqc.org.uk,"151 Buckingham Palace Road",Victoria,London,"SW1W 9SZ",England,,,"20180718 CQC PSO 020 Choice support CCN002 GDPR + Extension_Redacted.pdf ",,,01/06/2018,31/01/2019,01/05/2018,NO,,No,Yes,No,Services,0,,07/05/2018,0,"[Choice Support|100 Westminster Bridge Road
LONDON
SE1 7XA
GB|COMPANIES_HOUSE|2189556|No|Yes]",,01/06/2018,31/01/2019,"Other Contract Extension",
"CQC PSO 020 contract variation Central region",Contract,"Care Quality Commission",Awarded,2017-12-12T15:49:49Z,"Experts By Experience - Central Region","Contract variation to extend the Experts by experience -Central region contract for a further 10 months with no additional costs",,,"Any region","85000000 ",,commercialcontracts@cqc.org.uk,"1251 Buckingham Palace Road",Victoria,London,"SW1W 9SZ",England,,,"20171212 CQC PSO 020 Choice Support variation_Redacted.pdf ",,,01/08/2017,31/05/2018,31/05/2017,YES,"CQC PSO 020 Choice",No,No,No,Services,0,,03/07/2017,0,"[Choice Support|100 Westminster Bridge Road
London
SE1 7XA|NONE||No|No]",,01/08/2017,31/05/2018,"Other Contract variation",
