"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
"Cap 09",Contract,"H M GOVERNMENT CABINET OFFICE",Awarded,2017-09-06T15:22:39Z,"Cabinet Office Contingent Labour One, Lot1 call off contract","Contingent Labour One (CL1) is currently a key framework for public sector customers which allows them to secure contingent workers through a range of options and provides transparency and value for money. 

The CL1 ordering period was extended in early 2016 until 18 June 2017 as permitted under the CL1 Framework. The CL1 Framework allows Capita Business Services Ltd to continue to provide services for a 12 month time frame beyond the ordering period. As a result, CCS has invoked this contractual provision to ensure public sector customers have continuity of service while the procurement for the replacement framework is underway, and CL1 will continue until June 2018. This will allow time to develop the new procurement vehicle to support customers to get the right workers, with the right skills with continued focus on value for money going forward.
This call off has been Varied to run in Parity with the Framework end date and this publication notice includes the original redacted contract and the two subsequent variation notices.",,,"Any region","79620000 ",,icfteam@cabinetoffice.gov.uk,"1 Horseguards Road",,London,"SW1A 2HQ",England,,,"CL1 - Call Off Contract Lot 1 -  FINAL REDACTED.docx Cabinet Office contract Cap09 variation form 7.pdf Cabinet Office contract Cap09 variation form 9.pdf ",,,02/12/2013,18/06/2018,03/11/2013,NO,,No,No,No,Services,195000000,,24/11/2013,195000000,"[Capita Business Services Ltd|107 Kings St, Maidenhead, SL6 1DP|||No|No]",,02/12/2013,18/06/2018,"CallOffFromFrameworkAgreement ",
"RM1063 CAPITA BUSINESS SERVICES LTD",Contract,"CROWN COMMERCIAL SERVICE",Awarded,2015-06-26T08:22:54Z,"Postal Goods and Services","Redacted Supplier Framework Agreement - RM1063 Postal Goods and Services",,,"Any region","30130000 30144000 48000000 60161000 64000000 79571000 ",,supplier@crowncommercial.gov.uk,"9th Floor, The Capital,","Old Hall Street",Liverpool,"L3 9PP",England,"+44 3450103503",http://gov.uk/ccs,"RM1063  Postal Goods and Services Framework Agreement Capita Business Services Ltd.pdf ",,,17/02/2015,16/02/2018,02/10/2014,NO,,Yes,Yes,No,Services,400000000,1500000000,17/02/2015,0,"[CAPITA BUSINESS SERVICES LTD|71 Victoria Street
Westminster
London
SW1H 0XA|||No|No]",,17/02/2015,16/02/2018,"Open ",
L0691,Contract,"CROWN COMMERCIAL SERVICE",Awarded,2015-03-18T15:28:04Z,"Contract - Senior Business Analyst - Pensions Guidance","The requirement was undertaken via Contingent Labour One Framework to obtain the following Senior Business Analyst skills. The Senior Business Analyst to support HM Treasury with the Pensions Guidance Guarantee program.",,"SW1A 2HQ",London,"79621000 ",,gpsopssouth@ccs.gsi.gov.uk,"Aviation House, 125 Kingsway,",,London,"WC2B 6NH",England,,,,"https://online.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?site=1000&lang=en&noticeid=1575327&fs=true ",,12/02/2015,01/08/2015,19/01/2015,NO,,No,No,No,Services,93825.6,93825.6,12/02/2015,93825.6,"[Capita Business Services Ltd|Kings Chase, 107 Kings Street, Maidenhead, Berkshire, SL6 1DP|||No|No][Capita Business Services Ltd|Kings Chase, 107 Kings Street, Maidenhead, Berkshire, SL6 1DP|||No|No][Capita Business Services Ltd|Kings Chase, 107 Kings Street, Maidenhead, Berkshire, SL6 1DP|||No|No]",,12/02/2015,01/08/2015,"Restricted ",
L0726,Contract,"CROWN COMMERCIAL SERVICE",Awarded,2015-03-18T15:21:48Z,"Contract - Web Developer - Pensions Guidance","The requirement was undertaken via Contingent Labour One Framework  to obtain the following Web Developer skills. The Web Developer to support HM Treasury with the Pensions Guidance Guarantee program",,"SW1A 2HQ",London,"79621000 ",,gpsopssouth@ccs.gsi.gov.uk,"Aviation House, 125 Kingsway,",,London,"WC2B 6NH",England,,,,"https://online.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?site=1000&lang=en&noticeid=1575327&fs=true ",,12/02/2015,08/08/2015,19/01/2015,NO,,No,No,No,Services,79470.6,79470.6,09/02/2015,79470.6,"[Capita Business Services Ltd|Kings Chase, 107 Kings Street, Maidenhead, Berkshire, SL6 1DP|||No|No][Capita Business Services Ltd|Kings Chase, 107 Kings Street, Maidenhead, Berkshire, SL6 1DP|||No|No][Capita Business Services Ltd|Kings Chase, 107 Kings Street, Maidenhead, Berkshire, SL6 1DP|||No|No]",,09/02/2015,08/08/2015,"Restricted ",
DN412974,Contract,"REDCAR & CLEVELAND BOROUGH COUNCIL",Awarded,2020-07-06T16:23:09Z,"Sims Annual Entitlement - Capita Business Services","Sims Annual Entitlement - Capita Business Services",,,"North East","48000000 ","Michelle Gray",procurement@redcar-cleveland.gov.uk,"Redcar & Cleveland House,Kirkleatham Street",,REDCAR,TS101RT,England,"01642 774774",www.redcar-cleveland.gov.uk,,,,01/04/2019,31/03/2022,31/03/2019,NO,,Yes,No,No,Services,130032,,31/03/2019,130032,"[Capita Business Services Ltd|CA6 4SJ|NONE_OTHER||No|No]",,01/04/2019,31/03/2022,"CallOffFromFrameworkAgreement ",
DONCTR001-DN464004-60149152,Contract,"Doncaster MBC",Awarded,2020-02-11T14:06:30Z,"Capita One Extension CPR WAIVER","The Capita One system is used by LOCYP to deliver a range of services to customers and record our interactions with Families; Children and Young People.

The current contract expires on 31st March 2020. Given the new Doncaster Integrated People Solution (DIPS) education system will not be fully implemented until July 2020 there is a need to extend the contract 

Capita have provided costs for a contract extension 1st April 2020 to 31st March 2021. It should be noted that previous contract waiver documents authorised approval for extensions from 1st Nov 2018 to 31st March 2019, and 1st April 2019 to 31st March 2020.",,,"Yorkshire and the Humber","48000000 72000000 85000000 ","Lewis Lindley",Lewis.Lindley@doncaster.gov.uk,"Civic Office",Waterdale,Doncaster,"DN1 3BU",England,"+44 1302736765",http://www.doncaster.gov.uk/,,,,01/04/2020,31/03/2021,07/02/2020,NO,,Yes,No,No,Services,72000,72000,11/02/2020,71104,"[Capita Business Services Ltd|PO BOX 212 | FAVERDALE INDUSTRIAL ESTATE | DARLINGTON | DL1 9HN|NONE||Yes|No]",,01/04/2020,31/03/2021,"DirectAward ",
GW4399,Contract,"CROWN COMMERCIAL SERVICE",Awarded,2015-03-25T12:34:53Z,"HMT - Pensions Guidance Guarantee Training","Provision of trainer training for delivering the Pensions guidance
sessions over the telephone or face to face.",,,"North East,North West,Yorkshire and the Humber,East Midlands,West Midlands,East of England,London,South East,South West,Scotland,Wales,Northern Ireland,Isle of Man,Channel Islands","80500000 ",,gpsopssouth@gps.gsi.gov.uk,gpsopssouth@ccs.gsi.gov.uk,,London,"WC2B 6NH",England,,,"Training Specification final.pdf Capita CSL_HMT PGGT final (1).pdf ",,,07/01/2015,01/09/2015,26/11/2014,NO,,Yes,No,No,Services,900000,,07/01/2015,900000,"[Capita Business Services Ltd|71 Victoria Street, Westminster, London SW1H 0XA|||No|No][Capita Business Services Ltd|71 Victoria Street, Westminster, London SW1H 0XA|||No|No]",,07/01/2015,01/09/2015,"Open ",
BRISTOLCC001-DN425379-68611695,Contract,"Bristol City Council",Awarded,2019-07-26T13:05:06Z,"CAPITA Cash receipting Internet Payment System Managed Service Transaction charges.","CAPITA Cash receipting Internet Payment System Managed Service Transaction charges.",,,"South West","66000000 ","Michael Pilcher",michael.pilcher@bristol.gov.uk,"Bristol City Council","City Hall, College Green",Bristol,"BS1 5TR","United Kingdom",,https://www.bristol.gov.uk/,,,,01/07/2019,31/03/2021,17/06/2019,NO,,Yes,No,No,Services,360000,360000,25/06/2019,360000,"[Capita Business Services Ltd|DL1 9HN|NONE||Yes|No]",08701627800,01/07/2019,31/03/2021,"Other ",
DN413962,Contract,"REDCAR & CLEVELAND BOROUGH COUNCIL",Awarded,2019-06-04T13:26:43Z,"Capita Unit-E MIS Software Solution","Capita Unit-E MIS Software Solution",,,"North East","72222300 ",,procurement@redcar-cleveland.gov.uk,"Redcar & Cleveland House,Kirkleatham Street",,REDCAR,TS101RT,England,"01642 774774",,,,,01/04/2019,31/03/2021,31/03/2019,NO,,Yes,Yes,No,Services,81448,,31/03/2019,81448,"[Capita Business Services Ltd|30 Berners Street, London W1T 3LR|NONE||No|No]",,01/04/2019,31/03/2021,"Other Other",
BRISTOLCC001-DN331577-57101247,Contract,"Bristol City Council",Awarded,2018-03-26T16:32:47Z,"Annual renewal of Capita contract relating to the 'eStart' database","Annual renewal of Capita contract relating to the 'eStart' database",,,"South West","48000000 ","Shauna Nash",shauna.nash@bristol.gov.uk,"City Hall","College Green",Bristol,"BS1 5TR","United Kingdom","+44 1173526888",https://www.bristol.gov.uk/,,,,01/04/2018,31/03/2019,23/03/2018,NO,,Yes,Yes,No,Products,25000,25000,26/03/2018,25000,"[Capita Business Services Ltd|MK44 3JZ|NONE||No|No]",X,01/04/2018,31/03/2019,"Open ",
BIP201898361,Contract,"South Gloucestershire Council",Awarded,2016-05-16T10:48:14Z,"Maintenance of Capita One","Maintenance of Capita One system.",,,"South West","72222300 ",,nicola.lewton@southglos.gov.uk,"Civic Centre","High Street",Bristol,"BS15 9TR",UK,+441454865438,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=201898361 ",,01/04/2017,31/03/2026,18/04/2016,NO,,No,No,No,Services,783027,,18/04/2016,783027,"[Capita Business Services Ltd|71 Victoria Street
Westminister
London
SW1H 0XA|||No|No]",,01/04/2017,31/03/2026,"Other ",
"SPS0666 B",Contract,"Avon & Somerset Constabulary",Awarded,2019-08-02T11:33:23Z,"DS 3000 (Bridgwater)","Avon and Somerset Police has awarded a contract for the provision of a second DS3000 for disaster recovery purposes.  The contract was awarded under the Central Buying Consortium framework for the provision of Managed Services for Business Solutions.

This award notice is for information purposes only.",,,"South West","32573000 ","Nick Jenkins",Nick.jenkins@avonandsomerset.police.uk,"P O Box 37",,BRISTOL,BS208QJ,England,"01278 646328",,,,,14/06/2019,30/09/2022,13/06/2019,NO,,No,No,No,Products,499199,,13/06/2019,499199,"[Capita Business Services Ltd T/a Capita IT Enterprise Services|71 Victoria Street
Westminster
London
SW1H 0XA|NONE||No|No]",,14/06/2019,30/09/2022,"CallOffFromFrameworkAgreement ",
SPS0666,Contract,"Avon & Somerset Constabulary",Awarded,2018-01-12T14:48:44Z,"DS3000 Support and Maintenance","Avon and Somerset Police have awarded a contract for the support and maintenance of their Integrated Communication Control System (DS3000).  The contract was awarded under the Central Buying Consortium framework for the provision of Managed Services for Business Solutions

This award notice is for information purposes only.",,,"South West","32412000 ","Nick Jenkins",nick.jenkins@avonandsomerset.police.uk,"Avon and Somerset Police HQ","PO Box 37, Valley Road",Bristol,"BS20 8QJ",England,,,"Support  Maint Contract ~ Redacted.pdf ",,,01/10/2017,30/09/2022,30/09/2017,NO,,No,No,No,NotApplicable,490688,,30/09/2017,490688,"[Capita Business Services Ltd T/a Capita IT Enterprise Services|71 Victoria Street,
Westminster,
London,
SW1H OXA|NONE||No|No]",,01/10/2017,30/09/2022,"CallOffFromFrameworkAgreement ",
SPS0667,Contract,"Avon & Somerset Constabulary",Awarded,2018-01-12T14:40:35Z,"DS3000 ESN Upgrade","Avon and Somerset Police have awarded a contract for an Emergency Services Network upgrade to their Integrated Communication Control System (DS3000).  The contract was awarded under the Central Buying Consortium framework for the provision of Manged Services for Business Solutions

This award notice is for information purposes only.",,,"South West","32428000 ","Nick Jenkins",nick.jenkins@avonandsomerset.police.uk,"Avon and Somerset Police HQ","PO Box 37, Valley Road",Bristol,"BS20 8QJ",England,,,"Call Off Upgrade Contract ~ Redacted.pdf ",,,28/07/2017,31/12/2018,27/07/2017,NO,,No,No,No,NotApplicable,283413,,27/07/2017,283413,"[Capita Business Services Ltd T/a Capita IT Enterprise Services|71 Victoria Street,
Westminster,
London,
SW1H OXA|NONE||No|No]",,28/07/2017,31/12/2018,"CallOffFromFrameworkAgreement ",
tender_166833/660602,Contract,"Defra Network eTendering Portal",Awarded,2018-03-14T15:17:07Z,"Remedial works at Sand Hutton","Defra sold Sand Hutton to Capita recently and it is now run under National Agri-Food Innovation Campus (NAFIC) which is a life sciences campus that is home to both private and public sector science-based organisations.  The centre is for Agri-Food research and home to the government's Animal Plant Health Agency (APHA) and Fera Science Ltd, which is leading the global challenge of food security and supply chain integrity.  

Defra's also have a new facility/hub based at Sand Hutton which required remedial works following the reduction of office capital.",,,"Yorkshire and the Humber","39531310 45310000 45331000 79931000 ",,Network.Procurement@defra.gsi.gov.uk,DEFRA,,London,"SW1P 3JR",England,,,,,"
Please note that Defra procurement uses an E-tendering system for Procurement activities.  This is currently provided by Bravo Solutions.   To access appropriate tendering and contractual documents, please access the E-Tendering portal at https://defra.bravosolution.co.uk"", ensuring that your registration includes ""Defra"".  If you have any problems with this system, please contact Bravo on their telephone helpline number 0800 368 4850 or by emailing them at help@bravosolution.co.uk.",02/01/2018,31/03/2018,01/01/2018,NO,,Yes,No,No,Works,70853,,02/01/2018,70853,"[Capita Business Services Ltd (Trading as NAFIC)|Sand Hutton, York, YO41 1LZ, United Kingdom|NONE||No|No]",,02/01/2018,31/03/2018,"AwardWithoutPriorPublication ",
tender_215011/854283,Contract,"The Food Standards Agency",Awarded,2020-05-06T09:53:55Z,"Multifunctional devices","Multi functional devices",,,"Any region","48000000 ","Freddie Hudson-Evans",Freddie.Hudson-Evans@food.gov.uk,"Foss House, Peasholme Green",,York,"YO1 7PR",England,01904232033,,,,,01/01/2022,01/01/2022,01/01/2022,NO,,Yes,No,No,Services,3784760,,01/01/2020,3784760,"[Capita Business Services Ltd|65 Gresham Street London EC1V7NQ|NONE_OTHER||No|No][Capita Print||NONE_OTHER||No|No]",,01/01/2022,01/01/2022,"CallOffFromFrameworkAgreement ",
One-20-21,Contract,".East Riding Of Yorkshire Council",Awarded,2019-12-13T08:09:12Z,"Capita One Education Annual Maintenance Statement 2020/21","ONE System Annual Maintenance 2020-21",,,"Yorkshire and the Humber","48000000 ","Philip Hutchinson",philip.hutchinson@eastriding.gov.uk,"Cross Street",,BEVERLEY,HU179BA,England,"01482 392854",,,,,01/04/2020,31/03/2021,13/12/2019,NO,,No,No,No,Services,173384.69,,13/12/2019,173384.69,"[Capita Business Services Ltd|Franklin Court, Priory Business Park, Stannard Way, Cardington
Bedfordshire, MK44 3JZ|COMPANIES_HOUSE|02299747|No|No]",,01/04/2020,31/03/2021,"SingleTenderActionNonOJEU ",
