"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
HCA001-DN418249-31466043,Contract,"Homes England (the name adopted by the Homes and Communities Agency)",Awarded,2019-07-04T15:28:32Z,"Homes England - Full Business Case - Preston","The production of a full business case and site specific appraisals for Preston by Cushman and Wakefield.",,,London,"79000000 ",,etendering@homesengland.gov.uk,"50 Victoria Street",,London,"SW1H 0TL","United Kingdom",,,,,,01/06/2019,30/09/2019,30/05/2019,NO,,No,No,No,Services,37000,,31/05/2019,37000,"[Cushman and Wakefield|EC2N 1AR|NONE||No|No]",,01/06/2019,30/09/2019,"NotApplicable ",
HCA001-DN425737-65054516,Contract,"Homes England (the name adopted by the Homes and Communities Agency)",Awarded,2019-09-13T15:43:16Z,"Homes England - Property Professional Services Framework - Attleborough FBC","Homes England acquiring a Full Business Case from Cushman & Wakefield. 

https://www.gov.uk/government/publications/homes-england-contracts-and-tenders",,,London,"70000000 ",,etendering@homesengland.gov.uk,"50 Victoria Street",,London,"SW1H 0TL","United Kingdom",,,,,,25/08/2019,08/11/2019,16/08/2019,NO,,Yes,No,No,Services,22250,,13/09/2019,22250,"[Cushman and Wakefield|LS1 2ND|NONE||No|No]","Mr Ben Pretty",14/09/2019,08/11/2019,"NotApplicable ",
SUN001-DN500473-85605674,Contract,"Sunderland City Council",Awarded,2020-10-21T08:47:42Z,"Appointment of a Letting Agent to provide Agency Services in relation to the letting of 610,000 sq.ft approx of new industrial and warehouse accommodation at Hillthorn Business Park, Washington.","Award notification.",,,"North East","79400000 ","Julie Rogerson",julie.rogerson@sunderland.gov.uk,"Civic Centre","Burdon Road",Sunderland,"SR2 7sN","United Kingdom","+44 1915611772",http://www.sunderland.gov.uk/,,,,24/10/2020,18/10/2023,06/10/2020,NO,,No,No,No,Services,150000,,21/10/2020,150000,"[Cushman and Wakefield|125 Old Broad Street, London, Greater London, EC2N 1AR|NONE||No|No]",,26/10/2020,25/10/2023,"Restricted ",,12:00
KIRKC001-DN444092-68317196,Contract,"Kirklees Council",Awarded,2020-04-27T14:43:56Z,"KMCIRS-118 South East Calderdale & Kirklees Master Plan Framework","Call off from WYCA Specialist Professional Services DPS under Lot 5 Planning Support. 
Kirklees Council is seeking to appoint a consultant, under the West Yorkshire Combined Authority (WYCA) Dynamic Purchasing System (DPS) for Planning Support (LOT5). This is to undertake work on behalf of Kirklees Council and Calderdale Council to produce a masterplan framework to support the delivery within a 'M62 Junction 25 Garden Community Corridor'.
",,,"Yorkshire and the Humber","71500000 71600000 71350000 71312000 71311000 ",,procurement@kirklees.gov.uk,"Civic Centre 1",,Huddersfield,"HD1 2NF",England,"+44 1484221000",http://www.kirklees.gov.uk,,,,13/02/2020,31/05/2020,25/11/2019,NO,,Yes,No,No,Services,85000,85000,04/02/2020,79978,"[Cushman and Wakefield|St Paul's House, 23 Park Square South, Leeds LS1 2ND|NONE||No|No]",,13/02/2020,31/05/2020,"Restricted ",
LEEDSCITY001-DN472693-23178120,Contract,"Leeds City Council",Awarded,2020-03-31T08:32:13Z,"Leeds Station / HS2 - Compensation Estimates Advice","At the promoter's request, review and update land compensation estimates in line with the Royal Institution of Chartered Surveyors (RICS) Valuation - Professional Standards, (all valuations must be undertaken by a Registered Valuer in accordance with the Red Book).  It is essential that estimates reflect local market values.  



",,,"Yorkshire and the Humber","70000000 ","Mandi Kaushal",Mandeep.Kaushal@leeds.gov.uk,"St George House, 4th Floor,","40 Great George Street",Leeds,"LS1 1UR",England,"+44 1133785260",http://www.leeds.gov.uk,,,,01/02/2020,31/01/2023,15/01/2020,NO,,No,No,No,Services,50000,50000,21/01/2020,50000,"[Cushman and Wakefield|St Paul's House I 23 Park Square South I Leeds I LS1 2ND

|NONE||No|No]",,01/02/2020,31/03/2023,"Open ",
"MVDC - 028984 - AWARD",Contract,"SE Shared Services",Awarded,2019-12-10T15:54:29Z,"MVDC Consultancy Services for Joint Venture Partner Procurement for Transform Leatherhead - AWARD","The Council requires  consultancy services to support us in the identify, procuring and  and securing of  a Development Partner to deliver redevelopment projects as part of its Transform Leatherhead Project.  This will include its properties known as The Swan Centre and Bull Hill.
      Tenders should have extensive , demonstrable experience in procuring private / public joint venture partnerships to implement mixed-use, town centre regeneration projects.  
      
      The consultant will work with MVDC to undertake a full marketing campaign of the opportunity, liaise with potential Development Partners and advise MVDC throughout all of the  Competitive Dialogue  procurement process on property matters.      They will also be required to draft the Specification for the procurement,  recommend methods of evaluation with respect to Award criteria, and provide input and feedback into the tender documentation.      The consultants will be required to assess the proposals and participate  in the evaluation of  the tender submissions at all stages of the Competitive Dialogue up to, and including,  the identification of the Preferred Bidder",,"RH4 1SJ","South East","70110000 70332200 79418000 ","Ellie Guinan (MVDC)",ellie.guinan@molevalley.gov.uk,Dorking,Surrey,Surrey,"RH4 1SJ","United Kingdom",01306870617,,,,,16/12/2019,30/09/2021,18/11/2019,NO,,Yes,No,No,Services,0,,10/12/2019,87080,"[Cushman and Wakefield Debenham Tie Leung Limited|43-45 Portman Square, United Kingdom, W1H 6LY|NONE||No|No]","Richard Candey",16/12/2019,30/09/2021,"Open ",
DN436037,Contract,"REDCAR & CLEVELAND BOROUGH COUNCIL",Awarded,2019-11-19T11:55:08Z,"Loftus Future High Street Fund - Project Team Consultant Bid","Further Competition under ESPO framework for a Consultant Team to support the Loftus Future High Street Bid.",,,"North East","71240000 71410000 79415200 ",,procurement@redcar-cleveland.gov.uk,"Redcar & Cleveland House,Kirkleatham Street",,REDCAR,TS101RT,England,"01642 774774",,,,,18/11/2019,30/06/2020,07/10/2019,NO,,No,Yes,No,Services,0,,17/11/2019,111525,"[Cushman and Wakefield|St Pauls House, 23 Park Sq South, Leeds, West Yorkshire, LS1 2ND, United Kingdom|COMPANIES_HOUSE|02757768|No|No]",,18/11/2019,30/06/2020,"CallOffFromFrameworkAgreement ",
HCA001-DN425803-84105357,Contract,"Homes England (the name adopted by the Homes and Communities Agency)",Awarded,2019-08-29T11:41:23Z,"Homes England -  Property Professional Services Framework - Great Leighs","Award Based on Final Scoring and Award Decision Events.

Terms & Conditions:
https://www.gov.uk/government/publications/homes-england-contracts-and-tenders",,,London,"70000000 ",,etendering@homesengland.gov.uk,"Windsor House","42-50 Victoria Street",London,"SW1H 0TL","United Kingdom",,,,,,25/08/2019,11/10/2019,16/08/2019,NO,,Yes,No,No,Services,22250,,29/08/2019,22250,"[Cushman and Wakefield|LS1 2ND|NONE||No|No]","Mr Ben Pretty",30/08/2019,11/10/2019,"Open ",
HCA001-DN425805-17609804,Contract,"Homes England (the name adopted by the Homes and Communities Agency)",Awarded,2019-08-27T20:44:50Z,"Homes England - Property Professional Services Framework - Panshanger, Welwyn (FBC)","Production of a full business case for Panshanger

https://www.gov.uk/government/publications/homes-england-contracts-and-tenders",,,London,"70000000 ",,etendering@homesengland.gov.uk,"50 Victoria Street",,London,"SW1H 0TL","United Kingdom",,,,,,25/08/2019,11/10/2019,12/08/2019,NO,,Yes,No,No,Services,23363,,27/08/2019,23363,"[Cushman and Wakefield|LS1 2ND|NONE||Yes|No]","Mr Stephen Miles",28/08/2019,11/10/2019,"NotApplicable ",
903,Contract,"DEPARTMENT FOR EDUCATION",Awarded,2019-05-29T10:40:44Z,"Appointment of  suppliers for the provision of estates professional services","Lot 1A - General property services including Red Book Valuations to support pre-acquisition and disposals work, development work (school only and mixed-use developments) and to support the provision of property related advice by LocatED to 3rd parties. 

Lot 1B - Estates services and advice.",,,"Any region","70000000 ",,Will.mumford@LocatED.co.uk,LocatED,"Level 6, 273-287, Roxburghe House, Regent Street,",London,"W1B 2HA",England,,,,,"The appointments are for an initial period of two years with two one-year extension options (maximum 4 year in total). As this a framework, no guarantee is given that the value of any work awarded will be equal across all the suppliers during the period of their appointment nor that there is any minimum amount of type of work that will be awarded to each",07/06/2019,07/06/2021,02/05/2019,NO,,No,No,No,Services,9000000,,28/05/2019,9000000,"[Cushman and Wakefield|1 Marsden Street
Manchester M2 1HW|NONE||No|No][Lambert Smith Hampton|United Kingdom House
180 Oxford Street
London, W1D 1NN|NONE||No|No][BNP Paribas|5 Aldermanbury Square
London, EC2V 7BP|NONE||No|No]",,07/06/2019,07/06/2021,"CallOffFromFrameworkAgreement ",
