"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
tender_194408/787273,Contract,"HealthTrust Europe LLP (HTE) acting as agent for the University Hospitals of Coventry and Warwickshire NHS Trust (""UHCW"")",Awarded,2019-07-30T15:22:17Z,"Framework Agreement for the provision of Legal Services 2019","This will be an award notice for the Renewal of Legal Services 2015 Framework Agreement. Required all awarded suppliers to be able to cover all mandatory specialisms of law as outlined below to the required standard. There are, in addition, a number of specialist areas of law which are deemed optional, which suppliers will be able to provide under the Framework Agreement providing they meet the minimum capability score. Mandatory Specialisms : (i) Corporate Governance, (ii) Healthcare inc. Mental Health Law, (iii) Contract and Commercial Law, (iv) Employment, Pensions and Employee Related Tax Law, (v) Property, Estates Energy and Environmental Law, (vi) Corporate Finance & Public Private Partnership Law, (vii) Intellectual Property, IT, Telecoms, Media and eCommerce Law, (viii) Tax Law, (ix) Information Law, to include GDPR, Data Protection, FOIA, common law confidentiality. Optional Specialisms: (i) Mergers & Acquisitions, (ii) Litigation, Dispute Resolution, Arbitration and Investigations, (iii) International Law TERMS AND CONDITIONS/ACTIVITY BASED INCOME (ABI) The terms and conditions of this framework agreement and any resulting call-off contract is appended to the ITT. These terms include provisions requiring the payment by the supplier of an ABI management charge in consideration of the award of this framework agreement, The management and administration by HTE of the overall contract structure and associated documentation,as well as the requirement to submit regular management information to HTE.",,,"Any region","79100000 ",,louise.daly@htepg.com,"Healthtrust Europe",,Birmingham,"B15 1NU",England,,,,,,01/07/2019,30/06/2022,07/05/2019,YES,tender_194408/727556,No,No,No,Services,40000000,,01/07/2019,40000000,"[DAC Beachcroft LLP|100 Fetter Lane London EC4A 1BN|NONE||No|No][Browne Jacobson LLP|Mowbray House Castle Meadow Road Nottingham NG2 1BJ|NONE||No|No][Capsticks Solicitors LLP|1 St Georges Road Wimbledon Greater London  SW19 4DR|NONE||No|No][Clyde & Co LLP|The St Botolph Building, 138 Houndsditch London EC3A 7AR|NONE||No|No][Hempsoms Limited|100 Wood Street London EC2V 7AN|NONE||No|No][DAC Beachcroft LLP|100 Fetter Lane London EC4A 1BN|NONE||No|No][Hill Dickinson LLP|No 1 St Pauls Square Liverpool Merseyside L3 9SJ|NONE||No|No][Kennedys Law LLP|25 Fenchurch Avenue London EC3M 5AD|NONE||No|No][WardHadaway|Sandgate House 102 Quayside Newcastle Upon Tyne Tyne and Wear NE1 3DX|NONE||No|No][Weightmans LLP|100 Old Hall Street Liverpool Merseyside L3 9QJ|NONE||No|No]",,01/07/2019,30/06/2022,"RestrictedOJEU ",
tender_199695/816053,Contract,"NHS Business Services Authority",Awarded,2019-11-29T11:06:15Z,"Contract for the Provision of Legal Services for Employment Law","Notification of award of contract to DAC Beachcroft for the provision of legal services for employment law following further competition process via the NHS Shared Business Services Framework for Legal Services (Lot 5)",,,"North East,North West,West Midlands,London,South East","79100000 ","Julie Davison",julie.davison8@nhs.net,"Stella House, Goldcrest Way, Newburn Riverside Business Park",,"Newcastle upon Tyne","NE15 8NY",England,,,,,,01/10/2019,30/09/2023,30/05/2019,NO,,Yes,Yes,No,Services,176000,,13/11/2019,176000,"[DAC Beachcroft LLP|36 Gallowgate, Newcastle upon Tyne, NE1 4TD|COMPANIES_HOUSE|OC317852|No|No]",,01/10/2019,30/09/2023,"CallOffFromFrameworkAgreement ",
PR2029,Contract,"PARLIAMENTARY AND HEALTH SERVICE OMBUDSMAN",Awarded,2019-08-14T09:21:33Z,"Legal Services","PHSO require General Legal Advice to supplement the PHSO's in-house Legal Team.  In seeking providers for legal services PHSO would require a supplier to have an excellent understanding of public law and associated litigation.  Specialist advice would also be required on employment law and property law.

Summary of services required:

1) Provide external legal services to PHSO and to enable orders to be placed through PHSO's in-house Legal Team.
2) Provide specialist legal advice on employment matters, general advice, property matters to PHSO as and when required.
3) Ensure litigation is managed effectively, efficiently and economically.
4) Provide access to training and resources for members of the PHSO Legal Team.

PHSO intends to award contracts to approximately three legal firms, to cover the required areas of legal specialisms (lots) detailed below, whilst providing contingency for any potential conflicts of interest. Tenderers are required to indicate which lot they are bidding for when submitting their response and may bid for more than one lot. The requirements are divided into the below lots:

Lot 1 - General Legal Advice
Lot 2 - Litigation and Judicial Review
Lot 3 - Employment Law
Lot 4 - Contractual Law
Lot 5 - Public Law
Lot 6 - Property Law

Tender documentation for this requirement (including a full specification and response document) can be obtained by submitting your expression of interest to:

procurement.enquiries@ombudsman.org.uk.",,,"Any region","79100000 ","Chris Jones",procurement.enquiries@ombudsman.org.uk,"Millbank Tower, 21-24 Millbank",,LONDON,SW1P4QP,England,03000611571,www.ombudsman.org,,,,01/06/2019,31/05/2022,12/03/2019,YES,PR2029,Yes,No,No,Services,300000,,13/05/2019,0,"[DAC BEACHCROFT LLP|25 Walbrook
LONDON
EC4N 8AF
GB|COMPANIES_HOUSE|OC317852|No|No][BROWNE JACOBSON LLP|Castle Meadow Road
NOTTINGHAM
Nottinghamshire
NG2 1BJ
GB|COMPANIES_HOUSE|0|No|No][CAPSTICKS SOLICITORS LLP|1 St. Georges Road
LONDON
SW19 4DR
GB|COMPANIES_HOUSE|OC340360|No|No][BATES WELLS & BRAITHWAITE LLP|10 Queen Street Place
London
EC4R 1BE|COMPANIES_HOUSE|OC325522|No|No]","Dan Lavery",26/05/2019,25/05/2022,"OpenNonOJEU ",
"EHRC 1920-15",Contract,"EQUALITY AND HUMAN RIGHTS COMMISSION",Awarded,2019-12-16T14:37:38Z,"EHRC 1920-15 Legal Support Project for Transport","Legal advice for individuals referred to external solicitors by the Legal Support Project for Transport. General Legal Advice Services (RM3786) call-off.",,,"Any region","79100000 ",,procurementhelpdesk@equalityhumanrights.com,"Arndale Centre",,MANCHESTER,M43AQ,England,,,,,,21/10/2019,31/03/2020,10/10/2019,NO,,Yes,No,No,Services,0,50000,11/10/2019,50000,"[DAC Beachcroft LLP|100 Fetter Lane
London
EC4A 1BN|COMPANIES_HOUSE|OC317852|No|No][Mills & Reeve LLP|Monument Place
24 Monument Street
London
EC3R 8AJ|COMPANIES_HOUSE|OC326165|No|No][TLT LLP|One Redcliff Street
BRISTOL
AVON
BS1 6TP
GB|COMPANIES_HOUSE|0|No|No]",,21/10/2019,31/03/2020,"CallOffFromFrameworkAgreement ",
CCLL19A10,Contract,"Government Legal Service",Awarded,2020-02-18T15:11:37Z,"The Provision of Ad-Hoc Commercial Legal Support of GLD","Provision of Ad-Hoc Commercial Legal Support of GLD",,,"Any region","79100000 ","Sigmund Szabo",zsigmond.szabo@governmentlegal.gov.uk,"102 Petty France",,London,SW1H9AJ,England,"0207 210 1436",,,,,04/10/2019,03/10/2021,03/10/2019,NO,,No,No,No,Services,1000000,,27/09/2019,1000000,"[DAC BEACHCROFT LLP|25 Walbrook
LONDON
EC4N 8AF
GB|COMPANIES_HOUSE|OC317852|No|No]",,04/10/2019,03/10/2021,"CallOffFromFrameworkAgreement ",
CCLL19A10-2.,Contract,"Department for Work and Pensions : Department for Work and Pensions",Awarded,2020-02-03T12:55:15Z,"The Provision of Ad-Hoc Commercial Legal Support of GLD","Please see the attached documentation for further details.",,,"Any region","79100000 ","Crown Commercial Service on behalf of GLD",supplier@crowncommercial.gov.uk,"Floor 9, The Capital Building, Old Hall Street",,Liverpool,"L3 9PP",England,3450103503,https://www.gov.uk/government/organisations/crown-commercial-service,"CCLL19A10 Dac Beachcroft Order Form redacted (1).docx DAC Beachcroft Call Off Award Letter Redacted (1).docx ",,,12/07/2019,11/07/2021,11/07/2019,NO,,No,No,No,Services,1000000,,11/07/2019,1000000,"[DAC Beachcroft LLP|100 Fetter Lane EC4A 1BN London England|NONE||No|No]","Michael Peeters",12/07/2019,11/07/2021,"CallOffFromFrameworkAgreement ",
"CPC 02687 - AWARD",Contract,NOE-CPC,Awarded,2019-09-16T15:07:56Z,"CPC01515 - Provision of Legal Services on behalf of NHS Supply Chain: Hotel Services (Category Tower 11) a division of Leeds and York Partnerships NHS Foundation Trust - AWARD","The primary objective of this procurement is to appoint a sole provider of legal services to the NHS Supply Chain:Hotel Services organisation. The requirement for legal services will be strictly on an 'as and when required' basis. The volume and nature of legal advice that may be required is unknown and no guarantees are given, or implied, with regards to the levels of business that may be transacted under this appointment 
      Whilst it is anticipated that legal services will be primarily required in the fields of Contract and Commercial law, the scope of services could include all or any of those outlined in the specification of NOE CPC framework 2016/S 241-440321 ], i.e. including but not limited to:
      o NHS Governance & Public Law
      o Healthcare Law
      o Mental Health Law
      o Employment Law
      o Contract & Commercial Law
      o Property Law
      o Corporate Finance & PFI",,"S4 7UQ",,"79000000 ","NOE CPC",procurement@noecpc.nhs.uk,"Savile Street East",Sheffield,"South Yorkshire","S4 7UQ",England,,,,,,01/01/2019,31/12/2021,03/12/2018,NO,,No,No,No,Services,0,,18/12/2018,0,"[DAC Beachcroft LLP|7 Park Square, Leeds, United Kingdom, LS1 2LW|NONE||No|No]","Evan Morgan",01/01/2019,31/12/2021,"CallOffFromFrameworkAgreement ",
CS19176,Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2019-06-18T14:45:45Z,"UK SBS CS19176 REF 2021 COP Complaints Process Query Legal Services","***Please note this is an award notice, not a call for competition***
UK Research and Innovation (UKRI) have purchased the services of legal experts to provide assistance on the legal standing of the proposed complaints process and to provide flexible ongoing legal services on queries relating to individual complaints.

This contract has been purchased via a compliant direct award against CCS RM3786 General Legal Advice Services framework tier 1.",,,"Any region","79100000 ","Ben Oborne",Professionalservices@uksbs.co.uk,"Polaris House","North Star Avenue",SWINDON,SN21FF,England,"01793 867005",www.uksbs.co.uk,,,,10/06/2019,31/08/2022,06/06/2019,NO,,Yes,No,No,Services,13000,50000,06/06/2019,50000,"[DAC BEACHCROFT LLP|25 Walbrook
LONDON
EC4N 8AF
GB|COMPANIES_HOUSE|OC317852|No|No]","Dan Lavery",10/06/2019,31/08/2022,"CallOffFromFrameworkAgreement ",
"003743 - Legal Services Framework: Premier Inn Newcastle Legal Advice",Contract,"Newcastle City Council",Awarded,2019-01-09T11:59:09Z,"003743 - Legal Services Framework: Premier Inn Newcastle Legal Advice","Legal advice in relation to Premier Inn, Newcastle.",,,"North East","79100000 ","Joanne Griffiths",joanne.griffiths@newcastle.gov.uk,"Civic Centre","Barass Bridge",NEWCASTLE-UPON-TYNE,"NE1 8QH",England,"0191 2116392",,,,,19/11/2018,15/11/2019,13/11/2018,NO,,Yes,Yes,No,Services,35800,,13/11/2018,35800,"[DAC BEACHCROFT LLP|Portwall Place
BRISTOL
Avon
BS1 9HS
GB|COMPANIES_HOUSE|OC317852|No|No]","Dan Lavery",19/11/2018,15/11/2019,"CallOffFromFrameworkAgreement ",
PROC.01.0620,Contract,"WATER SERVICES REGULATION AUTHORITY",Awarded,2018-10-22T17:35:40Z,"Commercial Legal Advice","We are looking to establish a call-off agreement with one supplier who can offer Ofwat legal advice primarily purpose in relation to the work of the Business Improvement programme, but the supplier appointed under the contract may be required to provide advice on the key disciplines referred to below to other programmes. These are largely disciplines in which members of the Ofwat internal legal team have limited experience, or in areas where nevertheless, given other pressures additional support is likely to be required from time to time. 
Key disciplines required are set out below.  Bidders should note that this list contains all of the disciplines which may be required over the course of the agreement, but there is no guarantee that all disciplines will be required. 
-	Contracts/Commercial Law
-	Public Procurement Law
-	Information Law including Data Protection Law 
-	Employment Law
-	Pensions Law
-	Real Estate/Property Law
-	Corporate / litigation / dispute resolution
We may also request the Solicitor to provide a secondee under this agreement. At the time of writing this ITT, we think it is unlikely that a secondee will be required under this agreement and therefore no details about secondments are required for the evaluation of responses to this ITT.
Further information on the areas of law required under this call-off contract is provided below.  
Advice on Procurement and Contract/Commercial Law
Advice on Information Rights Law
Advice on Employment Law
Advice on Property Law",,,"West Midlands,London","79100000 ",,mailbox@ofwat.gsi.gov.uk,"Centre City Tower","7 Hill Street",Birmingham,"B5 4UA",England,,,,,"For further information, please contact: procurement@ofwat.gsi.gov.uk",01/09/2018,28/02/2021,07/08/2018,NO,,Yes,No,No,Services,0,,31/08/2018,0,"[DAC Beachcroft LLP|100 Fetter Lane
London
EC4A 1BN|COMPANIES_HOUSE|OC317852|No|No]",,01/09/2018,28/02/2021,"CallOffFromFrameworkAgreement ",
