"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
"CCLL18A24 Work Package 1",Contract,"Department for Transport : Department for Transport",Awarded,2019-04-03T11:53:03Z,"Provision of Legal Advisers for the East West Railway Company","Provision of Legal Advisers for the East West Railway Company -

This was a Multi lot Procurement.

the winning suppliers are:

Work Package 1: DLA Piper LLP
Work Package 2:  Ashurst LLP",,,"Any region","79100000 ","Crown Commercial Service on behalf of Department for Transport : Department for Transport",supplier@crowncommercial.gov.uk,"Floor 9, The Capital Building, Old Hall Street",,Liverpool,"L3 9PP",England,3450103503,https://www.gov.uk/government/organisations/crown-commercial-service,"CCLL18A24 DLA Piper Framework Award letter [Redacted] (2).docx CCLL18A24 - Work Package 1 DLA Piper Order Form [Redacted] (2).docx ",,,29/10/2018,28/10/2020,25/10/2018,NO,,No,No,No,Services,425000,,26/10/2018,425000,"[DLA PIPER UK LLP|Fountain Precinct, Balm Green S1 1RZ Sheffield England|NONE||No|No]","Howard Bassford",29/10/2018,28/10/2020,"CallOffFromFrameworkAgreement ",
CCLL19A09.,Contract,"Department for Transport : Department for Transport",Awarded,2019-07-25T12:46:30Z,"The Provision of Legal Services for DfT Thameslink Programme","Legal Services for Thameslink Programme, Direct Award to DLA Piper for continuity of services (previous contract CCLL17A04)",,,London,"79100000 ","Crown Commercial Service on behalf of Department for Transport : Department for Transport",supplier@crowncommercial.gov.uk,"Floor 9, The Capital Building, Old Hall Street",,Liverpool,"L3 9PP",England,3450103503,https://www.gov.uk/government/organisations/crown-commercial-service,"CCLL19A09 - Call Off Award Letter REDACTED (3).docx CCLL19A09 - Contract and Order Form REDACTED  (2).docx ",,,01/07/2019,30/06/2020,28/06/2019,NO,,No,No,No,Services,110000,,27/06/2019,110000,"[DLA PIPER UK LLP|Fountain Precinct, Balm Green S1 1RZ Sheffield England|NONE||No|No]","Robert Smith",01/07/2019,30/06/2020,"Other Direct Award",
CS20035,Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2020-04-01T10:36:08Z,"UKRI CS20035-NERC GRO Programme Legal Services","***Please note this is an award notice not a call for competition***

UK Research and Innovation had a requirement to purchase legal advice and services in relation to their GRO programme. 

This contract was awarded via a direct award against CCS Framework RM3786 General Legal Advice Services Lot 1.",,,"Any region","79100000 ","Ben Oborne",professionalservices@uksbs.co.uk,"Polaris House","North Star Avenue",SWINDON,"SN2 1FF",England,01793867005,www.uksbs.co.uk,,,,21/09/2019,30/04/2020,20/09/2019,NO,,No,No,No,Services,250000,,20/09/2019,250000,"[DLA PIPER UK LLP|160 Aldersgate Street
EC1A 4HT
GB|COMPANIES_HOUSE|0|No|No]",,21/09/2019,30/04/2020,"CallOffFromFrameworkAgreement ",
"UK SBS PS17310v1",Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2019-06-20T15:33:57Z,"UK SBS PS17310v1 GRO Legal Service","This is not a call for competition.  This was a direct award via the Crown Commercial Services RM3786 - General Legal Advice Services Framework.

To obtain suitable legal services firms for NERC to prepare all the necessary legal documents and agreements to effect the transfer of CEH and NOC into independent charitable organisations by 30th November 2018.",,,"South East","79100000 ","Huw Pearce",professionalservices@uksbs.co.uk,"UKSBS Polaris House",,SWINDON,SN21FF,England,+441793867005,,,,,15/02/2018,15/02/2019,09/02/2018,NO,,No,No,No,Services,276556,,13/02/2018,276556,"[DLA Piper UK LLP|3 Noble Street, London EC2V 7EE|COMPANIES_HOUSE|OC307847|No|No]",,15/02/2018,15/02/2019,"CallOffFromFrameworkAgreement ",
CS19085,Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2019-08-21T09:43:47Z,"GRO Legal Services - Implementation Stage","Provision of legal services to transfer the Natural Environment Research Council Centre for Hydrology (NERC CEH) and  Natural Environment Research Council Centre National Oceanography Centre (NERC NOC) into companies limited by guarantee",,,London,"79100000 ",,professionalservices@uksbs.co.uk,"North Star House",,SWINDON,SN21FF,England,01793867000,,,,,01/07/2019,31/12/2019,30/06/2019,NO,,No,No,No,Services,75953.32,,30/06/2019,75953.32,"[DLA PIPER UK LLP|160 Aldersgate Street
LONDON
EC1A 4HT
GB|COMPANIES_HOUSE|0|No|No]",,01/07/2019,31/12/2019,"CallOffFromFrameworkAgreement ",
CR19018,Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2019-07-04T13:54:41Z,"CR19018 3D Printing of Spare Parts for Consumer Appliances","**THIS IS NOT A CALL FOR COMPETITION**

This project aims to provide a comprehensive understanding of the safety, legal and regulatory issues relating to the manufacture, sale and installation of 3D printed spare parts by unauthorised manufacturers for consumer appliances.The first objective is to understand the technical safety issues arising in the design, manufacture and use of 3D printed spare parts made by unauthorised manufacturers.
The second objective is to use this information to help identify the regulatory requirements and legal responsibilities of:
a. the vendor of the component design file
b. the vendor of the 3D printing machine
c. the vendor of the printing material.
d. the installer of the component.
e. the manufacturer/s of the original product and the 3D printed part,
f. and any other relevant parties,
for the safe operation of the appliance when an unauthorised 3D printed spare part is used. The study should also consider the situation where a householder manufactures the part themselves using 3D printing.",,"SW1H 0ET",,"73200000 79300000 ","Karl Oakley",Karl.Oakley@uksbs.co.uk,"Polaris House","North Star Avenue",SWINDON,SN21FF,England,"01793 867005",www.uksbs.co.uk,,,,05/04/2019,09/08/2019,18/03/2019,NO,,Yes,No,No,Services,0,75000,17/04/2019,74873.75,"[DLA PIPER UK LLP|160 Aldersgate Street
LONDON
EC1A 4HT
GB|COMPANIES_HOUSE|0|Yes|No]","Angela Saunders",18/04/2019,09/08/2019,"CallOffFromFrameworkAgreement ",
PS17310v1,Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2019-06-20T15:25:01Z,"Governance, Responsibilities and Ownership (GRO) Programme Legal Services","This is not a call for competition. This was a direct award via the Crown Commercial Services RM3786 - General Legal Advice Services Framework.

To obtain suitable legal services firms for NERC to prepare all the necessary legal documents and agreements to effect the transfer of CEH and NOC into independent charitable organisations by 30th November 2018.",,,"South East","79100000 ",,professionalservices@uksbs.co.uk,"Polaris House",,SWINDON,SN21FF,England,"01793 86700",,,,,09/04/2019,30/06/2019,08/04/2019,NO,,Yes,Yes,No,Services,82786.92,,08/04/2019,82786.92,"[DLA PIPER UK LLP|160 Aldersgate Street
LONDON
EC1A 4HT
GB|COMPANIES_HOUSE|0|No|No]",,09/04/2019,30/06/2019,"CallOffFromFrameworkAgreement ",
CCLL20A10.,Contract,"Crown Commercial Service : Cabinet Office",Awarded,2020-10-08T08:39:13Z,"Provision of Legal Advice for Lease Finance terms","To appoint a Legal Adviser to support the Crown Commercial Service in the drafting of additional schedules to the proposed terms and conditions of the upcoming Leasing and Loans Finance Dynamic Purchasing System .",,,"United Kingdom,Isle of Man,Channel Islands","79110000 ","Crown Commercial Service on behalf of Crown Commercial Service : Cabinet Office",supplier@crowncommercial.gov.uk,"Floor 9, The Capital Building, Old Hall Street",,Liverpool,"L3 9PP",England,3450103503,https://www.gov.uk/government/organisations/crown-commercial-service,"CCLL20A10 REDACTED Contract - Legal Services Contract and Order Form.docxRMC.pdf CCLL20A10 REDACTED Award Letter Legal Services v1.2.docx RMC (1).pdf ",,,20/07/2020,19/10/2020,07/07/2020,NO,,No,No,No,Services,20000,,20/07/2020,20000,"[DLA PIPER UK LLP|Redacted|NONE_OTHER||No|No]",,20/07/2020,19/10/2020,"CallOffFromFrameworkAgreement ",,00:00
"GLD089 2020",Contract,"Government Legal Department",Awarded,2020-10-05T11:34:46Z,"GLD089 2020 GLAS Panel, 3GSS","A legal services provider to assist on its 4 year  Third Generation Shared Services programme (3GSS) to transform its Shared Services for approximately 80,000 staff in MOJ and several of its Arm's Length Bodies- back-office functions including certain elements of HR, payroll, invoice payments, etc",,,London,"79100000 ","Chris Stonehouse",chris.stonehouse@governmentlegal.gov.uk,"102 Petty France",,London,SW1H9AJ,England,"020 7210 1453",,,,"A legal services provider to assist on its 4 year  Third Generation Shared Services programme (3GSS) to transform its Shared Services for approximately 80,000 staff in MOJ and several of its Arm's Length Bodies- back-office functions including certain elements of HR, payroll, invoice payments, etc",11/06/2020,10/06/2024,22/05/2020,NO,,No,No,No,Services,1700000,,05/06/2020,1700000,"[DLA PIPER UK LLP|2 Princes Square
LEEDS
West Yorkshire
LS1 4BY
GB|COMPANIES_HOUSE|OC307847|No|No]","Angela Saunders",11/06/2020,10/06/2024,"CallOffFromFrameworkAgreement ",,17:00
tender_237299/888894,Contract,"NHS England",Awarded,2020-09-22T14:11:19Z,"NHSX COVID-19 Legal Fees","Legal support required to support NHSX deliver a number of key programmes during COVID-19 in response to the national emergency.",,,"Any region","79100000 ",,commercialenquiries@nhsengland.net,"NHS England, Quarry House, Quarry Hill",,Leeds,"LS2 7UE",England,,,,,,01/03/2020,30/06/2020,29/02/2020,NO,,Yes,Yes,No,Services,35000,,29/02/2020,42000,"[DLA PIPER UK LLP|Fountain Precinct, Balm Green, Sheffield, S1 1RZ, England|NONE_OTHER||No|No]",,01/03/2020,30/06/2020,"CallOffFromFrameworkAgreement ",,12:00
