"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
MANC001-DN294416-30495294,Contract,"Manchester City Council",Awarded,2017-12-08T15:50:40Z,"TC936 - Nutanix Infrastructure","Manchester City Council's Data Centre Strategy defines the migration from the existing single data centre to two new co-location facilities providing a robust and resilient disaster recovery solution to meet specified business RPO and RTO across a range of services and applications. The Council's existing core infrastructure (storage, compute and backup) hardware and software is reaching end of life. The Council therefore has a requirement to replace existing storage, compute and backup systems with new solutions. Around 95% of current workloads are virtualised using VMware ESXi. The Nutanix Enterprise Cloud Platform has been identified as the technology of choice in order to replace existing storage and compute hardware underpinning this virtualisation environment. The Council has a number of workloads that will not be migrated to the Nutanix solution (Oracle Solaris based systems and File Shares) that consume legacy SAN storage. Replacing this SAN storage is out of scope of this tender and will form part of a separate tender. Additionally replacing existing Council data backup and recovery systems are out of scope of this tender and will also form part of a separate tender.",,"M60 2LA","Any region","30000000 ","Michael Shields",m.shields@manchester.gov.uk,"Level 3","Town Hall Extension",Manchester,"M60 2LA","United Kingdom","+44 1612341009",http://www.manchester.gov.uk,,,"
Awarded following a further competition against Crown Commercial Services (CCS) framework Technology Products 2 Lot 3",25/01/2018,24/01/2023,18/09/2017,NO,,Yes,Yes,No,Products,2258955,,07/12/2017,2258955,"[Esteem Systems Ltd|Rofta House, Rudgate, Wetherby, LS23 7QA|NONE||Yes|No]",,25/01/2018,24/01/2023,"Other ",
TNA138,Contract,"THE NATIONAL ARCHIVES",Awarded,2017-09-27T15:23:12Z,"Dark Archive Upgrade","The National Archives has a requirement for the supply, delivery and installation of hardware as specified below, together with an Oracle Premier Support for Systems service for this hardware. Additionally a package of Oracle Assisted Services is required to undertake installation, configuration, integration, handover and staff training for the new hardware into an Oracle Hierarchical Storage Management system and a StorageTek SL3000 Modular Library System. Awarded through Crown Commercial Service Framework RM3733 Lot 3.",,"TW9 4DU",,"30000000 ",,procurement@nationalarchives.gsi.gov.uk,Kew,,Richmond,"TW9 4DU",England,,,,,,29/09/2017,28/09/2018,21/09/2017,NO,,No,No,No,Products,0,,27/09/2017,168689,"[Esteem Systems ltd|Rofta House
Rudgate
Thorp Arch
Wetherby
LS23 7QA|||No|No]",,29/09/2017,28/09/2018,"CallOffFromFrameworkAgreement ",
Q03109,Contract,"Sandwell & West Birmingham Hospitals N H S Trust",Awarded,2015-04-24T07:02:30Z,"Server and Storage Deep Dive Project","Undertake a full survey of server and storage capability and report on remediation requirements",,"B71 4HJ","West Midlands","72100000 ","Catherine Grant",catherine.grant5@nhs.net,"Sandwell and West Birmingham Hospitals NHS Trust",Lyndon,"West Bromwich","B71 4HJ",England,,,,,,01/05/2015,30/06/2015,18/03/2015,NO,,No,No,No,Services,31005,,13/04/2015,31005,"[Esteem Systems Ltd|Rofta House
Rudgate
Thorp Arch
Wetherby
LS23 7QA|||No|No][BT IT Services Ltd|3 Midland Way
Barlborough Links
Barlborough
Chesterfield
S43 4XA|||No|No]",,01/05/2015,30/06/2015,"Other ",
LEICSCC001-DN367067-15982003,Contract,"Leicestershire County Council",Awarded,2018-10-12T12:18:34Z,"Enterprise-level storage network to attach to Oracle Server estate plus 5 years manufacturers' support","Tender bids are invited for the provision of a small scale enterprise-level fibre channel storage array network to provide storage to Leicestershire County Council's Oracle Server estate which is located across 2 data centres. The proposed solution must include 5 years full manufacturers' support.

The response should also include an indicative daily rate for technical services should assistance be needed with the installation and commissioning of the proposed solution.

Any proposed solution would be required to integrate with our current operating setup allowing for Solaris containers/zones and LDOMs to be migrated between all physical servers.",,,"East Midlands","30200000 ","Tony Lee",tony.lee@leics.gov.uk,"County Hall","Leicester Road Glenfield",Leicester,"LE3 8RA",England,,http://www.leicestershire.gov.uk,,,,31/10/2018,31/10/2023,01/10/2018,NO,,Yes,Yes,No,Products,130000,130000,11/10/2018,129068.06,"[Esteem systems Ltd|Rofta House, Wetherby, Yorkshire, LS23 7QA|NONE||No|No]","Mike Medici",12/10/2018,12/10/2023,"Restricted ",
CALDER001-DN333402-99860746,Contract,"Calderdale Council",Awarded,2018-05-16T08:41:07Z,"Oracle Premier Support Service for Server and Storage Hardware","The Borough Council of Calderdale (the Council) invites you to submit a Quote for the provision of a repair and support service for its Oracle server & storage hardware for a period of 3 years (36 months) with a view to extend by a further 1 year (12 months) + 1 year (12 months)       ALL relevant details including specification, T&Cs, evaluation questions and methodology are available ONLY via the Council's preferred procurement portal www.yortender.co.uk ALL correspondence, including clarifications and the uploading of any bid MUST be undertaken via this portal.",,,"Yorkshire and the Humber","72700000 ","Duncan Brundell",duncan.brundell@calderdale.gov.uk,"Westgate House",,Halifax,"HX1 1PS","United Kingdom","+44 1422393186",http://www.calderdale.gov.uk/,,,,13/06/2018,12/06/2023,08/05/2018,NO,,Yes,Yes,No,Services,20000,30000,16/05/2018,72000,"[Esteem Systems Ltd|LS23 7QA|NONE||No|No]","Miss Sarah Odlin",13/06/2018,12/06/2023,"Open ",
MANC001-DN294275-90603864,Contract,"Manchester City Council",Awarded,2017-12-08T15:58:14Z,"TC928 - Data Storage & Backup Refresh","The Council's existing core infrastructure (storage, compute and backup) hardware and software is reaching the end of current support contracts. The Council are therefore keen to explore options to ascertain the most economically viable solution of either extending support contracts on the existing solutions or replacing with new solutions",,,"North West","30000000 ","Michael Shields",m.shields@manchester.gov.uk,"Level 3","Town Hall Extension",Manchester,"M60 2LA","United Kingdom","+44 1612341009",http://www.manchester.gov.uk,,,"
Awarded following a further competition against Crown Commercial Services (CCS) framework Technology Products 2 Lot 3",15/01/2018,14/01/2023,11/09/2017,NO,,Yes,Yes,No,Products,1124655,,07/12/2017,1124655,"[Esteem Systems Ltd|Rofta House, Rudgate, Wetherby, LS23 7QA|NONE||Yes|No]",,15/01/2018,14/01/2023,"Other ",
"LJW242/SCC433 - AWARD",Contract,"Sandwell Metropolitan Borough Council",Awarded,2017-12-08T10:49:13Z,"Consultancy Services are required from a Suitably qualified and accredited Oracle Platinum Partner - AWARD","Sandwell MBC are currently seeking Consultancy Services are required from a Suitably qualified and accredited Oracle Platinum Partner
      
      If you are interested in quoting for this work, please register/log in to the Intend Supplier portal to download the full documentation and submit your quote, https://in-tendhost.co.uk/sandwellmbc .  The closing date for all submissions is Thursday 30th November 2017 at 17.00hrs",,"B69 3DB","West Midlands","32425000 72212900 48900000 48621000 32427000 48214000 48321100 48000000 72212670 72212781 48151000 48800000 72212780 48781000 72212620 ","Lisa Whitehouse",lisa2_whitehouse@sandwell.gov.uk,"Freeth Street",Oldbury,"West Midlands","B69 3DB","United Kingdom","0121 569 2864",,,,,01/01/2018,31/12/2019,30/11/2017,NO,,No,No,No,Services,0,,08/12/2017,0,"[Esteem Systems Ltd|Rofta House, Wetherby, United Kingdom, LS23 7QA|NONE||No|No]","Thomas Connolly",01/01/2018,31/12/2019,"Open ",
"17 074",Contract,"CHESHIRE EAST COUNCIL",Awarded,2017-06-27T09:32:37Z,"Contract for the Provision of a Remote Access Solution","*THIS HAS BEEN AWARDED* Following a Further Competition under RM 3733 Lot 3 an award has been made for a Replacement Remote Access Solution Netscaler with Software and Gold Support for 5 years. This is to replace the current solution which goes end of life.",,,"North East","30200000 ","Ann Hope",ann.hope@cheshireeast.gov.uk,"Cheshire East Council","Westfields, Middlewich Road",Sandbach,"CW11 1HZ",England,,,,,,05/06/2017,04/06/2022,17/05/2017,NO,,Yes,Yes,No,Products,191623,,22/05/2017,191623,"[Esteem Systems Ltd|Rofta House,
Rudgate
Thorp Arch
Wetherby
LS23 7QA|||No|No]","Michael Littler",05/06/2017,04/06/2022,"Other ",
GLOSCC001-DN232430-58045635,Contract,"Gloucestershire County Council",Awarded,2017-06-02T16:17:35Z,"Cisco Licenses","Awarded according to Framework RM3733",,,"South West","32500000 ","Clare Cato",clare.cato@gloucestershire.gov.uk,"Quayside House","2nd Floor",Gloucester,"GL1 2TG",England,"+44 1452425010",http://www.supplyinthesouthwest.org.uk,,,,26/01/2017,26/01/2018,06/01/2017,NO,,No,No,No,Services,300000,300000,07/01/2017,320000,"[Esteem systems Ltd|Rofta House, Rudgate, Thorp Arch, Wetherby, LS23 7QA|||No|No]",,20/01/2017,20/01/2018,"Restricted ",
DN220535,Contract,"LEICESTERSHIRE COUNTY COUNCIL",Awarded,2016-12-16T11:26:04Z,"4 * Oracle Solaris Servers with 5 years Oracle premier support or equivalent","4 New Oracle Solaris Servers with 5 years Oracle premier support or equivalent.",,,"East Midlands","30210000 ",,Tony.Lee@leics.gov.uk,"Leicestershire County Council","County Hall",Leicester,"LE3 8RA",England,,,,,,13/12/2016,10/12/2021,08/12/2016,NO,,No,No,No,Products,76182,,08/12/2016,76182,"[Esteem Systems Ltd|Rofta House, Thorp Arch, Wetherby, North Yorkshire, LS23 7QA|||No|No]",,13/12/2016,10/12/2021,"Other ",
