"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
tender_162531/734167,Contract,"Highways England",Awarded,2018-12-28T16:26:34Z,"Delivery Integration Partnership (DIP)","This notice confirms award of the Delivery Integration Partner (DIP) framework to 13 suppliers (this includes 2 joint ventures, making 15 companies in total).

To support delivery of the UK Road Investment Strategy (RIS1 & RIS2 https://www.gov.uk/government/collections/road-investment-strategy), DIPs will design and construct highway projects across England under NEC4 standard terms, with suitable amendments. The term will be from 2018 to 2024.

The framework is divided into 8 lots, with each lot having a specific value threshold for work packages and covering a defined geographical area. Lots 1 to 3 (Band A) are for work packages not exceeding £100m, lots 4 to 8 (Band B) are for work packages exceeding £100m. Candidates who applied in lots 1 to 3 were not permitted to also apply in lots 4 to 8.

Successful DIPs are guaranteed an initial package of work under each lot with subsequent contracts being allocated either on a direct award basis or under mini-competition, which may include the suppliers appointed to all lots.

DIPs will undertake the following:

Support Project Control Framework (PCF) Stage 2: specialist advice on planning and buildability; and where instructed Investigative and intrusive surveys.

Accountable for PCF stages 3-7: Responsible for the detailed design and construction of designated project. Managing their designers to produce optimum solutions, in-house resource & specialist supply chain to construct scheme, ensuring scheme is delivered to time, cost and performance outcomes. The DIP will act as the Regional integrator between Highways England (HE), Technical Advisor Partner, DIP supply chain and key stakeholders to deliver an integrated solution. With specialisms including but not limited to Preliminary design; Specialist advice on the whole-life costing and future maintenance/inspection requirements and provisions; Development of collaboration arrangements; Supply Chain Strategy; Development of progress approvals & planning consents & DCOs; Buildability and Value Engineering reviews; Risk management; Development of H&S, Environmental and Quality plans for executing works; Construction and commissioning of enabling and construction works; Principal Contractor and Principal Designer under CDM duties; Revision and agreement of final account; Defects rectification and aftercare; Hand over asset; Strategic Programme Office related services: Planning & production strategy; Regional Procurement strategy & materials logistics plan; Commercial management; Digital platform transformation; Skills & capability strategy to minimise regional skills gap; Performance Management Office; Health, Safety & Welfare. Other duties as instructed by the Project Manager.",,,"North East,North West,Yorkshire and the Humber,East Midlands,West Midlands,East of England,South East,South West","45000000 ","James Mayer",dipprocurement@highwaysengland.co.uk,"The Cube, 199 Wharfside Street",,Birmingham,"B1 1RN",England,,https://www.gov.uk/government/organisations/highways-england,"DIP Framework Contracts Part 1.zip DIP Framework Contracts Part 2.zip ",,"
The framework includes a target to subcontract 25% of the value to Small and Medium-sized Enterprises.",19/11/2018,18/11/2024,28/06/2018,YES,tender_126231/644255,No,No,No,Works,8700000000,,19/11/2018,8700000000,"[Geoffrey Osborne Ltd|Fonteyn House, 47-49 London Road, Reigate, RH2 9PY|COMPANIES_HOUSE|873093|No|No][Alun Griffiths (Construction) Ltd|Waterways House, Merthyr Road, Llanfoist, Abergavenny, Monmouthshire|COMPANIES_HOUSE|0149303|No|No][Farrans Construction trading as a division of Northstone (NI) Li|99 Kingsway, Dunmurry, Belfast, BT17 9NU|COMPANIES_HOUSE|NI004078|No|No][John Graham Construction Ltd|5 Ballygowan Road, Hillsborough, County Down, BT26 6HX|COMPANIES_HOUSE|NI3503|No|No][Volker Fitzpatrick Ltd|Hertford Road, Hoddesdon, EN11 9BX|COMPANIES_HOUSE|02387700|No|No][North Midland Construction Plc|Nunn Close, The County Estate, Huthwaite, Sutton-In-Ashfield, Nottinghamshire, NG17 2HW|COMPANIES_HOUSE|425188|No|No][Amey OW Ltd|The Sherard Building, Edmund Halley Road, Oxford, OX4 4DQ|COMPANIES_HOUSE|01922327|No|No][Sir Robert McAlpine Ltd|Eaton Court, Maylands Avenue, Hemel Hempstead, HP2 7TR|COMPANIES_HOUSE|00566823|No|No][Galliford Try Infrastructure Ltd|PO BOX 17452, 2 Lochside View, Edinburgh, EH12 1LB|COMPANIES_HOUSE|SCO55775|No|No][VINCI Construction UK Limited trading as Taylor Woodrow|Astral House, Imperial Way, Watford, WD24 4WW|COMPANIES_HOUSE|02295904|No|No][BAM Nuttall Ltd|St James House, Knoll Road, Camberley, Surrey, GU15 3XW|COMPANIES_HOUSE|305189|No|No][Skanska Construction UK Ltd|Maple Cross House, Denham Way, Maple Cross, Rickmansworth, Hertfordshire, WD3 9SW|COMPANIES_HOUSE|191408|No|No][Balfour Beatty Civil Engineering|5 Churchill Place, Canary Wharf, London, E14 5HU|COMPANIES_HOUSE|044842405|No|No][Costain Ltd|Vanwall Business Park, Costain House, Maidenhead, SL6 4UB|COMPANIES_HOUSE|610201|No|No][Kier Highways Ltd|Tempsford Hall, Tempsford, Sandy, Bedfordshire, SG19 2BD|COMPANIES_HOUSE|05606089|No|No]",,19/11/2018,18/11/2024,"RestrictedOJEU ",
tender_7060/64752,Contract,"Connect Plus",Awarded,2017-11-24T13:56:46Z,"M25 Motorway Network Improvement Works Call-Off Framework Agreement","Connect Plus (M25) Ltd is employed by Highways England under a Design, Build, Finance and Operate contract to manage and maintain the M25 motorway and all associated arterial link roads over a 30 year period.
The works envisaged under this framework agreement will comprise civil engineering and technology works including but not limited to structures, geotech, junction improvements, road technology associated with improvement schemes on the M25 network.",,,"South East","45233100 ",,supplierday@connectplusm25.co.uk,"Connect Plus House, St Albans Road, South Mimms",,"Potters Bar","EN6 3NP",England,,https://connectplusm25.bravosolution.co.uk,,,,14/11/2017,14/11/2023,21/04/2017,NO,,Yes,No,No,Works,0,,14/11/2017,150000000,"[Geoffrey Osborne Ltd|Fonteyn House, 47-49 London Road, Reigate, Surrey, RH2 9PY|NONE||Yes|Yes][Jackson Civil Engineering Group Ltd|30 White House Road, Ipswich, Suffolk, IP1 5LT|NONE||Yes|Yes][R&W Civil Engineering Ltd|Locks Farm, Main Road, Dibden, Hampshire, SO45 5TD|NONE||Yes|Yes][Skanska Construction UK Ltd|Maple Cross House, Denham Way Maple Cross, Rickmansworth, Hertfordshire, WD3 9SW|NONE||Yes|Yes]",,14/11/2017,14/11/2023,"Negotiated ",
RBG001-DN296078-64349191,Contract,"Royal Borough of Greenwich",Awarded,2018-02-14T15:58:39Z,"Plumstead Library ITT/Mini Competition","The works comprise of the partial demolition of the existing building rear section.
The construction of a new two storey steel frame extension, comprising substructure with retaining walls, suspended and ground bearing slabs, composite concrete upper floors, brick clad external walls and glazed curtain walling, mono pitch standing seam zinc roof, including roof lights, finishes and all M&E services providing;
Ground floor New gym facilities; WC's; Lift; Feature stairway; Entrance lobby and circulation.
First floor New Badminton court, female and male changing rooms; WC's; Lift; Feature stairway; equipment store; external plant enclosure; comms. room and circulation.
Refurbishment comprises;
Basement alterations to provide new plant rooms and storage
Ground floor structural alterations and re-arrangement of spaces to provide new library areas (Columns, Skylight and Lounge), circulation/stairs, café, kitchen and seating area, reception, bin and general storage areas.
First floor structural alterations and re-arrangement of spaces to provide new office and meeting areas (Lodge), circulation/stairs, multi-use areas (Triplet and Vault).
Replacement of all internal mechanical, electrical and drainage services. Repairs externally to existing walls, windows, roof structure, coverings and roof lights.",,,London,"45000000 ","Shaun Fortune",Shaun.Fortune@royalgreenwich.gov.uk,"3rd Floor, The Woolwich Centre","35 Wellington Street, Woolwich",London,"SE18 6HQ","United Kingdom","+44 2089215606",http://www.royalgreenwich.gov.uk/,,,,21/11/2017,09/04/2019,09/10/2017,NO,,No,No,No,Works,8500000,8500000,30/01/2018,851767,"[Geoffrey Osborne Ltd|Fonteyn House, 47-49 London Road, Reigate, 
Surrey, RH2 9PY|NONE||No|No]",,31/01/2018,29/01/2020,"Other ",
tender_139123/626640,Contract,"City of London Corporation",Awarded,2017-10-18T15:24:00Z,"123-124 New Bond Street - Redevelopment CFA PCSA v2","Redevelopment of 123 & 124 New Bond Street",,,London,"45453100 ","Michael Harrington",Michael.Harrington@cityoflondon.gov.uk,Guildhall,,London,"EC2P 2EJ",England,,,,,,13/09/2017,31/10/2020,26/05/2017,NO,,No,No,No,Works,405795,,13/09/2017,405750,"[Geoffrey Osborne Ltd|Fonteyn House, 47-49 London Road, Reigate, Surrey, RH2 9PY, UNITED KINGDOM|||No|No]","Fiona Gallop",13/09/2017,31/10/2020,"Open ",
"CDF PC2 0027.1",Contract,"Highways Agency",Awarded,2017-10-05T15:50:25Z,"Intrusive Surveys - PCF Stage 3","Intrusive Surveys - PCF Stage 3.",,,"Any region","71311200 ",,Denis.Bokeh@highwaysengland.co.uk,Lateral,"8 City Walk",Leeds,"LS11 9AT",England,,,,,,30/08/2017,30/08/2020,29/08/2017,NO,,No,No,No,Services,9000000,,29/08/2017,9000000,"[Geoffrey Osborne Ltd|Osborne House
51 Fishbourne Road
Chichester
PO19 3HZ|||No|No]",,30/08/2017,30/08/2020,"Other not specified",
"CDF PC2 0024",Contract,"Highways Agency",Awarded,2017-09-14T16:17:36Z,"CDF: M27 Romsey Road Bridge Replacement","The M27 Romsey Road overbridge is a sub-standard structure constructed in 1974, which requires urgent mitigation to address the health and safety implications caused by the ongoing severe deterioration of pre-stressed beams.",,,"South East","71000000 ",,TransparencySGRM@highwaysengland.co.uk,Lateral,"8 City Walk",Leeds,"LS11 9AT",England,,,"Letter Award Geoffrey Osborne Ltd.pdf ",,,13/09/2017,30/08/2019,12/09/2017,NO,,No,No,No,Services,276085.05,,12/09/2017,276085.05,"[Geoffrey Osborne Ltd|Osborne House
51 Fishbourne Road
Chichester
PO19 3HZ|||No|No]",,13/09/2017,30/08/2019,"Other not specified",
"CDF PC2 0009",Contract,"Highways Agency",Awarded,2016-06-17T09:43:30Z,"A38 Derby Junctions - Ground Investigation Works","The scheme comprises 3 junctions, Kingsway, Markeaton and Little Eaton. They are currently roundabouts and will be grade-seperated. The Kingsway and Markeaton are in an urban environment but are adjacent to public open space and Little Eaton is in a rural environment. 
The scheme now requires Ground Investigation Work to be done.",,,"East Midlands","71310000 ",,TransparencySGRM@highwaysengland.co.uk,Lateral,"8 City Walk",Leeds,"LS11 9AT",England,,,,,,14/06/2016,18/11/2016,14/06/2016,NO,,Yes,No,No,Products,634477.22,,14/06/2016,634477.22,"[Geoffrey Osborne Ltd|Osborne House
51 Fishbourne Road
Chichester
PO19 3HZ|||No|No]",,04/07/2016,18/11/2016,"Open ",
"CDF PC2 0003",Contract,"Highways Agency",Awarded,2016-01-20T10:37:36Z,"Buildability Advice","Buildability advice services.",,,"Any region","71311000 ",,jessica.openshaw@highwaysengland.co.uk,Lateral,"8 City Walk",Leeds,"LS11 9AT",England,,,,,,15/01/2016,31/12/2019,07/12/2015,NO,,No,No,No,Services,0,480000,15/01/2016,480000,"[Geoffrey Osborne Ltd|4-5 Manor Courtyard,
Sherington,
Newport Pagnell, 
MK16 9PR|||No|No]",,15/01/2016,31/12/2019,"Restricted ",
"CDF PC2 002",Contract,"DEPARTMENT FOR TRANSPORT",Awarded,2015-12-01T12:15:02Z,"The Collaborative Delivery Framework/CDF PC2 002 - NDD East Areas 6 and 8 Cycling Schemes 2015-16","The Collaborative Delivery Framework/CDF PC2 002 - NDD East Areas 6 and 8 Cycling Schemes 2015-16",,,"East Midlands","71311000 ",,TransparencySGRM@highwaysengland.co.uk,"Highways England","Lateral 8 City Walk",Leeds,"LS11 9AT",England,,,,,,27/11/2015,31/03/2016,27/11/2015,NO,,No,No,No,NotSpecified,2117236.28,,27/11/2015,2117236.28,"[Geoffrey Osborne Ltd|Osborne House
51 Fishbourne Road
Chichester
PO19 3HZ|||No|No]",,27/11/2015,31/03/2016,"Restricted ",
tender_174037/762615,Contract,"City of London Corporation",Awarded,2019-04-12T15:36:41Z,"Major Construction Works - General 1 000 000 GBP - 4 600 000 GBP","The City of London (The City) wish to procure a new major construction works framework to support its delivery
programmes, strategy and other initivaties. This may include a variety of construction works and disciplines
to maintain the city's estate. Each individual contract let under this framework will range (but is not limited to)
works values between 1 000 000 GBP to 4 600 000 GBP.",,,"South East","45000000 ","Michael Harrington",Michael.Harrington@cityoflondon.gov.uk,Guildhall,,London,"EC2P 2EJ",England,,,,,,12/04/2019,28/02/2023,19/10/2018,NO,,Yes,Yes,No,Works,200000000,,12/04/2019,200000000,"[Morgan Sindall|1 Falcon GAte, Shire Park, Welwyn Garden City, Hertfordshire, AL7 1TW, UNITED KINGDOM|NONE||No|No][Geoffrey Osborne Ltd|Fonteyn House, 47-49 London Road, Reigate, Surrey, RH2 9PY, UNITED KINGDOM|NONE||No|No][McLaughlin & Harvey Limited|15 Trench Road, Mallusk, Newtownabbey, Belfast, BT36 4TY, UNITED KINGDOM|NONE||No|No][Speller Metcalfe|Maple Road, Enigma Business Park, Malvern, Worcestershire, WR14 1GQ, UNITED KINGDOM|NONE||No|No][8build Limited|64 Leman Street, London, Greater London, E1 8EU, UNITED KINGDOM|NONE||No|No][Gilbert-Ash|47 Boucher Road, Belfast, Antrim, BT12 6HR, UNITED KINGDOM|NONE||No|No]","Ray McAuley",12/04/2019,28/02/2023,"RestrictedOJEU ",
