"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
"AWARDEDNIBSeptember 2017",Contract,"STOCKPORT HOMES LIMITED",Awarded,2017-11-22T09:35:44Z,"Landscaping Northumberland Road / Falmouth Crescent - Brinnington","Stockport Homes is seeking a contractor to carry out landscaping works to the rear of 4 no. low rise blocks in Brinnington. The works will include removing existing hard landscaping and reinstating with a mixture of tarmac paths and new areas of grass. Other work elements will include removing 2 no. trees, reforming access steps, erecting fencing and installing rotary dryers",,,"North West","77310000 ","James Hood",james.hood@stockporthomes.org.uk,Cornerstone,"2 Edward Street",Stockport,"SK1 3NQ",England,,,"1-23 Northumberland Road + 1-12 Falmouth Crescent - Invitation To Tender Letter.pdf 1-23 Northumberland Road + 1-12 Falmouth Crescent - Tender Document.pdf 170002-06A.pdf ",,"All completed tenders to be returned to procurementshl@tockporthomes.org
by 12noon on the 5th October 2017. Hand delivered Tenders will not be accepted. Thank You.",06/11/2017,22/12/2017,05/10/2017,YES,"NIBSeptember 2017",Yes,No,No,Works,0,,03/11/2017,0,"[Groundwork Landscapes Ltd|Top O' Th' Moor Farm,
Moorbottom Road,
Holcombe
Bury
BL8 4NR|||Yes|No]",,01/12/2017,31/05/2018,"OpenNonOJEU ",
DN64233,Contract,"Salford City Council",Awarded,2016-01-18T15:26:54Z,"Roe Green Loopline Phase 1","Salford City Council Mini Competition Landscaping and Associated Services Framework Lot 1",,,"North West","45000000 ",,procurement@salford.gov.uk,"Salford Civic Centre, Unity House, Chorley Road",Swinton,Salford,"M27 5AW",England,,,,,,17/01/2016,15/04/2016,17/01/2016,NO,,Yes,No,No,NotApplicable,409842,,23/12/2015,409802,"[Groundwork Landscapes Ltd|Groundwork Landscapes
Top O TH Moor Farm
Moorbottom Road
Holcombe
Bury, BL8 4NR|||No|No]",,18/01/2016,15/04/2016,"Other ",
DN487522,Contract,"STAR Procurement",Awarded,2020-09-23T12:12:33Z,"Installation of Alley Gates","Installation of Alley Gates Scheme",,,"North West","45000000 ","Michael Fanning",michael.fanning@star-procurement.gov.uk,"1FE Trafford Town Hall",,MANCHESTER,M320TH,England,"07834 869726",,,,,14/09/2020,31/03/2021,14/08/2020,NO,,Yes,Yes,No,Works,43455,,08/09/2020,43455,"[Groundwork Landscapes Ltd|Top o th Moor Farm, Holcombe, Bury, BL8 4NR,|COMPANIES_HOUSE|1339901|Yes|No]",,14/09/2020,31/03/2021,"SingleTenderActionNonOJEU ",,12:00
KIRKC001-DN481451-68749580,Contract,"Kirklees Council",Awarded,2020-07-20T00:00:00Z,"KMCEGS-116 Riddings Play Area Improvements","Please go to www.YORtender.co.uk to access the Tender Documentation for this opportunity.

The Work is the refurbishment of an existing play area in the Riddings Road area of Huddersfield. The Work involves surfacing and installation of new play equipment and making good.
",,,"Yorkshire and the Humber","45112723 45236210 50870000 ","Christina Lee",procurement@kirklees.gov.uk,"Civic Centre 1",,Huddersfield,"HD1 2NF","United Kingdom","+44 1484221000",http://www.kirklees.gov.uk,,,,03/08/2020,11/09/2020,29/06/2020,NO,,Yes,No,No,Works,32000,32000,09/07/2020,24565,"[Groundwork Landscapes Ltd|BL8 4NR|NONE||Yes|No]","Mr Peter Richardson",03/08/2020,11/09/2020,"Open ",
SALF001-DN432891-03672355,Contract,"Salford City Council",Awarded,2019-11-07T13:55:58Z,"Cleavley Athletics Track Car Park Alterations","Cleavley Athletics Track Car Park Alterations",,,"North West","45000000 ","Natalia Woszczyk",natalia.woszczyk@salford.gov.uk,"1st Floor, Unity House, Salford Civic Centre","Chorley Road",Swinton,"M27 5AW",England,"+44 1617932220",http://www.salford.gov.uk/,,,,06/01/2020,28/02/2020,30/08/2019,NO,,No,No,No,Works,106000,106000,07/11/2019,106000,"[GROUNDWORK LANDSCAPES LTD|BL8 4NR|NONE||Yes|No]","Mr Marc Richardson",06/01/2020,28/02/2020,"Open ",
f8b0f211-e9d6-416c-a4b0-b01e9040e972,Contract,"Longendale High School",Awarded,2019-06-24T16:33:06Z,"CA6032 - Longendale High School - Perimeter Fencing","Longendale High School is looking to obtain competitive fixed prices to install standard 2.4m high palisade security fencing to the boundary area to four sides of the school.  

To access this competition: 

Registered:
Login to https://suppliers.multiquote.com and view the opportunity CA6032.

Not registered:
Visit https://suppliers.multiquote.com then register and quote CA6032 as the reason for registration. 

 Any queries please contact MultiQuote on 0151 482 9230.",,"SK14 8LW","Any region","34928200 34928310 ",,support@multiquote.com,"Spring Street",,Hyde,"SK14 8LW",England,"0151 482 9230",https://suppliers.multiquote.com,,,,22/07/2019,02/09/2019,13/06/2019,NO,,Yes,No,No,Services,0,,24/06/2019,77402.6,"[GROUNDWORK LANDSCAPES LTD|TOP O TH MOOR FARM, , BURY, BL8 4NR|NONE||No|No]","PETER RICHARDSON",22/07/2019,02/09/2019,"Open ",
KIRKC001-DN389552-66784915,Contract,"Kirklees Council",Awarded,2019-03-18T13:32:32Z,"KMCEGS-103 Improvements to Stocksbank road Play Area, Mirfield","Quotations are invited by the Council of the Borough of Kirklees (the ""Council"") from suppliers with relevant experience and ability to demonstrate sufficient capacity for Play Area Improvements at Stocksbank Road, Mirfield, WF14 9QB",,,"Yorkshire and the Humber","43320000 43325000 ","Christina Lee",Christina.Lee@kirklees.gov.uk,"Flint Street depot",Fartown,Huddersfield,"HD1 6LG",England,"+44 1484221000",http://www.kirklees.gov.uk,,,,20/05/2019,28/06/2019,18/02/2019,NO,,Yes,No,No,Works,33500,33500,18/03/2019,30444,"[GROUNDWORK LANDSCAPES LTD|BL8 4NR|NONE||Yes|No]","MR PETER RICHARDSON",03/06/2019,05/07/2019,"Open ",
CF1V3-20160112-00000555,Contract,"Oldham Council",Awarded,2016-01-12T16:35:57Z,"Coalshaw Green Park MUGA Works","The proposal is to refurbish the existing sports courts facility at Coalshaw Green Park, Chadderton, Oldham OL9 8JW 
Sitting in the centre of a popular urban Park and less than a minutes? walk from the new Metrolink South Chadderton tram stop the site offers potential for further improvement. Currently offering 7a side football, basketball and tennis courts it is acknowledged that the facility now requires refurbishment to develop and encourage further usage. To enable us to encourage more sports users the proposals include for a multi-use football / basketball enclosed court, tennis court and additional netball court.   
Adjacent to the sports courts is a recently refurbished wheeled sports area (skateboard / rollerblade / bmx) and the site is also in close proximity to the children?s play area. 

Funding has been secured from a number of sources towards the cost of providing refurbishment to this sports /games facility.
",,,"North West","45000000 ","Emily Molden",emily.molden@oldham.gov.uk,"Corporate Procurement Level 8","Civic Centre, West Street",Oldham,"OL1 1UT",UK,"+44 1617701643",,,,"All information and documentation on the Chest.

Please note this opportunity has been awarded and is now closed. 
All documentation on the Chest.  ",01/04/2016,31/05/2016,02/11/2015,NO,,No,No,No,Works,96000,96000,11/01/2016,96000,"[Groundwork Landscapes Ltd|Top O Th Moor Farm, Holcombe, Bury, Greater Manchester, BL8 4NR, UK|||No|No]",,01/04/2016,31/05/2016,"NotSpecified ",
awardedNIB18MC,Contract,"STOCKPORT HOMES LIMITED",Awarded,2018-05-23T15:07:10Z,"Framework Agreement for General Landscaping Works and / or the Fabrication and Installation of Metal Railings / Gates plus the Installation of Fencing","To facilitate delivery of Neighbourhood Investment Work, Stockport Homes is seeking suitably qualified contractors to secure a place on our new framework agreement for General Landscaping Works and / or the Fabrication and Installation of Metal Railings / Gates plus the installation of Fencing. The framework is anticipated to run for a period of four years from 01/04/2018 - 31/03/2022. The overall approximate value of the contract is £2,500.000. Works will predominately be to areas around Stockport Homes properties, however there may be opportunities to carry out works for schools within the Borough.",,,"North West","45112700 45341000 45342000 ",,procurementshl@stockporthomes.org,"2 Edward Street",,STOCKPORT,SK13NQ,England,"0161 474 3579",,"APPENDIX 1 - Framework Agreement Terms and Conditions.pdf APPENDIX 2 PRICING SCHEDULE LOT 1 AND2.xlsx APPENDIX 4 DS01.pdf APPENDIX 5 DS02.pdf APPENDIX 6 DS03.pdf APPENDIX 7 DS04.pdf APPENDIX 8 DS05.pdf APPENDIX 9 DS06.pdf APPENDIX 10 120006-17A.pdf ITT NIB18MC.pdf APPENDIX 3 - Tender Response Questionnaire.docx DS05.pdf NIB18MC Clarification Questions and Answers.pdf ",,,01/04/2018,31/03/2022,07/03/2018,YES,"clarification questions addedNIB18MC",Yes,No,No,Works,0,,21/03/2018,0,"[Heritage Construction and Landscaping Ltd|Floats Road,
Roundthorn Industrial Estate,
Manchester
M23 9PL|COMPANIES_HOUSE|03689593|No|No][Alben Landscapes Ltd|Alben Depot
Moss Lane
Leyland
Preston
PR26 6PU|COMPANIES_HOUSE|06843609|No|No][The Casey Group|Rydings Road
Rochdale
0L12 9PS|COMPANIES_HOUSE|4233269|No|No][Jackson, Jackson and sons Ltd|Jackson House,
2 Red Lane
Rochdale
0L12 9DB|COMPANIES_HOUSE|02591346|No|No][Lets play (everwhere)Ltd|Chester House
Stansfield Street
Nelson
Lancs
BB9 9XY|COMPANIES_HOUSE|07058903|No|No][Plano Ltd|Belmont Works
Egerton Road
Belmont
BL7 8BN|COMPANIES_HOUSE|06426464|No|No][Groundwork Landscapes Ltd|Top o Th Moor Farm
Holcombe
Bury
BL8 4NR|COMPANIES_HOUSE|01339901|No|No]",,01/04/2018,31/03/2022,"OpenNonOJEU ",
MANC001-DN406035-14288555,Contract,"Manchester City Council",Awarded,2019-10-22T14:06:24Z,"TC030 Provision of Fencing and Landscape Works","TC030 Provision of Fencing and Landscape Works",,,"North West","34928220 ","Louise Savage",l.savage@manchester.gov.uk,"Room 407","Town Hall",Manchester,"M60 2LA","United Kingdom","+44 1612344346",http://www.manchester.gov.uk,,"https://procontract.due-north.com/Advert?advertId=4328e6b7-5167-e911-80f7-005056b64545 ",,01/07/2019,30/06/2022,09/05/2019,NO,,No,No,No,Services,60000,60000,28/06/2019,104650,"[Fairway Landscapes Ltd|Marthall Nursery, Chelford Road, KNUTSFORD, Cheshire, WA16 8SZ,|NONE||Yes|No][Groundwork Landscapes Ltd|TOP O TH MOOR FARM, HOLCOMBE, BURY, Lancashire, BL8 4NR|NONE||Yes|No][Horticon Ltd|Moor Lane Nursery, Wilmslow, Cheshire, SK9 6DN,|NONE||Yes|No]",,01/07/2019,30/06/2022,"Open ",
