"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
BRISTOLCC001-DN451478-21571065,Contract,"Bristol City Council",Awarded,2019-12-03T17:10:46Z,"The refurbishment of two high play towers located at Blaise Playground","There are two pieces of play equipment at Blaise Playground that are now in need of repair and refurbishment. The towers have been in place for 20 years and were purchased from and installed by HAGS. The towers are high and have multiple platforms some which recently were targeted by vandals and set on fire and are now damaged.",,,"South West","50870000 ","Teresa Crichton",Teresa.Crichton@bristol.gov.uk,"City Hall","College Green",Bristol,"BS1 5TR",England,,https://www.bristol.gov.uk/,,,,06/11/2019,06/11/2020,31/10/2019,NO,,Yes,No,No,Works,51167,51167,04/11/2019,51167.15,"[HAGS SMP Ltd|TW20 8PG|NONE||Yes|No]","Mrs Helen Thrussell",06/11/2019,06/11/2020,"Other ",
"CBC-0956-T-LP - AWARD",Contract,"Central Bedfordshire Council",Awarded,2019-02-14T07:46:15Z,"CBC-0956-T-LP Play Area 4 Lots - AWARD","This tender is split into 4 x Lots and may result in different providers for each location. 
      Please view location map appendix attached doc: Location maps
      
      Improvements to existing play area through the replacement of play equipment and impact absorbing surface - enhancing the play experience for children at:  
      o Appenine Way (enclosed), Leighton Buzzard, LU7 3XE
      o Meadow Way (enclosed), Leighton Buzzard, LU7 3XN
      o Nelson Road, Leighton Buzzard, LU7 3EE
      o Trident Drive, Houghton Regis, LU5 5QF",,"SG17 5TQ","Any region","37535200 37535230 37535260 37535250 45236210 37535220 37535240 37535210 37535270 37535280 50870000 43325000 ","ADMINISTRATOR ADMINISTRATOR",procurement@centralbedfordshire.gov.uk,"Priory House",Chicksands,Shefford,"SG17 5TQ","United Kingdom",03003008000,,,,,28/01/2019,28/06/2019,11/01/2019,NO,,No,No,No,Works,107758,107758,04/01/2019,34758.59,"[HAGS SMP Ltd|Clockhouse Nurseries, Clockhouse Lane East, Egham, Surrey, United Kingdom, TW20 8PG|NONE||No|No][Ludus Leisure Ltd|Brooklyn, Main Street, York, York, United Kingdom, YO61 1QQ|NONE||No|No][Proludic Ltd|The Play Hub, 3 Bradmore Business Park, Loughborough Road, Bunny, Nottingham, United Kingdom, NG11 6QA|NONE||No|No]","Helen Thrussell",28/01/2019,28/06/2019,"Open ",
NOTTCITY001-DN484276-17607307,Contract,"Bassetlaw District Council",Awarded,2020-11-10T13:50:46Z,"CPU 4078 (BDC) Bespoke Play Equipment","Bassetlaw District Council is seeking tenders for the bespoke design, supply and installation 'Mayflower' play equipment at Kings Park Retford.  This Invitation to Tender is issued in respect of a further competition conducted under the Braintree District Council Framework PROC16-0105 Playground Equipment, Lot 1 Playground and Gym Equipment, and the call-off terms and conditions will apply.",,,"East Midlands","43325000 ","Holly Fisher",Holly.Fisher@nottinghamcity.gov.uk,"Loxley House","Station Street",Nottingham,"NG2 3NG","United Kingdom","+44 0",http://www.nottinghamcity.gov.uk,,,,30/11/2020,26/02/2021,07/08/2020,NO,,Yes,No,No,Services,75000,75000,03/11/2020,75000,"[HAGS SMP Ltd|Clockhouse Nurseries
Clockhouse Lane East
Egham
Surrey
TW20 8PG|NONE||No|No]",,23/11/2020,31/03/2021,"Other ",,12:00
tender_225794/889537,Contract,"London Borough of Hillingdon",Awarded,2020-09-24T10:33:07Z,"Playground Inspection, Maintenance and Repair Services","The London Borough of Hillingdon is running an open tender competition for an agreement (the Contract) for the Playground Inspection, Maintenance and Repair Services within the boundaries of the London Borough of Hillingdon",,,London,"50870000 ",,jpatterson@hillingdon.gov.uk,"London Borough of Hillingdon",,Uxbridge,"UB8 1UW",England,,,,,,22/02/2020,21/02/2024,09/01/2020,NO,,Yes,No,No,Services,97500,,24/06/2020,97500,"[HAGS SMP Ltd|Clockhouse Nurseries, Clockhouse East Lane, Egham, Surrey TW20 8DA|NONE_OTHER||No|No]",,17/07/2020,16/07/2023,"OpenOJEU ",,12:00
NHM002-DN472830-40667315,Contract,"Northumberland County Council",Awarded,2020-09-09T16:31:14Z,"NCC378 Design, Supply & Installation of Astley Play Park","Design, supply and installation of play equipment at Astley Play Park, Seaton Delaval.",,,"North East","37535200 43325000 45112723 ","Jacqui Arkle",jacqui.arkle@northumberland.gov.uk,"County Hall",,Morpeth,"NE61 2EF","United Kingdom","+44 1670622550",http://www.northumberland.gov.uk,,,"All tender documents are available FOC to download and bid from https://procontract.due-north.com/ refrence for the project is DN472830
",18/05/2020,31/07/2020,24/04/2020,NO,,No,No,No,Works,60000,60000,18/06/2020,60000,"[HAGS SMP Ltd|TW20 8PG|NONE||Yes|No]","Mrs Helen Thrussell",01/09/2020,30/11/2020,"Open ",,00:00
BATH001-DN443884-51556756,Contract,"Bath and North East Somerset Council",Awarded,2020-07-15T00:00:00Z,"Play Area Improvements at Kelston Road Park, Keynsham. BS31 2JL","This is a Contract for design, supply and installation of play improvements including: • Removal and disposal of existing play equipment, safer surfacing and play area gates • Supply and installation of new play equipment, safer surfacing, gates, seats and paths.  Full details and a specification are included in the Invitation to Tender document available to download through the Supplying the Southwest procurement portal.",,"BS31 2JL","Any region","37535200 ","Peter Sessions",pete_sessions@bathnes.gov.uk,"Royal Victoria Park Nursery","Marlborough Lane",Bath,"BA1 2LZ","United Kingdom",,http://www.bathnes.gov.uk,,,,01/05/2020,17/07/2020,17/04/2020,NO,,No,No,No,Works,105000,105000,12/06/2020,105000,"[HAGS SMP Ltd|TW20 8PG|NONE||Yes|No]","Mrs Helen Thrussell",15/07/2020,17/10/2020,"Open ",
CHORL001-DN458518-76406036,Contract,"Chorley Council",Awarded,2020-03-06T13:43:16Z,"Quotation for the Refurbishment of the Play Area at Grey Heights View, Chorley","Chorley Council has awarded a contract for the refurbishment of a play area at Grey Heights View, Chorley.",,,"North West","37000000 ",,procurement@chorley.gov.uk,"Town Hall","Market Street",Chorley,"PR7 1DP","United Kingdom","+44 1257515638",http://www.chorley.gov.uk/,,,,01/04/2020,01/05/2020,17/02/2020,NO,,No,No,No,NotApplicable,26000,26000,06/03/2020,26000,"[HAGS SMP Ltd|Clockhouse Nurseries, Clockhouse Lane East, Egham, Surrey, TW20 8PG|NONE||Yes|No]",,01/04/2020,01/05/2020,"Other ",
CBCSWPA2019,Contract,"CORBY BOROUGH COUNCIL",Awarded,2020-03-04T11:54:10Z,"Stephenson Way Play Area","The Council has successfully secured £60,000 of external funding to enhance an established play area at Stephenson Way in Corby and is now seeking a suitably qualified and experienced Contractor to undertake the scheme, within a tight timescale.
The Works shall consist of the following -
Removal and appropriate disposal off-site of all unwanted equipment and features (including foundations) comprising -
Wooden Bridge
Boulders
Wooden Train x 2 (Engine & Carriage)
Tunnel
Red Spinning Post
Wooden Sleepers
Play Area Sign
Make good resulting ground, including fill / consolidate voids and level
Design new area based on an ""outer space"" theme to compliment remaining equipment
Prepare ground to receive new design, including site strip, any required land-drainage, stabilisation of soft spots, concrete edging kerbs, geotextile membrane and suitable granular sub-base
Supply & install new equipment and features in concrete foundations, all as per manufacturer's recommendations
Supply & lay quality EPDM wet-pour safety surfacing in colours to suit design
Supply & install an A0 size sign to be displayed on the Park boundary. This sign is to be metal and mounted on 2 metal posts. The design and content is to be agreed with the Council before installation. An example can be seen in Appendix 1
Provide an independent Post Installation Safety Inspection Report",,,"East Midlands","37535200 43325000 45212140 ",Procurement,procurement@corby.gov.uk,"George Street",,CORBY,NN171QG,England,"01536 464 674 ext 4674",,"02. Document 2 - Specification - Stephenson Way Play Area V5.docx 03. Document 3 - Preliminaries And General Conditions V3.pdf Draft Terms and Conditions.pdf 01. Document 1 - Instructions To Bidders Stephenson Way Play Area V4.docx 04. Document 4 - Response Document Stephenson Way Play Area V2.docx ",,,13/02/2020,12/03/2020,26/11/2019,YES,CBCSWPA2019,Yes,Yes,No,Works,60000,,03/03/2020,60000,"[HAGS SMP LTD|Clockhouse Nurseries
Clockhouse Lane East
Egham,Surrey
TW20 8PG|COMPANIES_HOUSE|908021|Yes|No]",,09/03/2020,09/05/2020,"OpenNonOJEU ",
WORCESTER001-DN332258-55612059,Contract,"Worcester City Council",Awarded,2020-02-13T12:18:27Z,"Perdiswell Leisure Centre New Junior Toddler Play Area Further Competition ESPO 115 Lot 1","Worcester City Council invited Quotes from Works providers for the design, manufacture, delivery and installation of playground equipment for a new Junior - Toddler Play area at Perdiswell Leisure centre, Bilford Road.

Bidders were required to submit technical and installation drawings for the playground equipment and a proposal for the manufacture, delivery and installation of the playground equipment as part of the Bidder's Quote submission.",,,"West Midlands","37535200 ",,procurement@worcester.gov.uk,"The Guildhall","High Street",Worcester,"WR1 2EY",England,,http://www.worcester.gov.uk/,,,,07/05/2018,31/08/2018,23/04/2018,NO,,Yes,Yes,No,Products,0,,24/04/2018,100000,"[HAGS SMP Ltd|Clockhouse Nurseries, Clockhouse Lane East, Egham, Surrey, TW20 8PG|NONE||Yes|No]",,07/05/2018,31/08/2018,"NotApplicable ",
WORCESTER001-DN378301-96154555,Contract,"Worcester City Council",Awarded,2020-02-10T13:16:44Z,"FURTHER COMPETITION UNDER ESPO FRAMEWORK 115 Lot 2 Outdoor Playground Equipment","Further competition was invited under the terms and conditions of ESPO framework agreement ref 115 Lot 2 for the Supply and Installation of Outdoor Playground for Worcester City Council.
",,,"West Midlands","37000000 37416000 ",,procurement@worcester.gov.uk,"The Guildhall","High Street",Worcester,"WR1 2EY",England,,http://www.worcester.gov.uk/,,,,18/02/2019,31/03/2019,11/01/2019,NO,,Yes,No,No,Products,0,,12/02/2019,150000,"[HAGS SMP Ltd|Clockhouse Nurseries, Clockhouse Lane East, Egham, Surrey, TW20 8PG|NONE||Yes|No]",,18/02/2019,31/03/2019,"NotApplicable ",
DCC001-DN417981-71208351,Contract,"Durham County Council",Awarded,2019-11-18T09:12:20Z,"Heath Close Peterlee Play Space Refurbishment","Health Close Peterlee Play Space Refurbishment for Peterlee Town Council",,,"North East","43325000 ","Kelly Stewart",kstew@durham.gov.uk,"Corporate services","County Hall",Durham,"DH1 5UL",England,,http://www.durham.gov.uk,,,,28/11/2019,28/02/2020,02/08/2019,NO,,Yes,No,No,Works,90000,90000,18/11/2019,90000,"[Hags SMP Ltd|Clockhouse Nurseries, 
Clockhouse Lane East, 
Egham, 
Surrey, 
TW20 8PG|NONE||No|No]",,28/11/2019,28/02/2020,"Open ",
