"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
CH0649,Contract,"Chorley Borough Council",Awarded,2020-10-27T10:21:03Z,"Shared Learning Management System Learning Pool Ltd Contract","Chorley Council & South Ribble Council Shared Learning Management System Learning Pool Ltd Contract. 5 year contract, 3 years fixed contract, with the option to extend for years 4 & 5 with a commercial break at the end of year 3. Year 1 £16,216 + VAT, Year 2 £13,216 + VAT, Year 3 £13,216 + VAT, Year 4 £13,216 + VAT, Year 5 £13,216 + VAT. 5 year contract £69,080 + VAT.",,,"North West","48517000 ",,procurement@chorley.gov.uk,"Civic Offices",,CHORLEY,PR71DP,England,01257515622,,,,,25/09/2020,24/09/2023,23/09/2020,NO,,Yes,Yes,No,Services,0,,24/09/2020,42648,"[LEARNING POOL LIMITED|100 Patrick Street
BT48 7EL
GB|COMPANIES_HOUSE|NI060102|Yes|No]",,25/09/2020,24/09/2023,"Other Waiver",,14:00
BOURN001-DN347617-49008447,Contract,"Bournemouth Christchurch and Poole Council",Awarded,2019-10-10T09:37:59Z,"Joint e-learning contract between Bournemouth & Poole","To award a 2 year contract for a new shared e-learning service between Bournemouth and Poole. It is part of a blended solution of learning in both councils.",,,"South West","80000000 ",,procurement@bcpcouncil.gov.uk,"Bournemouth Christchurch and Poole Council","Town Hall, Bourne Avenue",Bournemouth,"BH2 6DY",England,,,,,,28/10/2017,31/03/2022,26/10/2017,NO,,Yes,No,No,Services,114268,,27/10/2017,51930,"[Learning Pool Ltd|BT48 7EL|NONE||Yes|No]",,28/10/2017,31/03/2022,"Open ",
BIP359642676,Contract,"Telford & Wrekin Council",Awarded,2018-11-20T13:44:16Z,"Learning Pool Total with Government and Social Care Catalogue Service Agreement","Provision of learning management system with government and social care catalogue",,,"West Midlands","80420000 ","Jon Power",jon.power@telford.gov.uk,"Addenbrooke House","Ironmasters Way",Telford,"TF3 4NT",UK,+441952380141,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=359642676 ",,26/10/2018,25/10/2020,24/10/2018,NO,,Yes,No,No,Services,91900,,24/10/2018,91900,"[Learning Pool LTD|Old City Factory
        100 Patrick Street
        Londonderry
        BT48 7EL|NONE||No|No]",,26/10/2018,25/10/2020,"Open ",
tender_168682/666141,Contract,"City of London Corporation",Awarded,2018-04-10T16:31:45Z,"Learning Pool/total service with compliance and core skills catalogues - G Cloud","Contract award under Most Economically Advantageous Tender (MEAT)",,,"Any region","48000000 ","Christina Paraskevaidou",Christina.Paraskevaidou@cityoflondon.gov.uk,Guildhall,,London,"EC2P 2EJ",England,"0207 332 3103",,,,,31/03/2018,30/03/2020,01/03/2018,NO,,No,No,No,Services,105900,,15/03/2018,105900,"[Learning Pool Ltd|55 Clarendon Street, Derry,  Derry, BT48 7ER|NONE||No|No]",,31/03/2018,30/03/2020,"Other ",
tender_168682/665695,Contract,"City of London Corporation",Awarded,2018-04-09T14:32:28Z,"Learning Pool/total service with compliance and core skills catalogues - G Cloud","Contract awarded under Most Advantageous Tender",,,"Any region","48000000 ","Christina Paraskevaidou",Christina.Paraskevaidou@cityoflondon.gov.uk,Guildhall,,London,"EC2P 2EJ",England,"0207 332 3103",,,,,31/03/2018,30/03/2020,25/03/2018,NO,,No,No,No,Services,105900,,28/03/2018,105900,"[Learning Pool Ltd|55 Clarendon Street, Derry,  Derry, BT48 7ER|NONE||No|No]",,31/03/2018,30/03/2020,"Other ",
HEE001-DN468783-91832251,Contract,"Health Education England",Awarded,2020-03-04T09:52:44Z,"Maintenance and Support of Learning Locker Software and Servers","We are seeking a partner to provide us with an on-premise Learning Locker Enterprise license to include support for the Learning Locker tool and maintenance of the Mongo database environment and servers.

The product to be hosted on HEE's Microsoft Azure environment, to be paid for separately by HEE not the supplier.

Further details can be found within the ITT documentation on HEE's e-tendering platform ProContract (link below)
",,,"Any region","72000000 ","Leila Hodson",leila.hodson@hee.nhs.uk,"1st Floor, Blenheim House","Duncombe Street",Leeds,"LS1 4PL","United Kingdom",,https://hee.nhs.uk/,,"https://procontract.due-north.com/Opportunities/Index?p=40bb618e-0a24-e611-8114-000c29c9ba21&v=2 ",,30/03/2020,29/03/2022,15/03/2020,NO,,Yes,No,No,Services,100000,,31/03/2020,65553,"[Learning Pool Ltd|BT48 7EL|NONE||Yes|No]",,01/04/2020,31/03/2022,"Open ",,00:00
PS049,Contract,"BIRMINGHAM CITY UNIVERSITY",Awarded,2018-06-18T10:18:18Z,"Tender for an E-Learning Provider for an Online Training Library","The University has recently made a significant investment into a new Oracle Cloud integrated HR, Finance and Payroll system. BCU would like to launch a new, updated range of online training courses hosted on the Oracle Learning Management System. Birmingham City University is seeking to appoint an e-Learning Provider for an Online Training Library.",,,"West Midlands","80420000 ","Jamila Hinds-King",Jamila.HK@bcu.ac.uk,"Birmingham City University","1st Floor, Joseph Priestley Building, 6 Cardigan Street",BIRMINGHAM,"B4 7BD",England,"0121 331 7652",,,"https://in-tendhost.co.uk/bcu/aspx/Home ",,11/06/2018,10/06/2020,30/04/2018,YES,PS049,No,No,No,Services,20000,50000,21/05/2018,45000,"[Learning Pool Ltd|100 Patrick Street
Derry
Londonderry
BT48 7EL|COMPANIES_HOUSE|NI060102|No|No]",,11/06/2018,10/06/2020,"OpenNonOJEU ",
PP17010,Contract,"WOLVERHAMPTON CITY COUNCIL",Awarded,2017-03-10T08:52:44Z,"E Learning Portal","City of Wolverhampton Council requires a Learning Management System providing a platform for both e-learning programmes and a booking / recording system for all face to face training delivered across the council",,,"West Midlands","80420000 ",,john.thompson@wolverhampton.cov.uk,"Civic Centre",,Wolverhampton,WV11RL,England,,,,,,01/03/2017,28/02/2019,28/02/2017,NO,,No,No,No,Services,109200,,15/02/2017,109200,"[Learning Pool Ltd|100 Patrick Street, Derry, Northern Ireland, BT48 7EL|||No|No]",,01/03/2017,28/02/2019,"DirectAward ",
SYHA001-DN490093-88631420,Contract,"South Yorkshire Housing Association",Awarded,2020-07-31T11:06:34Z,"Learning Management System","South Yorkshire Housing Association is looking to appoint a provider for a Learning Management System with relevant Content Libraries. Full details and documents can be found on the ProContract portal https://procontract.due-north.com/Login",,,"Yorkshire and the Humber","48000000 ","Clare Murdoch",c.murdoch@syha.co.uk,"43-47 Wellington Street",,Sheffield,"S1 4HF","United Kingdom","+44 1142900319",http://www.syha.co.uk,,,,29/09/2020,28/09/2023,31/08/2020,NO,,Yes,No,No,Services,150000,170000,01/10/2020,164000,"[Learning Pool Ltd|BT48 7EL|NONE||Yes|No]","Miss Lyndsay Dare",09/10/2020,08/10/2023,"Open ",,12:00
LGSS001-DN336769-26854079,Contract,LGSS,Awarded,2018-07-03T13:10:54Z,"Cambridgeshire County Council Development of being Commercial E-Learning Modules","As an organisation, we have a commercial agenda which includes developing commercial acumen within our workforce. 
When we refer to being commercial we mean being efficient, cutting costs and generating income, as well as delivering good customer service and planning for the future. 
We aim to do this by encouraging staff to apply the commercial thinking they use in their day to day life in the working environment.
The development of 'Being Commercial' e-Learning training will be part of a wider offer to create a more commercial culture in the organisation.  All information is available on the LGSS e-tendering portal 

   https://www.lgssprocurementportal.co.uk",,,"East of England","72000000 48931000 ",contracts@Milton-keynes.gov.uk,contracts@Milton-keynes.gov.uk,"Saxon Court","502 Avebury Boulevard","Milton Keynes","MK9 3HS","United Kingdom","+44 1908254744",https://www.lgss.co.uk/about/,,,,21/05/2018,10/08/2018,17/05/2018,NO,,Yes,Yes,No,Services,0,,03/07/2018,27410,"[Learning Pool Ltd|BT48 7EL|NONE||No|No]","Mr Sam Barbee",13/07/2018,10/08/2018,"Open ",
