"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
ncgcorporation001-DN471590-92738900,Contract,"NCG Corporation",Awarded,2020-07-15T11:05:49Z,"NCG200303FC External Audit Services for NCG ****AWARD NOTICE ******","External Audit for NCG Procured via  the Crescent Purchasing Authority by
Mini Competition on CPC Audit Services Framework (Lot 2 external Audit) Awarded to Mazars LLP
",,,"United Kingdom","79210000 79212000 ","Anna White",Anna.White@ncgrp.co.uk,"Rye Hill House","Rye Hill Campus, Scotswood Road","Newcastle upon Tyne","NE4 7SA",England,"+44 1912004869",https://www.ncgrp.co.uk,,,,30/04/2020,31/07/2025,17/04/2020,NO,,No,No,No,Services,237327,,06/05/2020,237327,"[Mazars LLP|Tower Bridge House, St Katharine's Way, London, E1W 1DD|NONE||No|No]",,12/05/2020,17/05/2025,"Other ",
f06f8cf5-a2d6-447a-bb7b-ea8c8a9a7efc,Contract,"Tyne Coast College",Awarded,2020-04-02T16:00:06Z,"CA7193 - PROVISION OF AUDIT SERVICES","PROVISION OD INTERNAL AND EXTERNAL AUDIT SERVICES TO TYNE COAST COLEGE AND TYNE COAST ACADEMY TRUST\
\
Includes Lots: \
Lot 1: PROVISION OF EXTERNAL AUDIT TO TYNE COAST COLLEGE\
Lot 2: PROVISION OF INTERNAL AUDIT TO TYNE COAST COLLEGE\
Lot 3: PROVISION OF EXTERNAL AUDIT TO TYNE COAST ACADEMY TRUST\
Lot 4: PROVISION OF INTERNAL AUDIT TO TYNE COAST ACADEMY TRUST\
\
To access this competition: \
\
Registered:\
Login to https://suppliers.multiquote.com and view the opportunity CA7193.\
\
Not registered:\
Visit https://suppliers.multiquote.com then register and quote CA7193 as the reason for registration. \
\
 Any queries please contact MultiQuote on 0151 482 9230.",,"NE34 6ET","Any region","79212000 ","Mark Fairhurst",support@multiquote.com,"St Georges Avenue",,"South Shields","NE34 6ET",England,"0151 482 9230",https://suppliers.multiquote.com,,,,31/07/2020,30/07/2023,04/05/2020,NO,,Yes,No,No,Works,262000,262000,28/07/2020,24939,"[Mazars LLP|Tower Bridge House, St. Katharine's Way, London, E1W 1DD|NONE||No|No][RSM|St Philips Point, Temple Row, Birmingham, B2 5AF|NONE||No|No][Mazars LLP|Tower Bridge House, St. Katharine's Way, London, E1W 1DD|NONE||No|No][RSM|St Philips Point, Temple Row, Birmingham, B2 5AF|NONE||No|No]","Peter Cudlip",31/07/2020,30/07/2023,"Open ",
Mazars/IA/001,Contract,"GOVERNMENT INTERNAL AUDIT AGENCY",Awarded,2019-02-14T10:33:28Z,"Internal Audit Services","Internal Audit Services for DfE via GIAA",,,"Any region","79212200 ","Ashley Smart",ashley.smart@giaa.gov.uk,"1 Horseguards Road",,London,SW1A2HQ,England,"0207270 2726",,,,,25/06/2018,31/08/2018,01/06/2018,NO,,No,No,No,Services,0,13750,01/06/2018,13750,"[Mazars Llp|45 Church Street
B3 2RT
GB|COMPANIES_HOUSE|0|No|No]",,25/06/2018,31/08/2018,"CallOffFromFrameworkAgreement ",
OXF001-DN319385-47347869,Contract,"Oxford City Council",Awarded,2019-09-13T16:05:38Z,"Provision of an External Audit Service to Council Owned or Jointly Owned Entities","The Council has established a number of separate entities in order to pursue its aims and objectives; an LLP (with a wholly owned subsidiary), a jointly owned limited company, a wholly owned housing group, and two wholly owned Local Authority Trading Companies. The audit services required are presented as four separate lots, reflecting each of the specific entities or groups. Potential suppliers may tender for individual lots or multiple lots.",,,"South East","79212100 ","Andrew Friar",afriar@oxford.gov.uk,"Oxford City Council","109-113 St Aldates",Oxford,"OX1 1DS",England,,http://www.oxford.gov.uk,,,,05/03/2018,30/07/2021,14/02/2018,NO,,Yes,No,No,Services,90000,90000,01/03/2018,90000,"[Mazars LLP|E1W 1DD|NONE||No|No]",,05/03/2018,30/07/2021,"Open ",
2591/LM,Contract,"UNIVERSITY OF SHEFFIELD",Awarded,2020-10-21T09:07:08Z,"2591/LM - Student Lifecycle Project Assurance provider","The University of Sheffield wishes to work in partnership with a supplier who has proven HE experience in this area,  to provide a regular assurance function for the Student Lifecycle Project over the remaining life cycle of the project (up to December 2021). The Student Lifecycle Project (SLP) was established in 2014 to develop a future vision for student systems and processes, and to manage the resulting development.

The full technical specification can be found in the ITT documentation which will be available after you have expressed your interest on In-Tend. 

Tender Process and Documentation:
This is a Non OJEU Open exercise. The ITT can be downloaded by registering and expressing your interest on the University`s e-tendering system https://in-tendhost.co.uk/Sheffield
If you have any questions or comments in relation to this tender, they must be submitted via the In-Tend System.
Your tender response must also be submitted through In-Tend to arrive by the date and time specified. Late tenders will not be considered.

Closing date for receipt of bids: 10th August 2020 at 12 noon (UK time).",,,"Yorkshire and the Humber","72224000 ","Lee Marsden",l.w.marsden@sheffield.ac.uk,"Western Bank",,SHEFFIELD,S102TN,England,"0114 2224206",,,"https://in-tendhost.co.uk/Sheffield ",,31/08/2020,31/12/2021,10/08/2020,NO,,Yes,No,No,Services,135000,,19/10/2020,135000,"[Mazars Llp|Times House, Throwley Way
SM1 4JQ
GB|COMPANIES_HOUSE|0|No|No]",,21/10/2020,31/12/2021,"OpenNonOJEU ",,12:00
KIRKC001-DN489172-46494437,Contract,"Kirklees Council",Awarded,2020-09-07T13:28:16Z,"KMCFRP-009 Grant Audit","Quotations were invited by the Council of the Borough of Kirklees (the ""Council"") from Suppliers with relevant experience and ability to demonstrate sufficient capacity to perform Audits of the following grants with relevant grant conditions and audit requirements.
•	Housing Benefits 
The DWP have provided guidelines regarding how the audit should be carried out. The full guidelines are available here and forms the specification 

https://www.gov.uk/government/publications/housing-benefit-assurance-process-hbap

•	Teachers' Pension Return
•	PHCR - Pooling of Housing Capital Receipts
•	NCTL - Initial Teacher Training Return
•	SFA - Skills Funding Agency

This contract is for the Audit of the following years grant returns 2020-21, 2021-22 & 2022-23, which will require completion by the applicable statutory guidelines",,,"Yorkshire and the Humber","79200000 ","Lisa Johnson",lisa.johnson@kirklees.gov.uk,"Civic Centre 1",,Huddersfield,"HD1 2NF","United Kingdom","+44 1484221000",http://www.kirklees.gov.uk,,,,01/04/2021,31/03/2024,21/08/2020,NO,,No,No,No,Services,150000,150000,07/09/2020,88980,"[Mazars LLP Ltd|5th floor, Wellington House, Leeds LS1 4AP|NONE||No|No]","Gavin Atkinson",01/04/2021,31/03/2024,"Restricted ",,13:00
NWAS/TR/22/19,Contract,"North West Ambulance Service N H S Trust",Awarded,2020-05-26T10:29:13Z,"External Audit Services","The Trust has a requirement for External Auditors to provide an independent, effective, professional and proactive audit opinion of the accounts and annual financial reports at the North West Ambulance Service including Charity accounts",,,"North West","79212300 ",,procurement.supplies@nwas.nhs.uk,"Ladybridge Hall",,BOLTON,BL15DD,England,,,,,,01/04/2020,31/03/2022,29/11/2019,NO,,Yes,Yes,No,Services,0.01,,24/02/2020,0.01,"[Mazars Llp|Times House, Throwley Way
SM1 4JQ
GB|COMPANIES_HOUSE|0|No|No]",,01/04/2020,31/03/2022,"CallOffFromFrameworkAgreement ",
"
            MT219730",Contract,"London Borough of Barnet Council",Awarded,2020-05-18T17:45:05Z,"Contract Award Lot 3 Audit Assurance and Advisory Service","London Borough of Barnet contract award of a framework agreement with 4 lots to provideaudit, assurance, and advisory services. Barnet are lead and working with London Boroughs group: Barnet ('theAuthority') Barking and Dagenham, Enfield, Hammersmith and Fulham, Kensington and Chelsea, Lambeth,Waltham Forest, Westminster. Other local authorities interested in framework agreement are named specificallyin tender documents. The framework will allow access to other local authorities https://www.gov.uk/find-localcouncilGreater London Authority group; Registered Social Landlords, Tenant Management Organisations,Arm's Length Management Organisations https://www.gov.uk/government/publications/current-registeredprovidersof-social-housingHealth Authorities Councils Boards and Trusts https://www.nhs.uk/ServiceDirectories/Pages/NHSTrustListing.aspxPolice forces https://www.police.uk/forces/Fire and rescue services http://www.cfoa.org.uk/12072",,,London,"79200000 ",,susan.lowe@barnet.gov.uk,"2 Bristol Avenue",,"Colindale London","NW9 4EW","
              England
","+44 2083597212",www.barnetsourcing.co.uk,,"https://www.mytenders.co.uk/search/show/search_view.aspx?ID=MAY159796 ",,01/04/2020,31/03/2024,01/01/2020,NO,,No,No,No,Services,100000,,07/05/2020,100000,"[Mazars LLP|Tower Bridge House, St Katharine's Way, London|NONE||No|No]",,01/04/2020,31/03/2024,"Open ",
HEY/18/724,Contract,"HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST",Awarded,2020-04-08T16:22:52Z,"AUDIT AND CONSULTANCY AUDIT SERVICES","Hull University Teaching Hospital NHS Trust required external audit services which included statutory audit, charitable funds audit and quality accounts audit.  NHS Shared Business Services Lot 1 External Audit Services was utilised, reference number SBS/16/PC/ZY/8952.",,,"Yorkshire and the Humber","79212000 ","Hannah Loftus",hannah.loftus@hey.nhs.uk,"HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST",,HULL,HU32JZ,England,"01482 608765",,,,,01/04/2020,31/03/2023,03/03/2020,NO,,Yes,No,No,Services,292500,,13/03/2020,292500,"[MAZARS LLP|5th Floor 
3 Wellington Place
Leeds
LS1 4AP|NONE_OTHER||No|No]",,01/04/2020,31/03/2023,"CallOffFromFrameworkAgreement ",
"CPC 03232 - AWARD",Contract,NOE-CPC,Awarded,2020-03-25T11:28:29Z,"Provision of External Audit Services on behalf of Leeds Community Healthcare NHS Trust - AWARD","Leeds Community Healthcare NHS Trust requires the provision of External Audit Services to the specification and scope as outlined in the NOE CPC framework OJEU reference 2019/S 027-060390 attached at Appendix B for reference.",,"S4 7UQ","Any region","79212000 ","Rachel Tyler2",rachel.tyler@noecpc.nhs.uk,"Savile Street East",Sheffield,"South Yorkshire","S4 7UQ","United Kingdom","0114 212 7276",,,,,01/04/2020,31/03/2023,30/12/2019,NO,,No,No,No,Services,0,,26/02/2020,203475,"[Mazars LLP|Tower Bridge House, St Katharine's Way , London, United Kingdom, E1W 1DD|NONE||No|No]","PS Tenders",01/04/2020,31/03/2023,"Restricted ",
BIP483067291,Contract,"Barnet Homes Ltd",Awarded,2020-03-22T11:00:34Z,"Internal Auditor","Internal Audit service for the Barnet Group and its subsidaries",,,London,"79212200 ","procurement team",procurement@barnethomes.org,"3rd Floor","2 Bristol Avenue",London,"NW9 4EW",UK,+442083594783,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=483067291 ",,01/04/2020,31/03/2025,28/02/2020,NO,,No,No,No,Services,400000,,28/02/2020,400000,"[Mazars LLP|Tower Bridge House
        St Katharine's Way
        London
        E3 3TP|NONE||No|No]",,01/04/2020,31/03/2025,"Restricted ",
"RCBN3223-T - AWARD",Contract,NOE-CPC,Awarded,2020-03-12T08:50:46Z,"RCBN - External Audit Services - AWARD","Provision of External Audit Services to York Teaching Hospital NHS Foundation Trust.",,"YO31 8HE","Yorkshire and the Humber","79212000 ","Paul Horsefield",paul.horsefield@york.nhs.uk,"Wigginton Rd",York,"North Yorkshire","YO31 8HE","United Kingdom","01723 342219",,,,,01/08/2020,31/07/2023,06/01/2020,NO,,Yes,No,No,Services,0,,12/03/2020,301732.5,"[Mazars LLP|Tower Bridge House, St Katharine's Way , London, United Kingdom, E1W 1DD|NONE||No|No]","PS Tenders",01/08/2020,31/07/2023,"NotSpecified ",
LBOWF001-DN458820-98648180,Contract,"London Borough of Waltham Forest",Awarded,2020-02-26T00:00:00Z,"Finance Function Review","Finance Function Review",,,London,"79200000 ","Hayley Thomas",Hayley.Thomas@walthamforest.gov.uk,"Waltham Forest Town Hall","Forest Road",Walthamstow,"E17 4JF","United Kingdom","+44 2084963000",http://www.walthamforest.gov.uk/,,,,21/02/2020,30/04/2020,19/01/2020,NO,,No,No,No,Services,80000,80000,20/01/2020,121000,"[Mazars LLP|E1W 1DD|NONE||No|No]",,21/02/2020,31/07/2020,"Open ",
1ef2418c-a0d3-40bc-bc85-5159176fc3e5,Contract,"Hartpury College",Awarded,2020-02-07T15:03:31Z,"CA6999 - Hartpury University & College - External Audit Services","Provision of External Audit Services for Hartpury University and College

To access this competition: 

Registered:
Login to https://suppliers.multiquote.com and view the opportunity CA6999.

Not registered:
Visit https://suppliers.multiquote.com then register and quote CA6999 as the reason for registration. 

 Any queries please contact MultiQuote on 0151 482 9230.",,"GL19 3BE","Any region","79212200 ",,support@multiquote.com,"Hartpury House",,Gloucester,"GL19 3BE",England,"0151 482 9230",https://suppliers.multiquote.com,,,,01/08/2020,30/07/2023,06/03/2020,NO,,Yes,No,No,Works,0,,25/03/2020,34190,"[Mazars LLP|Tower Bridge House, St. Katharine's Way, London, E1W 1DD|NONE||No|No]","Peter Cudlip",01/08/2020,30/07/2023,"Open ",
YPO001-DN392348-97267486,Contract,YPO,Awarded,2020-01-13T00:00:00Z,"YPO - 000962 Financial Audit Services","YPO are looking for a provider to be appointed to supply external, financial audit services for YPO's accounts between 2019 to 2023. The response requirement for this opportunity includes both selection and award criteria. Please find further details linked to this opportunity on our e-tendering system, which can be accessed by following the link set out in this notice.",,,"Yorkshire and the Humber","79210000 ","The Contracts Team",contracts@ypo.co.uk,"41 Industrial Park",,Wakefield,"WF2 0XE","United Kingdom","+44 1924664685",http://www.ypo.co.uk/,,,,01/07/2019,01/02/2024,20/03/2019,NO,,Yes,No,No,Services,500000,,23/04/2019,116389,"[Mazars LLP|E1W 1DD|NONE||No|No]","Mr Gavin Barker",01/07/2019,01/02/2024,"Open ",
5a619cc0-9613-476b-8768-40ab9a682f9f,Contract,"University Hospitals of Derby and Burton NHS Foundation Trust",Awarded,2020-01-08T15:25:35Z,"CA6450 - UHDB/012/T - External Audit Services","Provision of External Audit Services to University Hospitals of Derby and Burton NHS Foundation Trust

To access this competition: 

Registered:
Login to https://suppliers.multiquote.com and view the opportunity CA6450.

Not registered:
Visit https://suppliers.multiquote.com then register and quote CA6450 as the reason for registration. 

 Any queries please contact MultiQuote on 0151 482 9230.",,"DE22 3NE","Any region","79212300 ","Jane Baxter",support@multiquote.com,"Purchasing Office","Level 5, Trust Head Quarters",Derby,"DE22 3NE",England,"0151 482 9230",https://suppliers.multiquote.com,,,,01/12/2019,30/11/2022,01/12/2019,NO,,Yes,No,No,Works,0,,08/01/2020,257073.6,"[Mazars LLP|Tower Bridge House, St. Katharine's Way, London, E1W 1DD|NONE||No|No]","Peter Cudlip",01/12/2019,30/11/2022,"Open ",
6f94c108-5cb1-4b70-a0aa-d8cdd1966d6c,Contract,"Middlesbrough College",Awarded,2019-11-20T09:51:08Z,"CA5782 - Middlesbrough College Provision of External Audit Services","External Audit Services

To access this competition: 

Registered:
Login to https://suppliers.multiquote.com and view the opportunity CA5782.

Not registered:
Visit https://suppliers.multiquote.com then register and quote CA5782 as the reason for registration. 

 Any queries please contact MultiQuote on 0151 482 9230.",,"TS2 1AD","Any region","79212000 ",,support@multiquote.com,"Dock Street",,Middlesbrough,"TS2 1AD",England,"0151 482 9230",https://suppliers.multiquote.com,,,,01/08/2019,31/07/2022,01/08/2019,NO,,Yes,No,No,Works,0,,20/11/2019,148658.33,"[Mazars LLP|Tower Bridge House, St. Katharine's Way, London, E1W 1DD|NONE||No|No]","Peter Cudlip",01/08/2019,31/07/2022,"Open ",
