"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
tender_200635/748427,Contract,HS2,Awarded,2019-02-22T09:01:37Z,"Renewal of Check Point Gateways and Check Point Management Console Subscription.","A contract has been awarded to Phoenix Software Ltd for the provision of Check Point Gateways and Check Point Management Console Subscriptions for the period 23.02.2019 to 22.02.2020. .",,,"West Midlands,London","48000000 ","Stephen Mann",stephen.mann@hs2.org.uk,"2 Snow Hill Queensway, Snowhill",,Birmingham,"B4 6GA",England,,,,,,23/02/2019,22/02/2020,21/02/2019,NO,,Yes,No,No,Products,49804,,21/02/2019,49804.01,"[Phoenix Software Ltd|Bytes House, Randalls Way, Leatherhead, Surrey, KT22 7TW|COMPANIES_HOUSE|02548628|No|No]",,23/02/2019,22/02/2020,"SingleTenderActionNonOJEU ",
"DDaT19144 - Talend Cloud Data Management Platform",Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2019-06-18T13:48:32Z,"DDaT19144 - Talend Cloud Data Management Platform","UKRI are procuring Talend Cloud Data Management Platform and Platinum support via direct award to Phoenix Software via the KCS framework.",,,"South West","48000000 ",,ddatprocurement@uksbs.co.uk,"Polaris House","North Star Avenue",SWINDON,SN21FF,England,,,,,,10/06/2019,09/06/2020,09/06/2019,NO,,Yes,No,No,Products,81450.88,,09/06/2019,81450.88,"[Phoenix Software Ltd|Bytes House, Randalls Way, Leatherhead, Surrey, United Kingdom, KT22 7TW|NONE||No|No]",,10/06/2019,09/06/2020,"CallOffFromFrameworkAgreement ",
tender_204020/762985,Contract,"Public Health England",Awarded,2019-04-30T17:06:42Z,"PHE - Corporate - ICT - Support Contract for Exascaler ES7K HPC Storage System","Public Health England, an executive agency of the Department of Health and Social and Social Care (DH) (hereafter referred to as ""Public Health England"" or ""PHE"" also referred to as the ""Contracting Authority"" or the ""Authority"" or the ""Employer"") awarded the contract to the Phoenix Software Limited following a competitive tender in accordance with Crown Commercial Service Framework RM3733 for EXAscaler support on an existing DataDirect Networks (DDN) ES7K system and associated items. PHE purchased a HPC storage system from DDN via the OCF Plc distributor. DDN will only provide support contracts through original vendor for each storage system, in this case OCF plc. As a result , only responses from approved re-seller or Partners of OCF PLC was considered.",,,"Any region","72610000 ",,tenders@phe.gov.uk,"61 COLINDALE AVENUE",,LONDON,"NW9 5EQ",England,,,,"https://phe.bravosolution.co.uk/web/login.shtml ",,12/04/2019,29/03/2020,12/04/2019,NO,,Yes,No,No,Services,11085,,19/03/2019,117561,"[Phoenix Software Ltd|Phoenix Software Ltd., Blenheim House, York Rd, Pocklington, York YO42 1NS|NONE||No|No]",,30/03/2019,29/03/2020,"CallOffFromFrameworkAgreement ",
tender_200394/758851,Contract,"Public Health England",Awarded,2019-04-01T12:11:39Z,"PHE - Corporate - ICT - High ghz Levona Server and associated items","Public Health England, an executive agency of the Department of Health and Social and Social Care (DH) (hereafter referred to as ""Public Health England"" or ""PHE"" also referred to as the ""Contracting Authority"" or the ""Authority"" or the ""Employer"") awarded the contract to the Phoenix Software Limited following a competitive tender in accordance with Lot 1 Commercial Service Framework RM3733 for high-GHZ servers and associated items. Only responses from approved re-seller or Partners of OCF PLC was considered.",,,"Any region","30200000 ",,tenders@phe.gov.uk,"61 COLINDALE AVENUE",,LONDON,"NW9 5EQ",England,,,,"https://phe.bravosolution.co.uk/web/login.shtml ",,20/03/2019,30/04/2019,28/02/2019,NO,,Yes,No,No,NotSpecified,12570,,19/03/2019,12570,"[Phoenix Software Ltd|Bytes House, Randalls Way, Leatherhead, Surrey, United Kingdom, KT22 7TW|NONE||No|No]",,20/03/2019,30/04/2019,"CallOffFromFrameworkAgreement ",
tender_200211/758834,Contract,"Public Health England",Awarded,2019-04-01T12:02:22Z,"PHE - Corporate - ICT - Supply of High-RAM Lenovo servers and associated items","Public Health England, an executive agency of the Department of Health and Social and Social Care (DH) (hereafter referred to as ""Public Health England"" or ""PHE"" also referred to as the ""Contracting Authority"" or the ""Authority"" or the ""Employer"") awarded the contract to the Phoenix Software Limited following a competitive tender in accordance with Lot 1 Commercial Service Framework RM3733 for high performance RAM servers and associated items. Only responses from approved re-seller or Partners of OCF PLC was considered.",,,"Any region","30200000 ",,tenders@phe.gov.uk,"61 COLINDALE AVENUE",,LONDON,"NW9 5EQ",England,,,,"https://phe.bravosolution.co.uk/web/login.shtml ",,19/03/2019,30/04/2019,27/02/2019,NO,,Yes,No,No,NotSpecified,33909,,19/03/2019,117561,"[Phoenix Software Ltd|Bytes House, Randalls Way, Leatherhead, Surrey, United Kingdom, KT22 7TW|NONE||No|No]",,19/03/2019,30/04/2019,"CallOffFromFrameworkAgreement ",
SSAN17,Contract,"Victory Housing Trust",Awarded,2017-08-02T12:13:07Z,"Server and Storage Area Network (SAN) - Contract Award under Lot 1 CCS Framework RM3733","This notice is to notify the market that Victory Housing Trust in North Walsham, UK have made a Contract Award to Phoenix Software Limited following a Further Competition for the supply of Servers and Storage Area Network refresh under Lot 1 of the Crown Commercial Service RM3733 Technology Products 2 Agreement.",,"NR28 0NB",,"48820000 ",,mark.turner@victoryhousing.co.uk,"Tom Moore House","Cromer Road","North Walsham","NR28 0NB",England,,,,,,07/08/2017,31/08/2020,14/07/2017,NO,,Yes,No,No,NotApplicable,129509.04,,21/07/2017,129509.04,"[Phoenix Software Ltd|Blenheim House
York Road
Pocklington
York
YO42 1NS|||No|No]",,02/08/2017,31/08/2020,"Other ",
WARRINGTONLIVE001-DN470601-47478063,Contract,"Warrington Borough Council",Awarded,2020-04-21T08:17:04Z,"Provision of a Managed Software Asset Management Service","Provision of a software asset management service for the purpose of tracking the use of proprietary software under licence granted by third parties.",,,"North West","72000000 ","Christopher Hilditch",childitch@warrington.gov.uk,"New Town House","Buttermarket Street",Warrington,"WA1 2NH",England,,http://www.warrington.gov.uk/,,,,21/04/2020,21/04/2023,01/04/2020,NO,,Yes,No,No,Services,75000,75000,15/04/2020,75000,"[Phoenix Software Ltd|YO42 1NS|NONE||Yes|No]","Ms Bids Admin",21/04/2020,21/04/2023,"Other ",
30006010,Contract,"LEEDS TRINITY UNIVERSITY",Awarded,2018-09-18T15:16:52Z,"Campus software license agreements 2018-19 - call off contract from SUPC awarded Software License Re-sellers Agreement","campus software licenses 2018-19",,LS185HD,,"48000000 ","Mark Hayter",m.hayter@leedstrinity.ac.uk,"Brownberrie Lane, Horsforth",,LEEDS,LS185HD,England,"01132837100 ext 471",,,,,01/08/2018,31/07/2019,31/07/2018,NO,,Yes,No,No,Products,0,,31/07/2018,43369,"[Phoenix Software Ltd|Blenheim House
York Road
Pocklington
York|NONE||No|No]",,01/08/2018,31/07/2019,"CallOffFromFrameworkAgreement ",
5a9a091c-62b1-4742-a589-cf38c8e89630,Contract,"Yeovil College",Awarded,2020-10-13T11:29:47Z,"CA7720 - CPC/KL/01/2018: Software Licenses & Associated Services for Academies & Schools","This is a re-tender of the current Software Licenses - Academies & Schools framework which was originally tendered for at the beginning of 2014 and launched to CPC members in July 2014.  The new framework will be available to all Schools & Academies who are CPC members https://www.thecpc.ac.uk/members/regions.php.  The new framework will be split into 4 lots and will run for an initial duration of 2 years with the option to extend by two possible one year extensions.  CPC Membership is open to the entire Education Sector, details of which are available here: https://www.gov.uk/guidance/get-information-about-schools\
\
To access this competition: \
\
Registered:\
Login to https://suppliers.multiquote.com and view the opportunity CA7720.\
\
Not registered:\
Visit https://suppliers.multiquote.com then register and quote CA7720 as the reason for registration. \
\
 Any queries please contact MultiQuote on 0151 482 9230.",,"BA21 4DR","Any region","48000000 ","Christine Young",support@multiquote.com,"Holland's Campus","Mudford Road",Yeovil,"BA21 4DR",England,"0151 482 9230",https://suppliers.multiquote.com,,,,01/10/2020,30/09/2023,01/10/2020,NO,,Yes,No,No,Services,0,0,13/10/2020,91946,"[Phoenix Software Ltd|Blenheim House, York Road, Pocklington, YO42 1NS|NONE||No|No]","Bids Team",01/10/2020,30/09/2023,"Open ",,00:00
DN463378,Contract,"Basingstoke & Deane Borough Council",Awarded,2020-06-18T11:55:51Z,"SUPPLY OF MICROSOFT ENTERPRISE AGREEMENT UNDER FRAMEWORK RM3733 TECHNOLOGY PRODUCTS 2, LOT 2","Basingstoke and Deane Borough Council ('the Council') were looking to enter into a three year contract for the provision of a Microsoft Enterprise Agreement.

The aims and objectives of the services were:

(i) To be the councils Licensing Solutions Partner (LSP) for its Microsoft Enterprise Agreement.

(ii) To help the council manage its Microsoft licensing to ensure good value from its investments while ensuring that the council continues to maintain software compliance.

(iii) To help the council manage the Software Assurance Benefits available under the agreement",,,"South East","48000000 ","Procurement Team",procurement@basingstoke.gov.uk,"Civic Offices",,BASINGSTOKE,RG214AH,England,"01256 844844",,,,,01/04/2020,31/03/2023,21/02/2020,NO,,Yes,No,No,Services,0,,03/03/2020,558490.54,"[Phoenix Software Ltd|Blenheim House
York Road
Pocklington
north Yorkshire
YO42 1NS|COMPANIES_HOUSE|2548628|Yes|No]",,01/04/2020,31/03/2023,"Other further competition under a framework",
