"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
IA1535,Contract,"Staffordshire County Council",Awarded,2018-12-17T16:50:14Z,"Web Streaming","The award is a Call-Off  Framework PROC16-0133 to supply install and maintain equipment (over and above Staffordshire County Council's own infrastructure) necessary to enable:-
(i) Live streaming (approximately 60 hrs per year) of meetings (audio and video) from the Council Chamber and Oak Room, County Buildings to the World Wide Web for viewing by both internal and/or external users, as required;
(ii) Meetings from the Council Chamber and Oak Room to be recorded (audio and video) for viewing at a later date by both internal and/or external users;
(iii) Build and maintain a Staffordshire County Council branded microsite available for access from the Staffordshire Web by both internal and external users to include live webcast meetings and an archive of recorded meetings capable of viewing for a minimum period of twelve months.",,,"West Midlands","72000000 ","Claire Teece",commercial.team@staffordshire.gov.uk,"Tipping Street",,STAFFORD,ST162DH,England,01785854657,,,,,30/11/2018,01/12/2023,24/10/2018,NO,,Yes,No,No,Services,77767,,26/11/2018,77767,"[PUBLIC-I GROUP LIMITED|5th Floor, Sheridan House 112-116 Western Road
BN3 1DD
GB|COMPANIES_HOUSE|03998680|No|No]",,30/11/2018,01/12/2023,"CallOffFromFrameworkAgreement ",
CF1V3-20151116-00000161,Contract,"London Borough of Tower Hamlets",Awarded,2015-11-16T16:10:42Z,"LPG4943 Webcasting of Council and Cabinet Meetings","The objectives of this contract will entail the Installation, maintenance and provision of all equipment and support necessary to allow the Council to web cast live and archived meetings to the public. This will include cameras and control equipment in the meeting rooms and the ability to upload the video footage to a publicly accessible website which will need to be provided by the service provider working collaboratively with the Council on the web design. This site should be branded to fit in with the Council?s web branding scheme.",,,London,"72000000 48224000 72413000 ","Corporate Procurement",procurement@towerhamlets.gov.uk,"Mulberry Place","5 Clove Crescent",London,"E14 2BG",UK,"020 7364 0783",,,,"Organisations wishing to express their interest are requested to register on the London Tenders Portal (www.londontenders.org) where the tender documentation will be available for download. You may be required to complete a Pre-Qualification Questionnaire (PQQ).
Organisations must ensure that access to the system is available to their representatives dealing with the contract. The council will not be liable for the lack of delegated access within the organisation and will not send any documentation regarding the contract, which shall be exclusively available through the portal.
Tenderers are responsible for allowing sufficient time to submit their ITT/PQQ. The Council accepts no liability whatsoever for ITT/PQQs that are not submitted due to internet connectivity issues, transmission delays or errors.
London Borough of Tower Hamlets ",05/11/2015,04/11/2018,28/08/2015,NO,,No,No,No,Services,78000,78000,05/11/2015,78000,"[Public-i Group Ltd|Mulberry Place, 5 Clove Crescent, London, Greater London, E14 2BG|||No|No]",,05/11/2015,04/11/2018,"NotSpecified ",
"CQC ICTC 775",Contract,"Care Quality Commission",Awarded,2018-07-13T16:39:16Z,Webcasting,"A company to come in, set up, webcast CQCs monthly Board meetings to upload for public view",,,"Any region","72000000 ",,commercialcontracts@cqc.org.uk,"151 Buckingham Palace",Victoria,London,"SW1W 9SZ",England,,,"20180704 CQC ICTC 775 Webcasting_Redacted.pdf ",,,03/07/2018,02/07/2020,01/05/2018,NO,,Yes,No,No,Services,90000,,19/06/2018,90000,"[Public-i|5th Floor Sheridan House
112-116 Western Road
Hove
BN3 1DD|COMPANIES_HOUSE|3998680|Yes|No]",,03/07/2018,02/07/2020,"CallOffFromFrameworkAgreement ",
KNOWS001-DN485732-02043127,Contract,"Knowsley Council",Awarded,2020-08-03T14:33:18Z,"Purchase of Audio/Visual and Webcasting Equipment for the Council Chamber","Purchase of Audio/Visual and Webcasting Equipment for the Council Chamber\r
\r
up to 48 months extension is maintenance.",,,"North West","30230000 30237000 30237136 32321200 32321300 32340000 ","Faye Williamson",faye.williamson@knowsley.gov.uk,"2nd Floor, Municipal Building","Archway Road",Huyton,"L36 9UX",England,"+44 1514434246",http://www.knowsley.gov.uk,,,,07/08/2020,06/08/2021,13/07/2020,NO,,Yes,No,No,Products,133116,133116,03/08/2020,133116,"[Public-i Group Ltd|BN3 1DD|NONE||Yes|No]","Mr Robert Saunders",07/08/2020,06/08/2021,"Other ",,09:30
"WDC - 029372 - AWARD",Contract,"SE Shared Services",Awarded,2020-04-27T16:45:16Z,"ESPH CN Provision of Webcasting Services - AWARD","The East Sussex Procurement Hub is worked on behalf of Wealden District Council to seek offers to supply Webcasting Services at their Council Officers situated in Hailsham.
      This tender is being undertaken as a mini competition for Framework PROC-11-0149.   
",,"BN27 2AX","South East","48515000 ","Tracy Isted (WDC)",tracy.isted@wealden.gov.uk,Hailsham,"East Sussex","East Sussex","BN27 2AX","United Kingdom","01323 443351",www.wealden.gov.uk,,,,17/02/2020,15/02/2025,06/12/2019,NO,,No,No,No,Services,80000,87600,05/02/2020,87600,"[Public-I|5th Floor, Sheridan House, Hove, East Sussex, United Kingdom, BN3 1DD|NONE||No|No]","Andy Baker",17/02/2020,15/02/2025,"Other ",
SGLOS001-DN397070-63312341,Contract,"South Gloucestershire Council",Awarded,2019-11-04T10:37:27Z,"Council Chamber Audio Visual (RFQ)","5 years streaming and maintenance",,,"South West","32321200 ","Nicholas Miller",procurement@southglos.gov.uk,"Council Offices","Badminton Road",Yate,"BS37 5AF",England,,https://www.southglos.gov.uk,,,,29/03/2019,28/03/2024,04/03/2019,NO,,Yes,No,No,Products,47000,47000,05/03/2019,47000,"[Public-i Group Ltd|BN3 1DD|NONE||Yes|No]","Mr Robert Saunders",29/03/2019,28/03/2024,"Restricted ",
"Corporate Webcast Provision",Contract,"CORNWALL COUNCIL",Awarded,2018-10-26T08:49:07Z,"Corporate Webcast Provision","Cornwall Council wishes to procure Corporate Webcasting provision following the expiry of its existing contract.",,,"South West","48510000 ","Jason Williams",jaswilliams@cornwall.gov.uk,"New County Hall, Treyew Road",,Truro,"TR1 3AY",England,,,"Webinar Request for Quote.doc ",,,01/06/2016,31/05/2019,09/05/2016,YES,"Corporate Webcast Provision",No,No,No,Products,45000,,30/05/2016,45620,"[PUBLIC-I GROUP LIMITED|5th Floor, Sheridan House 112-116 Western Road
BN3 1DD
GB|COMPANIES_HOUSE|03998680|No|No]",,01/06/2016,31/05/2019,"NotApplicable ",
BUCKSH001-DN358639-56764641,Contract,"Buckinghamshire County Council",Awarded,2018-09-12T15:21:17Z,"Webcast provision","Webcast provision for broadcasting of committee meetings",,,"South East","72212515 72268000 ","Steve Taylor",sttaylor@buckscc.gov.uk,"1) NCO","Walton Street",Aylesbury,"HP20 1YQ",England,"+44 1296383680",http://www.buckscc.gov.uk,,,,29/11/2018,28/11/2019,24/08/2018,NO,,Yes,Yes,No,Services,16415,,12/09/2018,16415,"[Public-i Group Ltd|Sheridan House, 112-116 Western Road, Hove, East Sussex, BN3 1DD, United Kingdom|NONE||No|No]","Robert Saunders",29/11/2018,28/11/2019,"Other ",
"RDC - 020422 - AWARD",Contract,"SE Shared Services",Awarded,2018-08-23T16:26:31Z,"ESPH SB Audio Visual Equipment for Rother District Council (ESPH248) - AWARD","You are hereby invited to quote for the provision of the Audio Visual Presentation Facilities of Rother District's Council Chamber.  Full details are available in the specification.
      
      This is a mini-competition being run under Braintree Framework PROC-16-0133",,"TN39 3JX","South East","32321200 ","Gerry Palmer (WDC)",gerry.palmer@wealden.gov.uk,"London Road","Bexhill on Sea","East Sussex","TN39 3JX","United Kingdom","01323 443350",www.rother.gov.uk,,,,05/07/2018,03/09/2018,11/06/2018,NO,,Yes,Yes,No,Products,0,,03/07/2018,77085.79,"[Public-i Group Ltd|5th Floor Sheridan House, , 112-116 Western Road, Hove, East Sussex, United Kingdom, BN3 1DD|NONE||No|No]","Andy Baker",05/07/2018,03/09/2018,"Other ",
MPL/214/1/3098A,Contract,"EPPING FOREST DISTRICT COUNCIL",Awarded,2018-07-02T10:47:36Z,"Webcasting Contract for Council Meetings","Webcasting Contract for Council Meetings",,"CM16 4BZ",,"32321200 ","Julie Turner",jturner@eppingforestdc.gov.uk,"Civic Offices, 323 High Street",,EPPING,CM164BZ,England,"01992 564355",,,,,30/06/2018,29/06/2020,20/06/2018,NO,,No,No,No,Services,39231,,20/06/2018,39231,"[Public-i Group Limited|5th Floor Sheridan House, 112-116 Western Road, Hove, East Sussex. BN3 1DD|NONE||No|No]",,30/06/2018,29/06/2020,"CompetitiveQuotationNonOJEU ",
