"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
LPA/PROC/5620,Contract,"THE POLICE AND CRIME COMMISSIONER FOR LINCOLNSHIRE",Awarded,2019-06-10T11:23:15Z,"Royal Mail Postage - Traffic Summons & Fixed Penalty Offence Notices","Royal Mail postage used for the issuing of Traffic, Summons & Fixed Penalty Offence notices at HQ Lincolnshire Police - FY 2019/20",,,"East Midlands","64100000 ","Don Cornwall",donald.cornwall@lincs.pnn.police.uk,"Po Box 999",,LINCOLN,"LN2 2LT",England,"01522 947182",,,,,01/04/2019,31/03/2020,31/03/2019,NO,,No,No,No,Services,0,80000,31/03/2019,80000,"[Royal Mail Group Ltd|Rowland Hill House
Boythorpe Road
Chesterfield
Derbyshire
S49 1 HQ|NONE||No|No]",,01/04/2019,31/03/2020,"CallOffFromFrameworkAgreement ",
"DHSC CR-B-3",Contract,"Department of Health",Awarded,2018-03-01T10:42:08Z,"Provision of Royal Mail services to the London DH estate       Note: Published for completeness, see description for details","Provision of Royal Mail services to the London estate - FY 2015/16       This contract award was not published at the time of award. It has been published for transparency purposes to provide a record of existing departmental contracts., and this contract award predates the launch of this current version of Contracts Finder. It has been published for transparency purposes to provide a record of existing departmental contracts.",,"SW1H 0EU","Any region","64100000 ","Helen Kelly/Festus Okore/Fiona Canney",cm@dh.gsi.gov.uk,"39 Victoria Street",,London,"SW1H 0EU",England,,,,,,17/02/2015,16/02/2018,16/02/2015,YES,"DHSC CR-B-3",Yes,Yes,No,Services,160000,,16/02/2015,160000,"[Royal Mail Holdings PLC|Payment Centre
PO Box 603
Peterborough
Cambridgeshire
PE1 2ZW|NONE||No|No]",,17/02/2015,16/02/2018,"Other Not Held centrally",
BRISTOLCC001-DN313915-39888320,Contract,"Bristol City Council",Awarded,2017-12-19T18:35:53Z,"Postage cost incurred bybthe council from Royal Mail","Postage cost incurred bybthe council from Royal Mail",,,"South West","64100000 ","Jacqueline Miller",jacqueline.miller@bristol.gov.uk,"City Hall","College Green",Bristol,"BS1 5TR",England,"+44 1173521181",https://www.bristol.gov.uk/,,,,31/10/2017,31/03/2018,29/10/2017,NO,,Yes,Yes,No,Services,350000,350000,30/10/2017,350000,"[Royal Mail|EC4Y 0HQ|NONE||No|No]","Mrs Suzie Grimwood",31/10/2017,31/03/2018,"Open ",
"RM4123 – L0524",Contract,"CROWN COMMERCIAL SERVICE",Awarded,2015-09-01T13:43:40Z,"RM4123 – L0524 – ""As Is"" requirements of Royal Mail Pension Scheme","Please note that this document is being published for Transparency purposes only. This is not a call for competition. Royal Mail Pension Scheme was established in April 2012. The current administrators of this scheme are Royal Mail PSC, who have been administering pensions for the Royal Mail for the last 50 years. The Royal Mail Pension Scheme is now the responsibility of the Cabinet Office, and as such the Cabinet Office will be going out to tender to let a new contract for pension administration. In order to inform that procurement, they have a requirement to set out the “as is” situation with the Royal Mail Pension Scheme. This is the Consultancy Value Statement required for all consultancy contracts. The original contract was published on the Archived Contracts Finder and can be found at the following link:
http://data.gov.uk/data/contracts-finder-archive/contract/1555594/",,,"Any region","79410000 ","CCS London Managed Service Team",ManagedProcurementService@crowncommercial.gov.uk,"2nd Floor, Aviation House",Kingsway,London,"WC2B 6NH",England,,www.gov.uk/ccs,"RM4123 L0524 - Consultancy Value Statement.pdf ",,,25/07/2014,07/11/2014,25/07/2014,NO,,Yes,No,No,Services,69082.6,,15/09/2014,69082.6,"[Cosan Consulting Ltd|Queen Square House
18-21 Queen Square
Bristol
BS1 4NH|||No|No]",,25/07/2014,07/11/2014,"NotApplicable ",
"OJ/S S221",Contract,"Crown Commercial Service",Awarded,2017-10-26T11:38:19Z,"Pension Administrator: Royal Mail Statutory Pension Scheme","Procurement of a supplier of pension administration services for Royal Mail Statutory Pension Scheme(RMSPS). This scheme is managed by the Authority. The RMSPS transferred to the public sector in April 2012 and the former contract expired in March 2017. The Authority sought innovative proposals to this significant pension administration services opportunity. This procurement is solely for the pension administration services to the RMSPS. The successful pension administrator will work with Royal Mail Pension Plan's (RMPP) pension administrator, Royal Mail Group Limited (RMG), with regard to those members who are beneficiaries in both RMSPS and RMPP. RMSPS is currently the 6th largest public sector pension scheme in the United Kingdom. The RMSPS has approximately 402 000 deferred members and pensioners. Approximately 116 000 of these are also members of the RMPP. The scheme has no active members so there are no accruing costs or contributions.",,,London,"66523100 ","The Cabinet Office",supplier@crowncommercial.gov.uk,"1 Horse Guards Road",,London,"SW1A 2HQ",England,"0345 010 3503",http://www.gov.uk/ccs,"Pension Administration Services Agreement - T&Cs and Schedule 1 (Definitions) - (REDACTED).pdf Schedule 2.1 - Services Description - Final (REDACTED).pdf Schedule 2.2 - Performance Levels - Final (REDACTED).pdf Schedule 2.3 - Standards - Final.pdf Schedule 2.4 - Security Management - Final (REDACTED).pdf Schedule 2.5 - Insurance Requirements - Final (REDACTED).pdf Schedule 3 - Authority Responsibilities - Final (REDACTIONS).pdf Schedule 4.1 - Supplier Solution - Final (REDACTED).pdf Schedule 4.2 - Commercially Sensitive Information - Final (REDACTED).pdf Schedule 4.3 - Notified Key Sub-Contractors - Final (REDACTED).pdf Schedule 4.4 - Third Party Contracts - Final (REDACTED).pdf Schedule 5 - Software - Final (REDACTED).pdf Schedule 6.1 - Implementation Plan - Final (REDACTED).pdf Schedule 6.2 - Testing Procedures - Final.pdf Schedule 7.1 - Charges and Invoicing - Final (REDACTED).pdf Schedule 7.2 - Payments on Termination - Final (REDACTED).pdf Schedule 7.3 - Benchmarking - Final (REDACTED).pdf Schedule 7.5 - Financial Reports and Audit Rights - Final.pdf Schedule 8.1 - Governance - Final (REDACT WHOLE DOC).pdf Schedule 8.2 - Change Control Procedure - Final.pdf Schedule 8.3 - Dispute Resolution Procedure - Final.pdf Schedule 8.4 - Reports and Records Provisions - Final.pdf Schedule 8.5 - Exit Management - Final.pdf Schedule 8.6 - Business Continuity and Disaster Recovery - Final (REDACTED).pdf Schedule 8.7 - Conduct of Claims - Final.pdf Schedule 9.1 - Staff Transfer - Final (REDACTED).pdf Schedule 9.2 - Key Personnel - Final (REDACTED).pdf Schedule 10 - Guarantee - Final (REDACTED).pdf ","http://ted.europa.eu/udl?uri=TED:NOTICE:425846-2017:TEXT:EN:HTML&src=0 ","Pension Administration services against the following two membership profiles:(1) RMSPS scheme members with no benefits in the RMPP (which amounts to approximately 286 000 members comprised of116 000 deferred members and 170 000 pensioners) and (2) RMSPS scheme members with benefits in the RMPP (which amounts to approximately 116 000 members comprised of 97 000 deferred members and 19000 pensioners). The pension administration services available include the following:- accounting
services, administration services, interactions with members, member communications (including managing and operating a helpline, issuing benefits statements, annual pension increase letters,printing services and also scheme leaflets), pension payroll services (bulk and individual payroll services) and reporting. Membership profile 2 also includes the requirement to work with RMPP's pension administration services provider with regard to those members who are beneficiaries in both the RMSPS and RMPP.",30/09/2017,30/04/2025,14/12/2016,NO,,Yes,No,No,Services,31000000,31000000,29/09/2017,31000000,"[CAPITA EMPLOYEE BENEFITS LIMITED|17 Rochester Row
London
SW1P 1QT|||No|No]",,30/09/2017,30/04/2025,"CompetitiveProcedureWithNegotiationOJEU ",
CF1V3-20160128-00000777,Contract,"Halton Borough Council",Awarded,2016-01-28T16:06:02Z,"RFQ for the Distribution of Inside Halton Magazine to Residential Properties in Halton via Royal Mail 'Door to Door' Services","Halton Borough Council intends to procure a suitably qualified organisation, which are capable of distributing the Council?s ?Inside Halton? Magazine via ?Royal Mail? Door to Door services (three times a year) throughout the borough.

The main purpose of ?Inside Halton? Magazine is to keep Halton residents up to date with news and information within the Borough.  

The requirement of Halton Borough Council is outlined below, but maybe subject to change over the period of the contract: -

?	Inside Halton is currently an 28 page, A4 magazine, weighs 80gsm and is unpackaged
?	Delivery currently set at three (3) times per year in March, July and November
?	Distribution must be completed via ?Royal Mail? Door to Door Services within 5 working days of receipt
?	Approximately 55,000 copies to be delivered to all Halton addresses (including parishes)
?	300 copies to be delivered to Halton Borough Council, Municipal Building WA8 7QF",,,"North West","64100000 ","Pauline Lowe",pauline.lowe@halton.gov.uk,"Kingsway House",Kingsway,Widnes,"WA8 7EA",UK,"+44 1511111111",http://www.halton.gov.uk,,,"Halton Borough Council intends to procure a suitably qualified organisation, which are capable of distributing the Council?s ?Inside Halton? Magazine via ?Royal Mail? Door to Door services (three times a year) throughout the borough.

The main purpose of ?Inside Halton? Magazine is to keep Halton residents up to date with news and information within the Borough.  

The requirement of Halton Borough Council is outlined below, but maybe subject to change over the period of the contract: -

?	Inside Halton is currently an 28 page, A4 magazine, weighs 80gsm and is unpackaged
?	Delivery currently set at three (3) times per year in March, July and November
?	Distribution must be completed via ?Royal Mail? Door to Door Services within 5 working days of receipt
?	Approximately 55,000 copies to be delivered to all Halton addresses (including parishes)
?	300 copies to be delivered to Halton Borough Council, Municipal Building WA8 7QF
Halton ",01/03/2016,28/02/2018,25/01/2016,NO,,No,No,No,Services,15000,15000,28/01/2016,15000,"[The National Leaflet Company|1 Gunpowder Square, Fleet Street, London, Greater London, EC4A 3EP, UK|||No|No]",,01/03/2016,28/02/2018,"NotSpecified ",
"EBCQ 18-064",Contract,"Erewash Borough Council",Awarded,2019-05-08T09:40:55Z,"Quotation for the printing and distribution to Royal Mail of EBC Today","The Council is seeking quotations for the provision of printing the Council's quarterly magazine, EBC Today. 
The successful Contractor will be required to print the magazine and distribute to Royal Mail for onward delivery to households in the Borough

The closing date for expressions of interest is 4pm on 21st January 2019. 

The deadline for return of completed quotations is 12pm on 8th February 2019.",,,"East Midlands","22000000 ",Procurement,Procurement@erewash.gov.uk,"Ilkeston Town Hall",,ILKESTON,DE75RP,England,"0115 907 2244",,,"https://procontract.due-north.com/Advert?advertId=0bec6a61-2e10-e911-80f0-005056b64545&p=527b4bbd-5c58-e511-80ef-000c29c9ba21 ","This tender is being managed electronically. In order to express interest and download the invitation to tender documents please go to the link above.",01/07/2019,30/06/2021,08/02/2019,YES,"EBCQ 18-064",Yes,No,No,Services,0,,18/04/2019,0,"[Walstead Group|22 Westside Centre 
London Road 
Colchester 
Essex
C03 8PH|COMPANIES_HOUSE|02261988|No|No]",,01/07/2019,30/06/2021,"OpenNonOJEU ",
"PwC 031",Contract,"GOVERNMENT INTERNAL AUDIT AGENCY",Awarded,2019-02-11T12:00:26Z,"Internal Audit Services Royal Mail Statatory Pension Scheme","Internal Audit Services for Royal Mail via GIAA",,,London,"79212200 ","Ashley Smart",ashley.smart@giaa.gov.uk,"1 Horseguards Road",,London,SW1A2HQ,England,"0207270 2726",,,,,19/10/2017,31/03/2018,01/10/2017,NO,,No,No,No,Services,0,23625,01/02/2017,23625,"[Price Waterhouse Coopers Llp|1 Embankment Place
WC2N 6RH
GB|NONE||No|No]",,19/10/2017,31/03/2018,"CallOffFromFrameworkAgreement ",
36504,Contract,"National Audit Office",Awarded,2017-04-18T14:39:32Z,"Pensions award testing Royal Mail audit","Pensions award testing Royal Mail audit",,"SW1W 9SP",,"79212000 ",,Z3-Procurement@nao.gsi.gov.uk,"157-197 Buckingham Palace Road",,LONDON,"SW1W 9SP",England,,,,,,24/02/2016,24/02/2017,24/01/2016,NO,,No,No,No,Services,22200,,24/01/2016,0,"[KPMG FEES LLP ACCOUNT|KPMG FEES LLP ACCOUNT|||No|No]",,24/02/2016,24/02/2017,"Other ",
SO14291,Contract,"CROWN COMMERCIAL SERVICE",Awarded,2015-12-18T12:44:27Z,"SO14291; Analysis of Demographic Experience for use with the Royal Mail Statutory Pension Scheme (""RMSPS"")","A review of the demographic experience of the Royal Mail Pension Plan (“RMPP”) over the three years to 31 March 2015.

As part of the demographic experience analysis the supplier will investigate:

	•	post retirement mortality experience
	•      withdrawal, age retirement, ill-health retirement, pre-retirement                        mortality experience; and
	•      family statistics and commutation",,,"Any region","73110000 ","CCS London Managed Service Team",ManagedProcurementService@crowncommercial.gov.uk,"2nd Floor, Aviation House","125 Kingsway",London,"WC2B 6NH",England,,www.gov.uk/ccs,"Redacted Statement of Work_June 2015.pdf ",,,06/07/2015,31/12/2015,06/07/2015,NO,,No,No,No,Services,35000,,06/07/2015,35000,"[Towers Watson|Watson House
London Road
Reigate
Surrey
RH2 9PQ|||No|No]",,06/07/2015,31/12/2015,"NotApplicable ",
