"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
LEICSCITY02-DN288607-06282707,Contract,"Leicester City Council",Awarded,2018-01-12T15:22:19Z,"PAN1681 - VMS Update - Free Text Signs","The Connecting Leicester project is transforming the city centre and its surroundings into a high quality visitor destination with many pedestrian friendly areas. 
The Legible Leicester project comprises a number of work-streams.  This invitation to tender was for the provision of a new Free Text Variable Message Signs (VMS) Car Park Signs which are capable of displaying other information as well. Effective management and control of parking facilities is considered to be important in managing access to the city centre. Guiding vehicles to the nearest available parking spot helps reduce circulating traffic, therefore contributing to lower congestion and pollution levels. A dynamic parking guidance system which could also be utilised to inform motorists of other incidents, events or traffic related messages will further help manage traffic in and around Leicester.
As such the proposed Free Text VMS Car Park Signs will help achieve some of Leicester City Council's LTP3 transport objectives:
•	Reduce congestion.
•	Improve connectivity and access.
•	Improve air quality and reduce noise.
•	Reduce carbon emissions.
•	Improve quality of life.
All roads where the signs will be installed have 30mph speed limits.  Suppliers that are party to the Crown Commerical Services TMT2 framework were invited to tender.",,,"East Midlands","34000000 ","Pam Grainger",pam.grainger@leicester.gov.uk,"City Hall (4th Floor)","115 Charles Street",Leicester,"LE1 1FZ","United Kingdom","+44 1164544038",http://www.leicester.gov.uk,,,,22/01/2018,21/01/2019,09/10/2017,NO,,Yes,No,No,Products,900000,900000,12/01/2018,900000,"[SWARCO Traffic Ltd|7 Mercury Road, Gallowfields Trading Estate, Richmond, North Yorkshire  DL10 4TQ|NONE||No|No]",,22/01/2018,21/01/2019,"Other ",
WOLVCITY001-DN310333-26353097,Contract,"Wolverhampton City Council",Awarded,2018-06-12T16:07:25Z,"PP17205 Variable Traffic Signs","Provision of maintenance, repair and installation of Variable Traffic Message Signs for Wolverhampton CityCouncil, Walsall MBC and Dudbley MBC for a duration of 5 years
Interest in this contract process should be expressed via the Council's tendering portalwww.wolverhamptontenders.com. The Council reserves the right to cancel the procurement and not to proceedwith the contract. The Council also reserves the right not to award a contract or to award a contract for partsor part of the services only. The Council will not, under any circumstances, reimburse any expense incurred bybidders in preparing their tender submissions.",,WV11RL,"Any region","34000000 45316212 50000000 ","Simon Pons",simon.pons@wolverhampton.gov.uk,"Civic Centre","St Peters Square",Wolverhampton,"WV1 1RL","United Kingdom","+44 1902551488",http://www.wolverhampton.gov.uk,,,,17/01/2018,31/03/2022,05/01/2018,NO,,No,No,No,Services,0,,11/06/2018,60000,"[SWARCO Traffic Ltd|Richmond, Yorshire|NONE||No|No]",,12/06/2018,30/04/2023,"Open ",
DN231258,Contract,"BLACKPOOL BOROUGH COUNCIL",Awarded,2017-03-14T15:36:40Z,"Blackpool Intelligent Transport System","Crown Commercial Services Framework RM1089. Traffic Management Technology 2 - Lot 4 Variable Message Signs.

  Blackpool Council sought to procure an ITS Car Park Management System and Traffic Information System for the town, by means of a further competition from CCS Framework RM1089. The overall objective was to provide an Intelligent Transport System that would deliver the right information to drivers at the right time, whilst providing improved overall network control, problem identification and analysis.",,,"North West","34923000 34924000 34928470 34992100 45316210 ","Kate Faulkner",procurement@blackpool.gov.uk,"Blackpool Council","P.O. Box 4",Blackpool,"FY1 1NA",England,,,,,,01/04/2017,31/10/2017,23/01/2017,NO,,No,No,No,Products,1702400,,21/02/2017,1700000,"[Swarco Traffic Ltd|7 Mercury Road, Gallowfields Trading Estate, Richmond, North Yorkshire, DL10 4TQ|||No|No]",,03/04/2017,31/10/2017,"Other ",
LGSS001-DN323207-01765625,Contract,"Cambridgeshire County Council",Awarded,2018-09-13T10:42:48Z,"Cambridgeshire County Council - Huntingdon Variable Message Signs","Cambridgeshire County Council requires the supply and installation of a number of new Variable Message Signs (VMS) in and around the town of Huntingdon.

The successful Potential Provider will provide and install fully integrated VMS Travel Information Signs, which will include:
•	6 RGB Full Colour Full Matrix LED VMS Travel Information Signs, designed to carry 6 lines of 16 characters 
•	Annual maintenance costs for the provision of the hosted solution for 12 months

Further Competition using the Crown Commercial Services Framework RM1089 Traffic Management Technology 2 Lot 4: Variable Message Signs",,,"East of England","34924000 ","Richard Burnett",richard.burnett@cambridgeshire.gov.uk,"Shire Hall","Castle Hill",Cambridge,"CB3 0AP",England,,https://www.cambridgeshire.gov.uk/,,,,01/08/2018,31/10/2019,13/03/2018,NO,,Yes,No,No,Services,135177,135177,28/03/2018,135177,"[Swarco Traffic Ltd|7 Mercury Road, Gallowfields Trading Estate, Richmond, North Yorkshire, DL10 4TQ|NONE||Yes|No]","Mr Ken Robinson",01/08/2018,31/10/2019,"Other ",
BIP528416084,Contract,"Shropshire Council",Awarded,2020-10-03T13:30:12Z,"DMNH 023 - SITP VMS Deployment Scheme","This is an award notice for the Shrewsbury Integrated Transport Package (SITP) for a number of Variable Message Signs (VMS), fixed plate with LED elements Parking Guidance Signs (PGS) and fixed plate direction signs in and around the town of Shrewsbury.",,,"West Midlands","34992300 ",Procurement,procurement@shropshire.gov.uk,Shirehall,"Abbey Foregate",Shrewsbury,"SY2 6ND",UK,+441743252992,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=528416084 ",,05/10/2020,31/03/2021,14/08/2020,NO,,No,No,No,Products,539750,,14/08/2020,539750,"[Swarco Traffic Ltd.|Western House Business Park
        East Road
        Melsonby
        Richmond
        DH10 5NF|NONE||No|No]",,05/10/2020,31/03/2021,"Open ",,00:00
LEEDSCITY001-DN481441-94480002,Contract,"Leeds City Council",Awarded,2020-09-04T13:51:27Z,"Call off from S&I Variable Message Signs (DN199093) - Work Package 5","Supply and Installation of VMS Signs - Call of from Existing Framework",,,"Yorkshire and the Humber","34924000 ",,contracts.support.unit@leeds.gov.uk,"St George House","3rd Floor, 40 Great George Street",Leeds,"LS1 3DL",England,,http://www.leeds.gov.uk,,,,04/09/2020,31/01/2021,24/08/2020,NO,,No,No,No,Services,36684,,04/09/2020,37684,"[Swarco Traffic Ltd|Western House Business park, Richmond|NONE||No|No]",,05/09/2020,31/01/2021,"Restricted ",,12:00
LEEDSCITY001-DN411553-08488979,Contract,"Leeds City Council",Awarded,2019-11-27T13:01:56Z,"Call Off From S&I of Variable Message Signs (DN199093) - Work Package No. 3 - Clean Air Zone","supply and installation of variable message signs",,,"Yorkshire and the Humber","34924000 ",,contracts.support.unit@leeds.gov.uk,"St George House","3rd Floor, 40 Great George Street",Leeds,"LS1 3DL",England,,http://www.leeds.gov.uk,,,,27/11/2019,31/03/2020,06/11/2019,NO,,Yes,No,No,Products,75000,75000,26/11/2019,73329.3,"[Swarco Traffic Ltd|7 Mercury Road, Gallowfields Trading Estate, Richmond, DL10 4TQ|NONE||No|No]",,27/11/2019,31/03/2020,"Restricted ",
LEEDSCITY001-DN418729-30257238,Contract,"Leeds City Council",Awarded,2019-09-27T14:54:52Z,"Call Off from S&I Variable Message Signs (DN199093) - Work Package 4","Supply of three Highway Variable Message Signs",,,"Yorkshire and the Humber","34924000 ",,contracts.support.unit@leeds.gov.uk,"St George House","3rd Floor, 40 Great George Street",Leeds,"LS1 3DL",England,,http://www.leeds.gov.uk,,,,27/09/2019,31/03/2020,17/07/2019,NO,,Yes,No,No,Products,80000,80000,27/09/2019,55305.32,"[Swarco Traffic Ltd|7 Mercury Road, Richmond,  North Yorkshire|NONE||No|No]",,28/09/2019,31/03/2020,"Restricted ",
DONCTR001-DN434843-42890133,Contract,"Doncaster MBC",Awarded,2019-09-10T14:24:55Z,"UTMC Sign Ref Refurbishments","Refurbishment of two Techspan UTMC signs",,,"Yorkshire and the Humber","34900000 ","Martin Gibson",martin.gibson@doncaster.gov.uk,"Civic Office",Waterdale,Doncaster,"DN1 3BU",England,,http://www.doncaster.gov.uk/,,,,24/08/2019,31/03/2020,19/08/2019,NO,,Yes,Yes,No,Services,29222,29222,22/08/2019,29222.18,"[SWARCO TRAFFIC LTD|7 Mercury Rd, Richmond DL10 4TQ|NONE||Yes|No]",,23/08/2019,31/03/2020,"Restricted ",
LEEDSCITY001-DN380087-56998660,Contract,"Leeds City Council",Awarded,2019-01-21T12:50:47Z,"Call Off from DN199093 Supply and Installation of Variable Message Signs - Calderdale Package Order 1","Purchased on behalf of Calderdale Council",,,"Yorkshire and the Humber","34924000 ","Anne Sweeting",anne.sweeting@leeds.gov.uk,"Highways and Transportation","Middleton Ring Road",Leeds,"LS10 4AX","United Kingdom","+44 1133787458",http://www.leeds.gov.uk,,,,21/01/2019,31/07/2019,21/12/2018,NO,,No,No,No,Services,60000,60000,21/01/2019,60000,"[Swarco Traffic Ltd|DL10 4TQ|NONE||Yes|No]","Mr Ken Robinson",22/01/2019,31/07/2019,"Restricted ",
