"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
HOCS2b/00010,Contract,"MINISTRY OF DEFENCE",Awarded,2016-11-03T10:07:08Z,"Provision of Assessment Centre Design & Delivery for the Finance Graduate Scheme","As a result of a mini competition proceedure conducted under the HMRC Civil Service Resourcing Framework a contract for the Provision of Assessment Centre Design and Delivery for the Finance Graduate Scheme was awarded to TMP (UK) Ltd",,"BS34 8JH","South West","80000000 ","Reita Anderson",DefComrclCC-HOCS2b1@mod.uk,"Kentigern House","65 Brown Street",Glasgow,"G2 8EX",Scotland,,,,,,14/10/2016,31/03/2017,07/10/2016,NO,,Yes,No,No,Services,85000,,14/10/2016,85000,"[TMP(UK)Ltd|265 Tottenham Court Road
London
W1t 7RQ|||No|No]",,14/10/2016,31/03/2017,"Other ",
ITT60226,Contract,"DEPARTMENT OF HEALTH",Awarded,2016-06-01T14:35:54Z,"For the provision of External Advertising and Typesetting / Alternative Formats","The requirement is for the provision of External Advertising and Typesetting/ Alternative formats. The provider shall deliver an overall value for money service in terms of savings achieved through innovation, efficiencies and continuous improvement.

Although we envisage that the successful bidder will carry out support for all appointments requiring advertising services, DH reserves the right to contract with a different organisation if it feels that the successful bidder is unable to meet its requirements.

In addition we are looking for a supplier who can produce our advert and information packs in alternative formats and on occasion a foreign language.

The contract will be established for an initial period of one (1) year. The contract will have an option to extend for a further period or periods up to a total of two (2) years, subject to satisfactory service delivery, taking the contract term to a maximum of three (3) years from the Commencement Date",,,"Any region","75130000 ","DH Supplier helpdesk",supplier.helpdesk@dh.gsi.gov.uk,"Department of Health, Procurement services","Quarry House",Leeds,"LS2 7UE",England,,www.dh.gov.uk,"3A_12-Client Body agreement-redacted - schedules 2.pdf 3A_12-Client Body agreement-redacted - schedules 3-8.docx 3A_12-Client Body agreement-redacted - schedules 1.docx 3A_12-Client Body agreement-redacted-main.docx ",,"This procurement is using further competition to call off the ESPO Advertising & Communications Services Framework, reference 3A_12, Recruitment and Resourcing Related Services, lot 1. ",01/06/2016,31/05/2017,09/05/2016,NO,,Yes,Yes,No,Services,53049.96,,26/05/2016,53049.96,"[TMP (UK) Ltd (Trading name- TMP Worldwide)|265 Tottenham Court Road, London W1T 7RQ|||No|No]",,01/06/2016,31/05/2017,"Other ",
"PROC.04.0130 (Supplier 2)",Contract,"WATER SERVICES REGULATION AUTHORITY",Awarded,2018-04-11T10:53:11Z,"Price Review Analysts, PR19","The objective of this contract is to undertake effective advertising, search, selection and candidate management processes to recruit circa 25 Price Review Analysts on 2 year fixed term contracts (FTC), to start ideally from 1 January 2018 and no later than 1 April 2018. These roles will be at Senior Associate (band 3 GBP 32,363 - GBP 48,406) and Principal (band 4 GBP 48,407 - GBP 74,042) level. The intention is that these new recruits will work primarily on our Price Review and will be recruited into our Analytics and Strategy & Policy Resource Pools. The information for applicants pack and person specifications by profession are attached at Appendix A and B respectively within the ITT. If the campaign is successful, we may review our budget position and recruit further roles above the circa. 25 outlined in this tender.  

These roles are:

- Finance and accounting

- Engineering and infrastructure

- Economics

- Information and quality assurance

- Strategy and policy

- Regulatory analysts

Ideally we are looking for an even mix of skillsets and we would expect 60% of appointments to be at Senior Associate level and 40% at Principal level.

As these are specialist roles that can be difficult to fill and candidates are required to start from 1 January 2018 to 1 April 2018, we are taking a number of different approaches to filling these vacancies. This is to ensure that we get right calibre of candidates within the timescales we require. We will go live with our own recruitment campaign in September 2017 led by a dedicated internal resourcer, we will advertise on our website, Civil Service jobs and LinkedIn as well as placing a number of online adverts. We will also tap into the UK Regulators Network advertising loans and secondments as an alternative attraction method. The final component of our campaign is to secure the services of a third party agency or agencies to source high calibre candidates. As we are looking for a range of specialist skills for both our London and Birmingham offices, we intend to award this service to at least 1 and up to 3 Suppliers. It is essential that the Supplier or mix of Suppliers can deliver candidates at both locations.

Scope of work

We are looking for a Supplier/s who will invest time to quickly get up to speed with what Ofwat does and our Price Review and the type of skills we are looking for. The Supplier would need to be creative in how they approach the end to end campaign, undertaking effective advertising, search and selection processes using a range of methods and present a high quality and diverse field of suitable candidates. In the past we have experienced some difficulties securing suitable candidates for these type of vacancies as the skills are very specialist and can be hard to find and in short supply. We are interested in proposals for how these issues would be overcome.",,,"West Midlands,London","79600000 ",,mailbox@ofwat.gsi.gov.uk,"Centre City Tower","7 Hill Street",Birmingham,"B5 4UA",England,,,"PROC.04.0130 SER0717 Supplier 2 - Signed by both parties_Redacted.pdf ",,"Please note that as this contract is dependent on the appointment of successful candidates therefore exact spend is unknown.",26/10/2017,31/01/2018,11/10/2017,NO,,Yes,No,No,Services,0,,24/10/2017,0,"[TMP (UK) Ltd|265 Tottenham Court Road
London
W1T 7RQ|COMPANIES_HOUSE|05648039|No|No]",,26/10/2017,31/03/2018,"OpenNonOJEU ",
BIP418661051,Contract,"Essex County Council",Awarded,2019-07-31T14:56:02Z,"GB-Chelmsford: 0785 Recruitment Advertising","Provision of Recruitment Advertising services under Lot 1 Recruitment Advertising & Related Services of ESPO's Advertising Solutions Framework (reference 3A_16).",,,"East of England","79600000 ","Andrew Beaver",Andrew.beaver@essex.gov.uk,"County Hall","Market road",Chelmsford,"CM1 1QH",UK,03330136253,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=418661051 ","The term of this call-off is 2 years with the option to extend for a further period of 12 months",08/07/2019,07/07/2021,21/06/2019,NO,,No,No,No,Services,50000,,21/06/2019,50000,"[TMP (UK) Ltd|265 Tottenham Court Road
        London
        W1T 7RQ|NONE||No|No]","Samantha Jennings",08/07/2019,07/07/2021,"NotSpecified ",
BIP384927149,Contract,"Office for Students",Awarded,2019-03-29T09:06:04Z,"Contract for Recruitment Advertising","Contract for Recruitment Advertising",,,"South West","79600000 ",,procurement@officeforstudents.org.uk,"Nicholson House","Lime Kiln Close",Bristol,"BS34 8SR",UK,+441179317149,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=384927149 ",,01/04/2019,31/03/2023,19/03/2019,NO,,Yes,Yes,No,Services,512000,,19/03/2019,512000,"[TMP (UK) Ltd|265 Totenham Court Road
        London
        W1T 7RQ|NONE||No|No]",,01/04/2019,31/03/2023,"Open ",
2017146,Contract,"HER MAJESTYS LAND REGISTRY",Awarded,2017-10-13T11:56:13Z,"National Recruitment Campaigns","Apprenticiship recruitment support",,,"Any region","79620000 ",,CorporateProcurement@landregistry.gov.uk,"Procurement & Commercial Group, Land Registry Procurement Unit,","PO Box 292,","Plymouth,","PL5 9BY",England,,,,,,01/04/2017,31/03/2018,24/03/2017,NO,,No,No,No,Services,10000,,31/03/2017,10000,"[TMP (UK) Ltd|London|||No|No]",,01/04/2017,31/03/2018,"Other n/a",
2017143,Contract,"HER MAJESTYS LAND REGISTRY",Awarded,2017-10-13T09:21:58Z,"Recruitment campaigns for Apprentices","Apprenticeship recruitment support",,,"Any region","79620000 ",,CorporateProcurement@landregistry.gov.uk,"Procurement & Commercial Group, Land Registry Procurement Unit,","PO Box 292,","Plymouth,","PL5 9BY",England,,,,,,01/04/2017,31/03/2018,28/03/2017,NO,,No,No,No,Services,30000,,28/03/2017,30000,"[TMP (UK) Ltd|London|||No|No]",,01/04/2017,31/03/2018,"Other n/a",
2017111,Contract,"HER MAJESTYS LAND REGISTRY",Awarded,2017-08-15T10:21:51Z,"Apprentice recruitment exercise (tranche 2)","Apprenticiship recruitment support",,,"Any region","79620000 ","Vicki Gregg",CorporateProcurement@landregistry.gov.uk,"Procurement & Commercial Group, Land Registry Procurement Unit, PO Box 292,",,"Plymouth,","PL5 9BY",England,,,,,,01/04/2017,31/03/2018,15/03/2017,NO,,No,No,No,Services,71300,,31/03/2017,40000,"[TMP (UK) Ltd|265 Tottenham Court Road, London W1T 7RQ|||No|No]",,01/04/2017,31/03/2018,"Other ",
2017110,Contract,"HER MAJESTYS LAND REGISTRY",Awarded,2017-08-15T10:17:56Z,"Apprentice recruitment exercise (tranche 1)","Apprenticiship recruitment support",,,"Any region","79620000 ","Vicki Gregg",CorporateProcurement@landregistry.gov.uk,"Procurement & Commercial Group, Land Registry Procurement Unit, PO Box 292,",,Plymouth,"PL5 9BY",England,,,,,,01/04/2017,31/03/2018,15/03/2017,NO,,No,No,No,Services,40000,,31/03/2017,40000,"[TMP (UK) Ltd|265 Tottenham Court Road, London W1T 7RQ|||No|No]",,01/04/2017,31/03/2018,"Other ",
DN2132721,Contract,"BLACKPOOL BOROUGH COUNCIL",Awarded,2017-01-09T11:24:42Z,"The Provision of Advertisement Services for Statutory Public Notices","The Council has a statutory duty to publish Public Notices. A high proportion of these notices are placed in the local newspaper.

 The Council is seeking to appoint a Media Advertising Agency to act as a broker to produce and place the public notice advertisement on its behalf.

This award notice relates to the opportunity notice published on 7th October 2016",,,"North West","79340000 ",,procurement@blackpool.gov.uk,"Municipal Buildings",,Blackpool,"FY1 1NA",England,,,,,,01/04/2017,01/04/2018,31/10/2016,NO,,Yes,Yes,No,Services,33000,,28/11/2016,0,"[TMP UK Ltd|265, Tottenham Court Road,
London,
W1T 7RQ|||No|No]",,01/04/2017,31/03/2018,"Other ",
