"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
"ECC/corp/JB/et/Apr 2018",Contract,"Exeter City Council",Awarded,2018-06-28T16:51:22Z,"Award of call-off contract for Electrical Testing (Housing) to Dodd Group","This is a notice of contract award and is not an opportunity to Tender.
ECC has awarded a call-off contract for ""Electrical Testing Services""  to Dodd Group. The call-off contract was via a Fusion 21 Framework and the OJEU details are as follows - The Framework commenced on 3rd April 2017 (OJEU Contract Award Notice 2017/S 068-127841. The tender process for the replacement of this contract should commence - January 2022.
This notice has been raised for transparency / info purposes only.",,,"South West","50700000 ","John Bessant",john.bessant@exeter.gov.uk,"Civic Centre",,EXETER,EX11JN,England,"01392 265815",,,,,01/05/2018,30/04/2022,02/04/2018,NO,,Yes,No,No,Services,2338000,,30/04/2018,2338000,"[DODD GROUP (MIDLANDS) LIMITED|Stafford Park 13
TF3 3AZ
GB|COMPANIES_HOUSE|01179878|Yes|No]","Sean Mumford",01/05/2018,30/04/2022,"CallOffFromFrameworkAgreement ",
MT219991,Contract,"Wrekin Housing Group Limited",Awarded,2020-06-22T17:45:03Z,"Electrical Installation Compliance and Improvement Works","Electrical Testing, Inspection, Repair, Maintenance, including Rewire and upgrade works to domestic and commercial property.",,,"West Midlands","45310000 ","Rebecca Salter",becky.salter@wrekinhousingtrust.org.uk,"Colliers Way, Old Park",,Telford,"TF3 4AW",England,"+44 1952217195",www.wrekin.com,,"https://www.mytenders.co.uk/search/show/search_view.aspx?ID=JUN159954 ",,01/04/2020,31/03/2021,02/09/2019,NO,,Yes,Yes,No,Works,1000000,,05/03/2020,1000000,"[Dodd Group|Stafford Park 13, Telford|NONE||No|No][Dodd Group|Stafford Park 13, Telford|NONE||No|No]",,01/04/2020,31/03/2021,"Restricted ",
CRW2015-1,Contract,"Fortis Living",Awarded,2015-09-14T08:54:28Z,"Home Improvement Agency Improvement Works","Fortis Living on behalf of Care & Repair Worcestershire has 4 workstream packages available under this tender: bathroom adaptations, stairlifts, access ramps and alteration/extension works.  Each workstream is split into smaller geographical areas (maximum of 13 across Worcestershire).  No level of work in quantity of jobs or value terms or geographical locations can be guaranteed, these are totally dependent on the differing six Worcestershire Local Authorities.
OJEU Number 2015-117126",,,"West Midlands","34953000 44115000 45211000 45262000 ","Richard Orders",rorders@fortisliving.com,"Festival House, Grovewood Road",,Malvern,"WR14 1GD",England,"01905 670124",,,,,01/02/2016,31/03/2018,16/10/2015,NO,,Yes,No,No,Works,2000000,,01/12/2015,2000000,"[Dodd Group (Midlands) Ltd|Unit 1, Rabone Park, Radone Lane, Smethwick B66 2NN|||No|No][Oakleaf Commercial Services Ltd|3 Foley Grove, Foley Business Park, Kidderminster DY11 7PT|||No|No][Premier Heating Company Ltd|Unit 16, North Street Industrial Estate, North Street, Brierley Hill DY5 3QF|||No|No][Woodland Property Services Ltd|Ascot Business Park, Longbridge Lane, Derby DE24 8JJ|||No|No][The Snape Group Ltd|Willow End, Stoke Orchard Road, Bishops Cleeve, Cheltenham GL52 7DG|||No|No][ISO Property Developments Ltd|Justiva, 13 Spetchley Road, Worcester WR5 2LP|||No|No][MD Building Services Ltd|The Malt House, Durnford Street, Ashton, Bristol BS3 2AW|||No|No][Prism UK Medical Ltd|Unit 4 Jubilee Business Park, Jubilee Way, Grange Moor, Wakefield WF4 4TD|||No|No][Stannah Lift Services Ltd|Watt Close, East Portway, Andover SP10 3SD|||No|No]",,01/02/2016,31/03/2018,"Open ",
DN477977,Contract,"STAR Procurement",Awarded,2020-06-25T10:39:53Z,"Bolshaw Primary School Replacement Boilers","Replacement boiler plant, new gas safety system and BMS control panel.",,,"North West","45000000 ","Michael Fanning",michael.fanning@star-procurement.gov.uk,"1FE Trafford Town Hall",,MANCHESTER,M320TH,England,"07834 869726",,,,"Replacement boiler plant, new gas safety system and BMS control panel.",27/07/2020,28/08/2020,15/06/2020,NO,,Yes,No,No,Works,44198.16,,22/06/2020,44198.16,"[DODD GROUP (MIDLANDS) LIMITED|Stafford Park 13
TELFORD
Shropshire
TF3 3AZ
GB|COMPANIES_HOUSE|01179878|No|No]",,27/07/2020,28/08/2020,"CallOffFromFrameworkAgreement ",
"SCC 507 - AWARD",Contract,"Sandwell Metropolitan Borough Council",Awarded,2020-03-03T12:29:39Z,"Constructing West Midlands Building Repairs and Maintenance with Mechanical and Engineering Services - AWARD","Acivico (Design, Construction and Facilities Management) Limited and Sandwell MBC (the Contracting Authority) are seeking to appoint contractors to the Constructing West Midlands Framework CWM2 Repair and Maintenance, for the provision of planned and reactive repairs and maintenance services covering building fabric and mechanical & electrical components, to include statutory/planned maintenance and inspections, emergency and reactive maintenance and a provision for minor construction and refurbishment works.  The framework will be tendered in two Lots and potential bidders may submit an SSQ for either one or both Lots.  At the tender stage, bids may be submitted for both Lots but appointed suppliers will only be appointed to one of the Lots - potential bidders are asked to express their preferences in the SSQ.  The lots are: Lot 1 - Building Fabric Repair & Maintenance and Minor Building Works.  Lot 2 - Mechanical & Electrical (M&E) Repairs and Maintenance and Minor Works 
      The services will be delivered throughout the West Midlands region.  The Council will be using the In-tend e-Tendering System for this Procurement exercise, please visit https://in-tendhost.co.uk/sandwellmbc to access the Sandwell MBC In-tend Supplier Portal.  
      From here you will be able to register your company, express an interest in the opportunity, and gain immediate access to the ITT and other related documents. In Order To View the On-Line Questionnaire and Submit a Tender, you will be required to` Opt-In`.  For a Step by Step user guide to the Sandwell MBC In-tend Supplier Portal please click on the `Guidance for Suppliers` section of the website. All procurement responses must be carried out via the Sandwell MBC In-tend Supplier Portal.  If you require further assistance in respect of the system please contact the In-tend support team on 0844 272 8810.  Closing date for return of SSQ and Supplementary Questionnaire responses Monday 14 October 2019 at 15:00hrs.",,"B69 3DB","West Midlands","45000000 50700000 ","Carole Le Roux",carole_leroux@sandwell.gov.uk,"Freeth Street",Oldbury,"West Midlands","B69 3DB","United Kingdom","0121 569 3628",,,,,28/04/2020,27/04/2024,14/10/2019,NO,,No,No,No,Works,0,,03/03/2020,24040298,"[Dodd Group (Midlands) Limited|Unit 1 Rabone Park, Rabone Lane, Smethwick, United Kingdom, B66 2NN|NONE||No|No][Fortem Solutions Limited|4 Portmill Lane, Hitchin, Herts, United Kingdom, SG5 1DJ|NONE||No|No][GRAHAM Asset Management Ltd|20 Wildflower Way, Belfast, Co Antrim, United Kingdom, BT12 6TA|NONE||No|No][Wates|Wates House, 11 Ridgeway, Quinton Business Park, Quinton, Birmingham, United Kingdom,  B32 1AF|NONE||No|No]","Kerry Howard",28/04/2020,27/04/2024,"Restricted ",
"EEM 0009",Contract,"Charnwood Borough Council Recycling",Awarded,2020-02-14T11:05:53Z,"Electrical Repairs, Rewires & Domestic Periodic Checks","Charnwood Borough Council intends to access EEM's Framework Contract Ref: EEM009 - OJEU Ref: 2016/S097-173534 for the service provision of electrical testing and electrical remedial works including new installations.",,,"East Midlands","45311000 ","Deborah Bartlett",Deborah.Bartlett@charnwood.gov.uk,"Southfield Road",,LOUGHBOROUGH,LE112TX,England,"01509 634501",,,,,01/01/2020,01/01/2022,01/11/2019,NO,,Yes,Yes,No,Services,300000,,31/12/2019,300000,"[Dodd Group (Midlands ) Ltd|Stafford Park 13
Telford , Shopshire 
TF3 3AZ|NONE_OTHER||Yes|No]",,01/01/2020,01/01/2022,"CallOffFromFrameworkAgreement ",
"NUN - 8499 - AWARD",Contract,"Coventry - Solihull - Warwickshire",Awarded,2020-01-17T16:41:46Z,"NUN - Level Access Showers Framework  - AWARD","This framework contract is for the Installation of Level Access Showers. Please see  section 10 within Section One - Introduction, Timescales and Project Particulars for more information regarding the number of contractors to be awarded a place on the framework. TUPE does apply to this contract, please see Section one 6.5 and Section Four - Tender Evaluation for further TUPE information.",,"CV11 5AA","West Midlands","45000000 ","Matthew Wallbank",matthew.wallbank@nuneatonandbedworth.gov.uk,"Coton Road",Nuneaton,Warwickshire,"CV11 5AA","United Kingdom","024 7637 6258",,,,,01/04/2020,01/04/2025,03/12/2019,NO,,Yes,No,No,Works,0,3000000,17/01/2020,0,"[Dodd Group (Midlands) Limited|Unit 1 Rabone Park, Rabone Lane, Smethwick, United Kingdom, B66 2NN|NONE||No|No][G Harrison (Buildrite) Leicester Limited|Unit 12a, Saffron Way, Leicester, United Kingdom, LE2 6UP|NONE||No|No][Starrant Ltd|Starrant Ltd, Sadler Court, 224 Lichfield Road, Brownhills, Walsall, West Midlands, United Kingdom, WS8 6LH|NONE||No|No]","Kerry Howard",01/04/2020,01/04/2025,"NotApplicable ",
WP3510,Contract,"Walsall Metropolitan Borough Council",Awarded,2019-11-13T15:28:13Z,"Re-wiring & Lighting Replacement Works (Civic Centre)","The Council wishes to procure a contractor who has the appropriate level of experience and capability to carry out Re-wiring & Lighting Replacement Works in a Grade II Listed Building of this age and type.",,,"West Midlands","45310000 ","Mark Terry",mark.terry@walsall.gov.uk,"Civic Centre,Darwall Street",,WALSALL,WS11TP,England,01922652673,,,,,01/12/2019,31/05/2020,11/09/2019,NO,,Yes,No,No,Works,798274,,25/10/2019,0,"[Dodd Group (Midlands) Ltd|Unit 1 Rabone Lane
Smethwick
Birmingham
B66 2NN|NONE||No|No]",,01/12/2019,31/05/2020,"OpenNonOJEU ",
IA1254,Contract,"Staffordshire County Council",Awarded,2019-07-19T08:45:14Z,"Electrical Inspection, Testing, Upgrade and Re-wiring Works","This contract aims to deliver the following elements of work for Cannock Chase District Councils Housing Stock: -

Approximately 50 full electrical re-wires per annum (primarily but not exclusively in void dwellings);

Approximately 500 electrical upgrades per annum (focusing on electrical safety, replacement of key components and any defective fixtures and fittings);

The introduction of a programme of Electrical Installation Conditioning Reports (EICR's) with the aim that all properties will have an EICR in place by the end of the 5th year of the contract.

The overall scope of the Works and Services is as specified in Annex B Section A Introduction, this Section B Preliminaries and Annex C: Employer's Requirements and Technical Performance Specification

The housing stock comprises a mixture of traditional and system build properties such as Reema, Maxim, Cornish, No-Fines and Wates. Therefore the Contractor should make allowance for this when in the tender document and Schedule of Rates.

All the dwellings are located within the district of Cannock Chase District Council. From time to time individual property lists will be issued as required in order to facilitate the delivery of the contract works.",,,"West Midlands","45310000 ","Laura Kendall",commercial.team@staffordshire.gov.uk,"Tipping Street",,STAFFORD,ST162DH,England,01785854657,,"SCC E-Tendering Portal User Guide  22.01.19.pdf ","https://supplierlive.proactisp2p.com/Account/Login# ","Please use the link to the eTendering Portal to obtain the relevant tender documents",01/07/2019,31/03/2024,17/05/2019,YES,IA1254,Yes,No,No,Works,2500000,3000000,19/07/2019,2420000,"[DODD GROUP (MIDLANDS) LIMITED|Stafford Park 13
TF3 3AZ
GB|COMPANIES_HOUSE|01179878|No|No]",,01/08/2019,31/03/2024,"OpenNonOJEU ",
"NRW/HSG/9889/B - AWARD",Contract,"Norwich City Council e-Tendering",Awarded,2019-07-02T14:49:03Z,"9889 - For the replacement of existing radiators and hot water storage units at Don Pratt sheltered scheme, Norwich - AWARD","The works involve the replacement of the existing low surface temperature radiators and hot water storage units at a sheltered housing complex in Norwich.
      
      The level of work is intended to replace the existing radiators, controls, hot water storage units, all pipework and pipework insulation within the dwelling and roof-space.
      
      As the scheme is for sheltered housing residents, the radiators will need to be low surface temperature units.",,"NR2 1NH",,"44600000 ","Richard Buckenham",richardbuckenham@norwich.gov.uk,"City Hall","St Peters Street",Norwich,"NR2 1NH",England,"01603 212781",http://www.norwich.gov.uk/YourCouncil/Finance/Pages/Procurement.aspx,,,,15/07/2019,30/08/2019,05/07/2019,NO,,No,No,No,Works,120000,140000,25/06/2019,125718.07,"[Dodd Group (Midlands) Limited|Unit 1 Rabone Park, Rabone Lane, Smethwick, United Kingdom, B66 2NN|NONE||No|No]","Kerry Howard",15/07/2019,30/08/2019,"OpenNonOJEU ",
