"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
"CQC ICT 800 CCN",Contract,"Care Quality Commission",Awarded,2019-06-11T16:12:25Z,"Microsoft Power BI","Contract variation to add Microsoft Power BI to the existing arrangement with Trustmarque",,,"Any region","72000000 ",,commercialcontracts@cqc.org.uk,"151 Buckingham Palace Road",Victoria,London,"SW1W 9SZ",England,,,"20190611 CQC ICTC 800 Microsoft Power BI CCN 002 REDACTEDpdf.pdf ",,,31/05/2019,31/03/2020,30/04/2019,YES,"CQC ICTC 800",No,No,No,Services,166582.88,,06/05/2019,199899.46,"[Trustmarque Solutions Ltd|The National Agri-Food Innovation campus
Sand Hutton
York
Yo41 1LZ|NONE||No|No]",,31/05/2019,31/03/2020,"Other Contract variation",
con_13637a,Contract,"MINISTRY OF JUSTICE",Awarded,2017-01-12T15:50:58Z,"Common Platform Software Solution","Common Platfrom programme Software solution",,,London,"72000000 ","Daren Smith",David.baxter@justice.gsi.gov.uk,"102 Petty France",,London,"SW1H 9AJ",England,,,,,,02/03/2015,01/03/2018,01/03/2015,NO,,No,No,No,Services,1104675,,01/03/2015,1104675,"[Trustmarque Solutions Ltd|Trustmarque Solutions Limited,
4th Floor,
86 Fetter Lane,
London, EC4A 1EN|||No|No]",,02/03/2015,01/03/2018,"Other ",
BIP370046906,Contract,"Shropshire Council",Awarded,2019-02-20T16:08:31Z,"GB-Shrewsbury: RMCI 029 - Microsoft Enterprise Agreement","This was a further competition under CCS framework RM3733
      
      Shropshire Council had explored the current Microsoft agreements available and decided that an Enterprise Cloud Subscription service (ECS) was the best fit solution, with supporting CSE agreements for their specific products.  The term of the agreement was to be in line with normal Microsoft /cabinet office negotiated subscription agreements and be a three year term, with additional options for years 4 and 5 for the Dynamics specific CSE.
      
      Shropshire Council has appointed a provider of a Microsoft Enterprise Agreement for a period of 3 years from 01/03/2019 to 28/02/2022 with an option to extend for a further 2 years for the Dynamic specific CSE.",,,"West Midlands","48517000 ",Procurement,procurement@shropshire.gov.uk,Shirehall,"Abbey Foregate",Shrewsbury,"SY2 6ND",UK,441743252051,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=370046906 ",,01/03/2019,29/02/2024,01/02/2019,NO,,No,Yes,No,Services,2800000,,01/02/2019,2800000,"[Trustmarque Solutions Ltd|National Agri-food Innovation Campus
        Sand Hutton
        York
        YO41 1LZ|NONE||No|No]","Lewis Fox",01/03/2019,29/02/2024,"NotSpecified ",
CF-0002100D1r000001nvObEAI1,Contract,"ATAMIS LTD",Awarded,2019-03-19T14:09:32Z,"SNOW Asset Management","Software Recognition Service 
Inventory Management 
Manager Maintenance
Virtualization Management",,,Wales,"48517000 ","Jonathan Chapman",jonathan.chapman@ipo.gov.uk,"Cardiff Road",,Newport,"NP10 8QQ",UK,,,,,,22/02/2019,21/02/2020,14/12/2018,NO,,Yes,No,No,NotApplicable,0,,19/03/2019,16340,"[Trustmarque Solutions Ltd|Trustmarque House ,Alpha Court ,Monks Cross Drive, Huntington ,York YO32 9WN|NONE||No|No]",,22/02/2019,21/02/2020,"CallOffFromFrameworkAgreement ",
CF-0011200D1r000001nvObEAI1,Contract,"Intellectual Property Office",Awarded,2020-05-04T17:47:11Z,"SNOW Asset Management","3100 Endpoints;	
Software Recognition Service
Inventory Management
Manager Maintenance
Virtualization Management",,"NP10 8QQ",Wales,"48517000 ","Jonathan Chapman",jonathan.chapman@ipo.gov.uk,"Concept House",,Newport,"NP10 8QQ","United Kingdom",,,,,,28/01/2020,27/01/2021,28/01/2020,NO,,No,No,No,NotApplicable,13801,13801,04/03/2020,13801.21,"[Trustmarque Solutions Ltd|Trustmarque House ,Alpha Court ,Monks Cross Drive, Huntington ,York YO32 9WN|NONE||No|No]",,28/01/2020,27/01/2021,"CallOffFromFrameworkAgreement ",
"CQC ICTC 800 CCN006",Contract,"Care Quality Commission",Awarded,2020-04-02T15:11:21Z,"Microsoft Desktop Licences Year 2","Contract extension for Year 2 Microsoft desktop licences",,,"Any region","48218000 ",,commercialcontracts@cqc.org.uk,"151 Buckingham Palace Road",Victoria,London,"SW1W 9SZ",England,,,"20200305 CQC ICTC 800 Microsoft Desktop License YR 2 CCN06 REDACTED.pdf ",,,01/04/2020,31/03/2021,02/03/2020,YES,"CQC ICTC 800",No,No,No,Services,1376149.22,,12/03/2020,1651379,"[Trustmarque Solutions Ltd|30 Berners Street
London
W1T 3LR|NONE_OTHER||No|No]",,01/04/2020,31/03/2021,"Other Contract variation",
BRISTOLCC001-DN462979-18179523,Contract,"Bristol City Council",Awarded,2020-03-25T11:58:58Z,"Proofpoint Subscription Licences & Support","Provision of Proofpoint Subscription and Support for Bristol City Council",,"bs1 5tr","Any region","48761000 ","Debbie Knight",debbie.knight@bristol.gov.uk,"Romney House",,Bristol,"BS7 9TB","United Kingdom","+44 1179037392",https://www.bristol.gov.uk/,,,,22/04/2020,21/04/2021,13/03/2020,NO,,No,No,No,Products,82141,,25/03/2020,82121.45,"[Trustmarque Solutions Ltd|Sand Hutton, York YO41 1LZ|NONE||No|No]",,22/04/2020,21/04/2021,"Other ",
tender_164005/814970,Contract,"MHRA Buyer Organisation",Awarded,2019-11-25T15:44:49Z,"Sophos Renewal 2019","Sophos Renewal 2019",,"E14 4PU",London,"72222300 ",,purchasing@nibsc.org,"10 South Colonnade",,London,"E14 4PU",England,,,,,,01/12/2019,30/11/2020,13/11/2019,NO,,No,No,No,Products,13000,,20/11/2019,13000,"[TRUSTMARQUE SOLUTIONS Ltd|Trustmarque House, Truiune Court, Monks Cross Drive Monks Cross Drive York YO32 9GZ|NONE||No|No]",,01/12/2019,30/11/2020,"CallOffFromFrameworkAgreement ",
tender_164005/813764,Contract,"MHRA Buyer Organisation",Awarded,2019-11-20T08:08:41Z,"RSA Authentication Manager Maintenance 2019","RSA Authentication Manager Maintenance 2019",,"E14 4PU",London,"72222300 ",,purchasing@nibsc.org,"10 South Colonnade",,London,"E14 4PU",England,,,,,,30/11/2019,29/11/2021,13/11/2019,NO,,No,No,No,Products,25000,,20/11/2019,25000,"[TRUSTMARQUE SOLUTIONS Ltd|Trustmarque House, Truiune Court, Monks Cross Drive Monks Cross Drive York YO32 9GZ|NONE||No|No]",,30/11/2019,29/11/2021,"CallOffFromFrameworkAgreement ",
CF-0007100D1r000001nvObEAI1,Contract,"Intellectual Property Office",Awarded,2019-10-16T08:02:20Z,"Information Management and Governance Engagement","Sharepoint Consultancy and Support",,,Wales,"72000000 ","Jonathan Chapman",jonathan.chapman@ipo.gov.uk,"Cardiff Road",,Newport,"NP10 8QQ",GB,,,,,,01/11/2019,30/11/2020,15/10/2019,NO,,No,No,No,NotApplicable,18240,18240,15/10/2019,18240,"[Trustmarque Solutions Ltd|Trustmarque House ,Alpha Court ,Monks Cross Drive, Huntington ,York YO32 9WN|NONE||No|No]",,01/11/2019,30/11/2020,"CompetitiveQuotationNonOJEU ",
