"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
BIP295641823,Contract,"London Borough of Richmond upon Thames",Awarded,2018-02-25T14:42:10Z,"Contract for the provision of Care Support in Residential Accommodation, Supported Living and Floating Support for Adults with a Learing Disability","The London Borough of Richmond Upon Thames is inviting suitably qualified organisations to tender for the provision of care and support in supported living, floating support and residential care accommodation for Adults with Learning Disabilities in the borough.",,,London,"85000000 ",,louisa.balfe@richmond.gov.uk,"Civic Centre","44 York Street",Twickenham,"TW1 3BZ",UK,,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=295641823 ",,01/03/2018,28/02/2023,04/01/2018,NO,,Yes,Yes,No,Services,33615379,,04/01/2018,33615379,"[United Response|Rowan House
        Field Lane
        Teddington
        TW11 9BP|NONE||No|No][Metropolitan Housing Trust|The Grange
        100 High Street
        Southgate
        London
        N14 6PW|NONE||No|No][Walsingham Support|Suite 500  Building 4
        North London Business Park
        Oakleigh Road South
        London
        N11 1GN|NONE||No|No][United Response|Rowan House
        Field Lane
        Teddington
        TW11 9BP|NONE||No|No][United Response|Rowan House
        Field Lane
        Teddington
        N11 1GN|NONE||No|No][Metropolitan Housing Trust|The Grange
        100 High Street
        Southgate
        London
        N14 6PW|NONE||No|No][Walsingham Support|Suite 500  Building 4
        North London Business Park
        Oakleigh Road South
        London
        N11 1GN|NONE||No|No]",,01/03/2018,28/02/2023,"Open ",
MRTN001-DN491337-98241848,Contract,"London Borough of Merton",Awarded,2020-08-06T11:35:59Z,"Spot Purchase agreement for residential and nursing care for older people","Residential and nursing care for older people",,,London,"85000000 ","David Slark",david.slark@merton.gov.uk,"Civic Centre","London Rd",Morden,"SM4 5DX","United Kingdom",02092744901,http://www.merton.gov.uk/,,,,01/08/2020,30/07/2021,15/07/2020,NO,,No,No,No,Services,1200000,1200000,17/07/2020,1200000,"[United Response|n/a|NONE||No|No]",n/a,01/08/2020,30/07/2021,"Open ",,12:00
BFDMDC001-DN424543-54864617,Contract,"Bradford Metropolitan District Council",Awarded,2019-08-27T11:55:33Z,"MCITT Framework Agreement for Integrated Personalised Support and Care - Lot 8 -  Call Off for the provision of services to an Individual with Learning Disabilities in Bradford","Framework call off for the provision of home and community based support to an individual with Learning Disabilities in Bradford",,,"Yorkshire and the Humber","85000000 ","Leonora Heyes",leonora.heyes@bradford.gov.uk,"Britannia House","Hall Ings",Bradford,"BD1 1HX",England,"+44 1274437088",http://www.bradford.gov.uk/bmdc,,,,06/11/2019,31/03/2020,14/08/2019,NO,,Yes,Yes,No,Services,25000,,27/08/2019,25000,"[United Response|Julia Casserly 
United Response
Hope Park
4 Coop Place,
Rooley Lane
Bradford
BD5 8JX|NONE||No|Yes]",,02/09/2019,31/08/2020,"Other ",
22459,Contract,"North Tyneside Council",Awarded,2018-08-24T13:19:51Z,"Award NTW Service extra pension payments","AWARD ONLY OF:-  
Tupe staff additional Pension Costs incurred within the independent supported living service. This relates specifically to care and support where staff were TUPE transferred to the Authority.",,,"North East","66500000 ","Christine Bordoli",christine.bordoli@northtyneside.gov.uk,Quadrant,,NEWCASTLE-UPON-TYNE,NE270BY,England,01916435662,,,,,01/04/2018,31/03/2019,23/03/2018,NO,,No,No,No,Services,135000,,23/03/2018,135000,"[UNITED RESPONSE|Highland House
LONDON
SW19 1NE
GB|COMPANIES_HOUSE|01133776|No|No]","Sarah Frost",01/04/2018,31/03/2019,"Other Single Tender",
DN302757,Contract,"CITY OF YORK COUNCIL",Awarded,2018-04-17T15:28:11Z,"Delivery of a Base at Burnholme Health and Wellbeing Campus","This Service is for the provision of support and structured activities for adults with a diagnosis of a learningdisability aged 18 years plus who are eligible for services from Adult Social Care, City of York Council. TheService shall be delivered by the Provider at Burnholme Health and Wellbeing Campus in the Centre atBurnholme building (The Centre). The Service will be described as the ""Base"".",,,"Yorkshire and the Humber","85000000 ","Chloe Wilcox",chloe.wilcox@york.gov.uk,"West Offices, Station Rise",,YORK,"YO1 6GA",England,01904551307,,,,,04/06/2018,03/06/2021,04/12/2017,NO,,No,No,No,Services,1000000,,22/01/2018,1275491,"[UNITED RESPONSE|Highland House
LONDON
SW19 1NE
GB|COMPANIES_HOUSE|01133776|No|No]",,04/06/2018,03/06/2021,"OpenOJEU ",
"Ref CIN0093 and 20367",Contract,"North Tyneside Council",Awarded,2018-01-02T12:30:58Z,"Award of additional TUPE'd current independent Pension Costs for supported living","AWARD ONLY
Current independent supported living service contract already in place. and this relates specifically to care and support at seven ISL's where staff were TUPE transferred across from the NHS in 2011 and covers the additional pension costs over and above current agreed hourly rate.",,,"North East","85100000 ",,Christine.Bordoli@northtyneside.gov.uk,Quadrant,"Cobalt Business Park, Silverlink North","North Tyneside","NE27 0BY",England,,,,,,01/04/2017,31/03/2018,30/03/2017,NO,,No,No,No,Services,135000,,08/05/2017,78254,"[UNITED RESPONSE|Highland House
LONDON
SW19 1NE
GB|COMPANIES_HOUSE|01133776|No|No]",,05/07/2017,31/03/2018,"Other Single Tender",
"
            MT172810",Contract,"Halton Borough Council",Awarded,2016-03-24T17:44:38Z,"Tender for the Provision of Vulnerable Adults Supported Accommodation","Halton Borough Council is responsible for commissioning services to support vulnerable adults to live independently within the Halton community. The aim is to improve health and social care outcomes and improve life opportunities for individuals with Learning Disabilities, Autism, Physical Disabilities, Acquired Brain Injury and/or a severe or enduring Mental Health condition (vulnerable adults).
Halton Borough Council would like to invite tenders for the provision of supported accommodation services throughout the Borough. Support will be  delivered in either single accommodation or shared accommodation for individuals who hold a tenancy agreement and receive shared support and bespoke support packages to meet their needs within their home.
Organisations should be suitably qualified and experienced in the provision of supporting vulnerable adults to live independently or with support in their own home. Organisations must  be able to demonstrate they are capable of meeting the service specification and able to meet and exceed the quality standards set by the Council.
It is proposed that the Contract will commence on 6th June 2016, and will run for a period of three (3) years with the possibility of an extension for a further period of 12 months.
TUPE will apply to this service",,,"North West","85000000 ","Lee Hardy",lee.hardy@halton.gov.uk,"Kingsway House c/o Municipal Building",Kingsway,Widnes,"WA8 7QF","
              England
            ","+44 3033334300",http://www.3.halton.gov.uk,,"http://www.mytenders.org/search/show/search_view.aspx?ID=MAR122652 ",,06/06/2016,30/06/2020,06/11/2015,NO,,Yes,Yes,No,Services,20000000,,01/03/2016,2788200,"[PossAbilities|Cherwell Wellbeing Hub ,Cherwell Avenue , Heywood |||No|No][PossAbilities|Cherwell Wellbeing Hub ,Cherwell Avenue , Heywood |||No|No][Community Integrated Care|2 Old Market Court ,Miners Way, Widnes|||No|No][United Response|4th & 5th Floors Highland House,165 Broadway, Wimbledon|||No|No][United Response|4th & 5th Floors Highland House,165 Broadway, Wimbledon|||No|No][United Response|4th & 5th Floors Highland House,165 Broadway, Wimbledon|||No|No][PossAbilities|Cherwell Wellbeing Hub ,Cherwell Avenue , Heywood |||No|No]",,06/06/2016,30/06/2020,"Open ",
DAR001-DN251408-82798556,Contract,"Darlington Borough Council",Awarded,2017-09-08T16:31:05Z,"P2016/932/PE - Contract for the Provision of Home Care and Support across the Borough of Darlington","P2016/932/PE - Contract for the Provision of Home Care and Support across the Borough of Darlington",,,"North East","80000000 85000000 ","Stephanie Cox",stephanie.cox@darlington.gov.uk,"Town Hall",Feethams,Darlington,"DL1 5QT","United Kingdom","+44 1325405498",http://www.darlington.gov.uk,,"https://procontract.due-north.com/Advert?advertId=795b7f32-9b10-e711-80dd-005056b64545 ",,02/10/2017,01/10/2022,28/04/2017,NO,,Yes,Yes,No,Services,42500000,42500000,01/07/2017,42500000,"[Positive Life Choices Ltd|NE6 5XB|||No|No][Careline Homecare Limited|HA9 0NP|||No|No][ascot care|NE33 3DY|||Yes|No][Careline Homecare Limited|HA9 0NP|||No|No][Creative Support|M1 2HF|||No|Yes][DCS&D Ltd T/A Heritage Healthcare|DL1 5RF|||Yes|No][Firstpoint Homecare DArlington|DL3 8NA|||Yes|No][MOORLANDS CARE|DL3 7AP|||Yes|Yes][ONE CALL CARE SOLUTIONS LTD|DL1 5SF|||Yes|No][Positive Life Choices Ltd|NE6 5XB|||No|No][Thera Trust|NG31 7XT|||No|No][Dimensions|RG7 4SA|||No|No][Creative Support|M1 2HF|||No|Yes][DCS&D Ltd T/A Heritage Healthcare|DL1 5RF|||Yes|No][Lifeways Community Care|SE1 0AS|||No|No][Northern Life Care Limited (trading as ubu)|HG1 5BJ|||No|No][ONE CALL CARE SOLUTIONS LTD|DL1 5SF|||Yes|No][Positive Life Choices Ltd|NE6 5XB|||No|No][Potens|Ch41 4DB|||No|No][Royal Mencap Society|EC1Y 0RT|||No|No][Sanctuary Home Care t/a Sanctuary Supported Living|WR1 3ZQ|||No|No][Thera Trust|NG31 7XT|||No|No][United Response|SW19 1NE|||No|No][Dimensions|RG7 4SA|||No|No][ascot care|NE33 3DY|||Yes|No][Creative Support|M1 2HF|||No|Yes][Firstpoint Homecare DArlington|DL3 8NA|||Yes|No][Lifeways Community Care|SE1 0AS|||No|No][Northern Life Care Limited (trading as ubu)|HG1 5BJ|||No|No][ONE CALL CARE SOLUTIONS LTD|DL1 5SF|||Yes|No][Positive Life Choices Ltd|NE6 5XB|||No|No][Potens|Ch41 4DB|||No|No][Sanctuary Home Care t/a Sanctuary Supported Living|WR1 3ZQ|||No|No][United Response|SW19 1NE|||No|No][Creative Support|M1 2HF|||No|Yes][Lifeways Community Care|SE1 0AS|||No|No][Northern Life Care Limited (trading as ubu)|HG1 5BJ|||No|No][ONE CALL CARE SOLUTIONS LTD|DL1 5SF|||Yes|No][Positive Life Choices Ltd|NE6 5XB|||No|No][Potens|Ch41 4DB|||No|No][Royal Mencap Society|EC1Y 0RT|||No|No][Thera Trust|NG31 7XT|||No|No][United Response|SW19 1NE|||No|No][Dimensions|RG7 4SA|||No|No][Positive Life Choices Ltd|NE6 5XB|||No|No]","Mr P Phillips",02/10/2017,01/10/2022,"Open ",
DVNCC001-DN245290-10999463,Contract,"Devon County Council",Awarded,2018-10-04T10:12:04Z,"CP1329-16(2) Supporting Independence","Devon County Council is the Contracting Authority for CP1329-16(2) Supporting Independence 
The Authority intends to exercise its discretion to enter into Extension Period 1 of the above-mentioned contract and therefore will open an Entry Point to allow for:
•	New entrants onto the Supporting Independence Framework;
•	Tenderers who have previously submitted a Tender unsuccessfully, further 
             opportunity to tender again; 
•	Providers who are already on the Supporting Independence Framework will have an opportunity to re-submit prices should they wish (including providing prices for additional zones, increasing or decreasing existing prices) that have previously been submitted by submitting section E3 - Pricing Schedule for Lots 1 and/or 2 
This is procured under Part 2, Chapter 3, Section 7 of the Public Contracts Regulations 2015 (PCR 2015) - Social and Other Specific Services (also known as 'the light touch regime') This procurement does not follow, in particular, any of the defined procedures of the PCR 2015 (even if there are similarities) but does seek to adhere to the best practice procurement principles of Openness, Transparency, Fairness and Equity. 
CP1329-16(2) Supporting Independence contract consists of two lots. 
Each lot will operate over the administrative boundary area of Devon County Council and each lot will be split into 8 further sub-lots or zones, herby known as Zones. 
Each Lot will have a duration of 12 months

Lot 1 - Group Based Care and Support. 
Lot 2 - Individualised Care and Support.

Zones represent geographical areas, 
Zone 1 - Bideford/Northam, Great Torrington and Holsworthy
Zone 2 - Ilfracombe, Lynton/Lynmouth, Barnstaple, South Molton
Zone 3 - Tiverton, Crediton, Cullompton
Zone 4 - Exeter
Zone 5 - Honiton, Sidmouth, Exmouth, Seaton
Zone 6 - Newton Abbot, Totnes, Dartmouth
Zone 7 - Tavistock, Ivybridge
Zone 8 - Okehampton, Moretonhampstead 
Tenderers may submit a Tender Response for any Zone(s) within Lot 1, Lot 2 or Lots 1 and 2. 

Tenderer Event
There will be a Tenderer event held in Exeter, Devon County Council, County Hall on 28th March 2018 10am -12pm in relation to this Tender.  The event will be focussing on the Tender Process and will explain the ITT and the other documents as well as useful information to enable Tenderers to be 'tender ready'. There will be an overview of the service requirement from commissioners of the service and there will be an opportunity to ask questions at the end of the event.

Whilst every endeavour will be made to answer questions at this event, it may be necessary to respond at a later date.
The presentations and questions and answers given will be made available via ProContract.

Spaces for this event are limited and restricted to a maximum of two persons per organisation.  To ensure that this event is of the most benefit, tendering organisations are encouraged to ensure that persons attending are the most appropriate",,,"South West","85000000 ","Abigail Muzvimwe",abigail.muzvimwe@devon.gov.uk,"County Hall, The Annexe","Topsham Road",Exeter,"EX2 4QD",England,"+44 1392383000",http://www.devon.gov.uk,,,,01/10/2018,30/09/2021,02/05/2018,NO,,Yes,Yes,No,Services,16657688,16657688,05/09/2018,16657688,"[Intagr8 well being centre|EX39 2BU|NONE||No|Yes][United Response|SW19 1NE|NONE||No|No][SAY(Same As You) Support Services Ltd|EX16 6QB|NONE||Yes|No][Able 2 Achieve|EX11 1DA|NONE||Yes|No][Dawlish Gardens Trust|EX7 0NX|NONE||No|No][Hf Trust Limited|BS16|NONE||No|No][Summerhayes Care Home Ltd|EX17 4LN|NONE||Yes|No][Connections Group|EX2 4HL|NONE||No|No][Culmside Support LLP|EX15 3DG|NONE||Yes|Yes][clyst caring friends|EX1 3SY|NONE||Yes|No][The Blackdown Healthy Living & Activity Centre|EX15 3SH|NONE||No|No][Danu Blue Natural Healing cic,|EX5 2RR|NONE||Yes|No][City of Exeter YMCA Housing Association|EX4 4DA|NONE||No|No][Synergy Support|EX6 8AY|NONE||Yes|No][honiton 55+ centre|EX14 7RH|NONE||Yes|No][Linden and Willow Day Centres|EX11 1DN|NONE||No|No][Salutem LD BidCo IV Limited, trading as Ambito Care and Educatio|SL4 1EG|NONE||No|No][New Key|TQ9 5AL|NONE||Yes|No][completequality care Ltd|ex39 1lz|NONE||Yes|No][Eclipse Care (Southwest)ltd|EX39 2ND|NONE||Yes|No][Purple Balm Nursing and Care Agency|EX4 8NS|NONE||Yes|Yes][Friendly Faces (UK) Ltd|TQ13 8EG|NONE||Yes|No][Coles Supported Living|EX4 8PN|NONE||Yes|Yes][BSL Enabling Service|EX8 4HA|NONE||Yes|Yes][Black Swan Care|EX7 9TE|NONE||Yes|Yes][Stonewater Ltd|LE8 6EP|NONE||No|No][Keychange Charity|SE1 7JB|NONE||No|No][Serendipity FAC|EX8 1DW|NONE||No|No][Appledore Care Services|EX39 1LZ|NONE||Yes|No]","Mrs Rachel Raper",01/10/2018,30/09/2021,"Open ",
ASC003/2019,Contract,"Middlesbrough Council",Awarded,2020-06-23T15:10:56Z,"Focussed Care & Support","Focussed Care & Support",,,"North East","85000000 ",,kim_brodie@middlesbrough.gov.uk,"Town Hall",,MIDDLESBROUGH,TS12QQ,England,,,,,,01/06/2020,31/05/2028,16/03/2020,NO,,No,No,No,Services,75000000,,27/04/2020,75000000,"[Avalon|6 Grove Park Court
HG1 4DP
GB|NONE_OTHER||No|No][1st Enable|Information Technology Centre
 Inward Way
 Ellesmere Port
 Cheshire CH65 3EN|NONE_OTHER||No|No][Affinity Trust|1 St. Andrew's Court 
Wellington Street, 
Thame, 
Oxfordshire, 
OX9 3WT|NONE_OTHER||No|No][Creative Support|Wellington House, 
131 Wellington Road South, 
Stockport, 
SK1 3TS|NONE_OTHER||No|No][Community Integrated Care|Central Support Services
Old Market Court
Miners Way
Widnes
Cheshire
WA8 7SP|NONE_OTHER||No|No][Dale Care|The T A D Centre, 
Ormesby Rd, 
Middlesbrough 
TS3 7SF|NONE_OTHER||No|No][Dimensions|1H Enterprise House, 
Valley St N, 
Darlington 
DL1 1GY|NONE_OTHER||No|No][HOME GROUP LIMITED|Gosforth
NEWCASTLE-UPON-TYNE
Tyne & Wear
NE12 8ET
GB|COMPANIES_HOUSE|IP22981R|No|No][NORTHERN LIFE CARE LIMITED|7-9 Haywra Street
HG1 5BJ
GB|COMPANIES_HOUSE|01867042|No|No][Royal Mencap Society|123 Golden Lane
LONDON
EC1Y 0RT
GB|COMPANIES_HOUSE|00550457|No|No][SANCTUARY CARE (COMBINED) LIMITED|B45 9PZ
GB|COMPANIES_HOUSE|04033655|No|No][St Anne's Community Services|6 St Mark's Avenue
 Leeds
 LS2 9BN|NONE_OTHER||No|No][Voyage|Wall Island, 
Birmingham Road, 
Lichfield 
WS14 0QP|NONE_OTHER||No|No][Walsingham|Suite 500, 1st Floor, Building 4, North London Business Park 
Oakleigh Road South, New Southgate, 
London N11 1GN|NONE_OTHER||No|No][United Response|Highland House, 165 Broadway, Wimbledon SW19 1NE|NONE_OTHER||No|No][Helping Hands|18 Russell Street
SA15 1BH
GB|NONE_OTHER||No|No]","Lisette Meadows",01/06/2020,31/05/2028,"OpenOJEU ",
