"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
MT220011,Contract,"University of Manchester",Awarded,2020-09-17T17:45:05Z,"HH Electricity and Mains Gas for University of Manchester","University of Manchester is seeking to appoint suppliers of mains gas and HH electricity for a 33 month contact commencing July 2020 and ending March 2023. This tender is being run by Inspired Energy plc on behalf of the University and is open to holders of a valid Ofgem supply licence for the relevant utility only.",,,"North West","09000000 ",,contracts@inspiredenergy.co.uk,"Oxford Rd",,Manchester,"M13 9PL",England,,https://www.manchester.ac.uk/,,"https://www.mytenders.co.uk/search/show/search_view.aspx?ID=SEP160430 ",,01/07/2020,31/03/2023,06/04/2020,NO,,No,No,No,Products,13000000,,12/06/2020,13000000,"[Gazprom Energy|5th Floor,, 8 First Street, M15 4RP|COMPANIES_HOUSE||No|No]",,01/07/2020,31/03/2023,"Open ",,16:00
2018/1461/F&V/LB/NG,Contract,"UNIVERSITY OF MANCHESTER",Awarded,2019-03-12T10:40:06Z,"Framework Mini-Competition: Provision of Fresh Fruit & Vegetables to the University of Manchester","The University has appointed a supplier or suppliers for the provision of fresh fruit and vegetables. 

The appointment was by means of a mini-competition through The University Caterers Organisation (TUCO) Framework Agreement for: The supply & distribution of fresh fruit and vegetables and related products (CAT11037-TU).",,,"North West","15300000 ","Central Procurement Office",procurement@manchester.ac.uk,"John Owens Building","Oxford Road",MANCHESTER,M139PL,England,,,,,,01/02/2019,31/01/2022,04/09/2018,NO,,No,No,No,Products,1500000,,15/01/2019,0,"[SET Produce Ltd|82 Reddish Road
Reddish
Stockport
SK5 7QU|COMPANIES_HOUSE|08110232|No|No][BIDFRESH LIMITED t/a Oliver Kay Produce|Unit 10-14 
Cedar Way Industrial Estate, 
Camley Street, 
London, 
N1C 4PD|COMPANIES_HOUSE|04227047|No|No]",,01/02/2019,31/01/2022,"CallOffFromFrameworkAgreement ",
2018/1451/M&P/LB/NG,Contract,"UNIVERSITY OF MANCHESTER",Awarded,2018-11-12T10:55:21Z,"Framework Mini-Competition: Provision of Fresh Meat & Poultry to the University of Manchester","The University was looking to appoint a supplier to provide fresh meat & poultry.  The products will be used across the whole University.",,,"North West","15100000 ","Central Procurement Office",procurement@manchester.ac.uk,"John Owens Building","Oxford Road",MANCHESTER,M139PL,England,"0161 275 2160",,,,,19/11/2018,18/11/2021,29/08/2018,NO,,Yes,Yes,No,Products,250000,,21/09/2018,0,"[Birtwistles Catering Butchers|1 Ferrous Way, Northbank Industrial Park, Irlam, Manchester, M44 5FS|COMPANIES_HOUSE|04685959|No|No]",,19/11/2018,18/11/2021,"CallOffFromFrameworkAgreement ",
2017/1366/INTO/RC/NG/AB,Contract,"UNIVERSITY OF MANCHESTER",Awarded,2019-07-25T11:38:42Z,"Managed Service Provision of Pre-Degree Programmes for International Students","The University of Manchester appointed a single provider to provide appropriate recruitment, teaching and facility services for an initial student intake during September 2019.",,,"North West","80000000 ","Central Procurement Office",procurement@manchester.ac.uk,"Oxford Road",,MANCHESTER,M139PL,England,,,,,,10/07/2019,09/07/2024,04/04/2018,NO,,Yes,No,No,Services,300000,,25/05/2018,300000,"[INTO Manchester Ltd|Bridgewater House
58/60 Whitworth Street
Manchester 
M1 6LT|NONE||Yes|No]",,10/07/2019,09/07/2024,"OpenOJEU ",
"2018/1471/Gown Hire/RK/NG",Contract,"UNIVERSITY OF MANCHESTER",Awarded,2019-05-15T15:22:31Z,"Ceremonial Gown Hire","The University of Manchester awarded a contract for the servicing of its academic dress requirements, appointing a single official robe maker.",,,"North West","18000000 ","Central Procurement Office",procurement@manchester.ac.uk,"Oxford Road",,MANCHESTER,M139PL,England,,,,,,01/04/2019,31/03/2024,06/12/2018,NO,,Yes,No,No,Services,1985000,,05/02/2019,1985000,"[Ede & Ravenscroft Ltd|93 Chancery Lane
London
WC2A 1DU|COMPANIES_HOUSE|424854|Yes|No]",,01/04/2019,31/03/2024,"OpenOJEU ",
"2018-1392-GEIC-OCE-HD-PC - AWARD",Contract,"The University Of Manchester",Awarded,2018-07-03T10:54:32Z,"Optical Characterisation Equipment  - AWARD","Background information on The University of Manchester
      The University of Manchester is Britain's largest single-site university, with a proud history of achievement and an ambitious agenda for the future.  The University provides world-class research facilities and undertakes research of international standing.  It offers students a wide choice of degree programmes and options, and excellent facilities and student support services.
      
      The University employs over 12,000 staff and offers over 400 different degree courses. It comprises of three faculties with 23 academic schools and hundreds of specialist research groups. The University's cultural attractions include The Manchester Museum, The Whitworth Art Gallery, Jodrell Bank Observatory and the Martin Harris Centre for Music and Drama. The University also operates a thriving conference and meeting operation including a hotel and conference centre. 
      
      Further details on the University can be found at: http://www.manchester.ac.uk/discover/facts-figures/Background information on Project
      The equipment is being purchased for the Graphene Engineering and Innovation Centre (GEIC) at the University of Manchester.  The GEIC is a £60 million investment which will establish a state of the art research and technology development facility for graphene and related 2D materials.  Projects in the GEIC will be industry-led and will focus on innovation and applications, with the aim of accelerating research through to products in the marketplace. The GEIC will house pilot production facilities and characterisation equipment. It will initially focus on a number of the University's world-class graphene application areas: energy, composites, formulations and coatings, electronics and membranes.
      
      Given the world leading graphene research at the University, it is expected that all the equipment in the GEIC will be cited in high profile academic publications as well as underpinning industrial collaboration projects, thus giving the equipment a high degree of exposure.
      The GEIC will be situated on the North Campus of The University of Manchester, comprise of 8400 m2 and has been designed by world-renowned architect Rafael Viñoly. It is set to be open in summer 2018. Equipment purchased before the GEIC building is opened will be temporally commissioned elsewhere in the University campus, typically in the National Graphene Institute, and then moved into the GEIC once it is completed.
      
      For further information on the GEIC please see: 
      http://www.graphene.manchester.ac.uk/collaborate/geic/
      
      Overview
      The University of Manchester (GEIC) seeks to purchase a collection of optical components to constitute a kit that will allow the optical characterisation of materials containing graphene and other 2D related materials. These components will be combined to produce spectral measurements predominantly in the visible region of the EM spectrum. The intention is to bring these measurements t...",,"M13 9PL","North West","38000000 38430000 38636100 38431000 38433000 ","Paul Carter",paul.carter-2@manchester.ac.uk,Manchester,Manchester,Manchester,"M13 9PL","United Kingdom","0161 275 2207",,,,,16/02/2018,30/06/2018,13/02/2018,NO,,Yes,No,No,Products,0,181302,16/02/2018,0,"[HORIBA Jobin Yvon Ltd|2 Dalston Gardens, Stanmore, Middlesex, United Kingdom, HA7 1BQ|NONE||No|No][LOT-QuantumDesign Ltd|1 Mole Business Park, Leatherhead, Surrey, United Kingdom, KT22 7BA|NONE||No|No]","Rochelle Kaye",16/02/2018,30/06/2018,"OpenNonOJEU ",
"2018-1398-GEIC-HSM-HD-PC - AWARD",Contract,"The University Of Manchester",Awarded,2018-05-11T15:45:41Z,"High Shear Mixer - AWARD","Background information on The University of Manchester
      The University of Manchester is Britain's largest single-site university, with a proud history of achievement and an ambitious agenda for the future.  The University provides world-class research facilities and undertakes research of international standing.  It offers students a wide choice of degree programmes and options, and excellent facilities and student support services.
      
      The University employs over 12,000 staff and offers over 400 different degree courses. It comprises of three faculties with 23 academic schools and hundreds of specialist research groups. The University's cultural attractions include The Manchester Museum, The Whitworth Art Gallery, Jodrell Bank Observatory and the Martin Harris Centre for Music and Drama. The University also operates a thriving conference and meeting operation including a hotel and conference centre. 
      
      Further details on the University can be found at: http://www.manchester.ac.uk/discover/facts-figures/
      
      Background information on Project
      This tender is being run on behalf of the Graphene Engineering and Innovation Centre (GEIC) at the University of Manchester. The GEIC is a £60 million investment which will establish a state of the art research and technology development facility for graphene and related 2D materials. Projects in the GEIC will be industry-led and will focus on innovation and applications, with the aim of accelerating research through to products in the marketplace. The GEIC will house pilot production facilities and characterisation equipment. It will initially focus on a number of the University's world-class graphene application areas: energy, composites, formulations and coatings, electronics and membranes.
      
      Given the world leading graphene research at the University, it is expected that all equipment in the GEIC will be cited in high profile academic publications as well as underpinning industrial collaboration projects, thus giving the equipment a high degree of exposure. The GEIC will be situated on the North Campus of The University of Manchester, comprise of ~8400 m2 and has been designed by world-renowned architect Rafael Viñoly. It is set to be open in summer 2018. Equipment purchased before the GEIC building is opened will be temporarily commissioned elsewhere in the University campus, typically in the National Graphene Institute, and then moved into the GEIC once it is completed.  
      
      For further information on the GEIC please see:
      http://www.graphene.manchester.ac.uk/collaborate/geic/
      
      Project Overview
      The University of Manchester (GEIC) is seeking to buy a laboratory / small pilot scale batch style high shear mixer. This machine will be used for the scale up of the production of formulations containing graphene and related 2D materials for a variety of application areas including composites, membranes and coatings. As a minimum we would like to process batches up to 5 lit...",,"M13 9PL","North West","38000000 42996400 42900000 42000000 42990000 ","Paul Carter",paul.carter-2@manchester.ac.uk,Manchester,Manchester,Manchester,"M13 9PL","United Kingdom","0161 275 2207",,,,,01/05/2018,30/06/2018,23/03/2018,NO,,Yes,No,No,Products,0,,01/05/2018,0,"[Silverson Machines|Waterside , Chesham , United Kingdom, HP5 1PQ|NONE||No|No]","Nicholas  Barton",01/05/2018,30/06/2018,"OpenOJEU ",
"2018-1422-GEIC-CE-HD-PC - AWARD",Contract,"The University Of Manchester",Awarded,2018-05-10T15:55:54Z,"Controlled Environment - AWARD","Background information on The University of Manchester
      The University of Manchester is Britain's largest single-site university, with a proud history of achievement and an ambitious agenda for the future.  The University provides world-class research facilities and undertakes research of international standing.  It offers students a wide choice of degree programmes and options, and excellent facilities and student support services.
      
      The University employs over 12,000 staff and offers over 400 different degree courses. It comprises of three faculties with 23 academic schools and hundreds of specialist research groups. The University's cultural attractions include The Manchester Museum, The Whitworth Art Gallery, Jodrell Bank Observatory and the Martin Harris Centre for Music and Drama. The University also operates a thriving conference and meeting operation including a hotel and conference centre. 
      
      Further details on the University can be found at: http://www.manchester.ac.uk/discover/facts-figures/Background information on Project
      The equipment is being purchased for the Graphene Engineering and Innovation Centre (""GEIC"") at the University of Manchester.  The GEIC is a £60 million investment which will establish a state of the art research and technology development facility for graphene and related 2D materials.  Projects in the GEIC will be industry-led and will focus on innovation and applications, with the aim of accelerating research through to products in the marketplace. The GEIC will house pilot production facilities and characterisation equipment. It will initially focus on a number of the University's world-class graphene application areas: energy, composites, formulations and coatings, electronics and membranes.
      
      Given the world leading graphene research at the University, it is expected that all the equipment in the GEIC will be cited in high profile academic publications as well as underpinning industrial collaboration projects, thus giving the equipment a high degree of exposure.
      The GEIC will be situated on the North Campus of The University of Manchester, comprise of ~8400 m2 and has been designed by world-renowned architect Rafael Viñoly. It is set to be open in summer 2018. Equipment purchased before the GEIC building is opened will be temporally commissioned elsewhere in the University campus, typically in the National Graphene Institute, and then moved into the GEIC once it is completed.
      
      For further information on the GEIC please see: 
      http://www.graphene.manchester.ac.uk/collaborate/geic/
      
      The GEIC equipment fund is part financed by the European Regional Development Fund (ERDF) funds having been awarded under the 2014-2020 Priority Axis 1: Promoting Research and Innovation.
       
      Overview
      The University of Manchester requires some controlled environment areas within the new Graphene Engineering Innovation Centre. This tender consists of two lots. Lot 1: a clean area of ISO c...",,"M13 9PL","Any region","45214631 33163000 38000000 33157300 45214610 ","Paul Carter",paul.carter-2@manchester.ac.uk,Manchester,Manchester,Manchester,"M13 9PL","United Kingdom","0161 275 2207",,,,,10/05/2018,31/08/2018,08/05/2018,NO,,Yes,No,No,Products,1,181302,10/05/2018,0,"[Connect 2 Cleanrooms|Riverside House, Forge Lane, Halton, Lancashire, United Kingdom, LA2 6RH|NONE||No|No][Dimension Storage & Interiors Ltd|The Gables, 20 Crewe Road, Sandbach, Cheshire, United Kingdom, CW11 4NE|NONE||No|No]","Fiona Kerr",10/05/2018,31/08/2018,"OpenNonOJEU ",
"2018-1388-GEIC-IMM-HD-PC - AWARD",Contract,"The University Of Manchester",Awarded,2018-05-10T14:03:34Z,"Injection moulder and moulds - AWARD","Background information on The University of Manchester
      The University of Manchester is Britain's largest single-site university, with a proud history of achievement and an ambitious agenda for the future.  The University provides world-class research facilities and undertakes research of international standing.  It offers students a wide choice of degree programmes and options, and excellent facilities and student support services.
      
      The University employs over 12,000 staff and offers over 400 different degree courses. It comprises of three faculties with 23 academic schools and hundreds of specialist research groups. The University's cultural attractions include The Manchester Museum, The Whitworth Art Gallery, Jodrell Bank Observatory and the Martin Harris Centre for Music and Drama. The University also operates a thriving conference and meeting operation including a hotel and conference centre. 
      
      Further details on the University can be found at: http://www.manchester.ac.uk/discover/facts-figures/
      
      Background information on Project
      This tender is being run on behalf of the Graphene Engineering and Innovation Centre (GEIC) at the University of Manchester. The GEIC is a £60 million investment which will establish a state of the art research and technology development facility for graphene and related 2D materials. Projects in the GEIC will be industry-led and will focus on innovation and applications, with the aim of accelerating research through to products in the marketplace. The GEIC will house pilot production facilities and characterisation equipment. It will initially focus on a number of the University's world-class graphene application areas: energy, composites, formulations and coatings, electronics and membranes.
      
      Given the world leading graphene research at the University, it is expected that all equipment in the GEIC will be cited in high profile academic publications as well as underpinning industrial collaboration projects, thus giving the equipment a high degree of exposure. The GEIC will be situated on the North Campus of The University of Manchester, comprise of ~8400 m2 and has been designed by world-renowned architect Rafael Viñoly. It is set to be open in summer 2018. Equipment purchased before the GEIC building is opened will be temporarily commissioned elsewhere in the University campus, typically in the National Graphene Institute, and then moved into the GEIC once it is completed.  
      
      For further information on the GEIC please see:
      http://www.graphene.manchester.ac.uk/collaborate/geic/
      
      Project Overview
      The University of Manchester (GEIC) seeks to acquire a new injection moulding machine (Lot 1) and moulds (lot 2) for the production of test specimens of predetermined shape for a number of polymer nanocomposites based on graphene and other 2D materials. The polymeric matrices will be thermoplastics or thermoplastic elastomers. The composites will be filled with graphene rela...",,"M13 9PL","North West","42994000 42990000 42900000 42000000 42994200 ","Paul Carter",paul.carter-2@manchester.ac.uk,Manchester,Manchester,Manchester,"M13 9PL","United Kingdom","0161 275 2207",,,,,23/03/2018,30/06/2018,05/03/2018,NO,,Yes,No,No,Products,0,,23/03/2018,0,"[Engelmann & Buckham Ltd|Weybourne House,, Alton, Hampshire, United Kingdom, GU34 1HH|NONE||No|No][FANUC UK Ltd|Sapphire Way, Ansty Park, Coventry, United Kingdom, CV7 9DR|NONE||No|No]","Mark Galliver",23/03/2018,30/06/2018,"OpenOJEU ",
"2018-1387-GEIC-A-HD-PC - AWARD",Contract,"The University Of Manchester",Awarded,2018-05-10T13:35:34Z,"Autoclaves - AWARD","Background information on The University of Manchester
      The University of Manchester is Britain's largest single-site university, with a proud history of achievement and an ambitious agenda for the future.  The University provides world-class research facilities and undertakes research of international standing.  It offers students a wide choice of degree programmes and options, and excellent facilities and student support services.
      
      The University employs over 12,000 staff and offers over 400 different degree courses. It comprises of three faculties with 23 academic schools and hundreds of specialist research groups. The University's cultural attractions include The Manchester Museum, The Whitworth Art Gallery, Jodrell Bank Observatory and the Martin Harris Centre for Music and Drama. The University also operates a thriving conference and meeting operation including a hotel and conference centre. 
      
      Further details on the University can be found at: http://www.manchester.ac.uk/discover/facts-figures/
      
      Background information on Project
      This tender is being run on behalf of the Graphene Engineering and Innovation Centre (GEIC) at the University of Manchester. The GEIC is a £60 million investment which will establish a state of the art research and technology development facility for graphene and related 2D materials. Projects in the GEIC will be industry-led and will focus on innovation and applications, with the aim of accelerating research through to products in the marketplace. The GEIC will house pilot production facilities and characterisation equipment. It will initially focus on a number of the University's world-class graphene application areas: energy, composites, formulations and coatings, electronics and membranes.
      
      Given the world leading graphene research at the University, it is expected that all equipment in the GEIC will be cited in high profile academic publications as well as underpinning industrial collaboration projects, thus giving the equipment a high degree of exposure. The GEIC will be situated on the North Campus of The University of Manchester, comprise of ~8400 m2 and has been designed by world-renowned architect Rafael Viñoly. It is set to be open in summer 2018. Equipment purchased before the GEIC building is opened will be temporarily commissioned elsewhere in the University campus, typically in the National Graphene Institute, and then moved into the GEIC once it is completed.  
      
      For further information on the GEIC please see:
      http://www.graphene.manchester.ac.uk/collaborate/geic/
      
      Project Overview
      The University of Manchester (GEIC) seeks to acquire an autoclave for the processing of thermoset and thermoplastic composites including graphene and related materials. The composites may also include conventional carbon and / or glass fibre reinforcement. The system will be used for both academic and industrial research & development and quality control.",,"M13 9PL","North West","33191110 ","Paul Carter",paul.carter-2@manchester.ac.uk,Manchester,Manchester,Manchester,"M13 9PL","United Kingdom","0161 275 2207",,,,,09/03/2018,30/06/2018,05/03/2018,NO,,Yes,No,No,Products,0,,09/03/2018,0,"[INDUSTRIAL OLMAR S.A - CDS AIRTEK|P.I.Somonte III - Nicolás Redondo Urbieta nº330 , Gijón, Asturias, Spain, 33393|NONE||No|No]","Daniel Hevia",09/03/2018,30/06/2018,"OpenOJEU ",
"2018-1386-GEIC-ICVD-HD-PC - AWARD",Contract,"The University Of Manchester",Awarded,2018-04-18T17:32:05Z,"Inorganic Chemical Vapour Deposition - AWARD","Background information on The University of Manchester
      The University of Manchester is Britain's largest single-site university, with a proud history of achievement and an ambitious agenda for the future.  The University provides world-class research facilities and undertakes research of international standing.  It offers students a wide choice of degree programmes and options, and excellent facilities and student support services.
      
      The University employs over 12,000 staff and offers over 400 different degree courses. It comprises of three faculties with 23 academic schools and hundreds of specialist research groups. The University's cultural attractions include The Manchester Museum, The Whitworth Art Gallery, Jodrell Bank Observatory and the Martin Harris Centre for Music and Drama. The University also operates a thriving conference and meeting operation including a hotel and conference centre. 
      
      Further details on the University can be found at: http://www.manchester.ac.uk/discover/facts-figures/
      
      Background information on Project
      This tender is being run on behalf of the Graphene Engineering and Innovation Centre (GEIC) at the University of Manchester. The GEIC is a £60 million investment which will establish a state of the art research and technology development facility for graphene and related 2D materials. Projects in the GEIC will be industry-led and will focus on innovation and applications, with the aim of accelerating research through to products in the marketplace. The GEIC will house pilot production facilities and characterisation equipment. It will initially focus on a number of the University's world-class graphene application areas: energy, composites, formulations and coatings, electronics and membranes.
      
      Given the world leading graphene research at the University, it is expected that all equipment in the GEIC will be cited in high profile academic publications as well as underpinning industrial collaboration projects, thus giving the equipment a high degree of exposure. The GEIC will be situated on the North Campus of The University of Manchester, comprise of ~8400 m2 and has been designed by world-renowned architect Rafael Viñoly. It is set to be open in summer 2018. Equipment purchased before the GEIC building is opened will be temporarily commissioned elsewhere in the University campus, typically in the National Graphene Institute, and then moved into the GEIC once it is completed.  
      
      For further information on the GEIC please see:
      http://www.graphene.manchester.ac.uk/collaborate/geic/
      
      Project Overview
      The University Of Manchester (GEIC) plans the purchase of a Chemical Vapour Deposition (CVD) / Plasma Enhanced Chemical Vapour Deposition (PECVD) system for the deposition of inorganic 2D and related materials. Initially these materials will include Nitrides, Hydrides, Sulphides and Selenides of Boron, Molybdenum, Tungsten, Niobium and Bismuth with the ability to add further...",,"M13 9PL","North West","38000000 24315000 42900000 42000000 42993000 ","Paul Carter",paul.carter-2@manchester.ac.uk,Manchester,Manchester,Manchester,"M13 9PL","United Kingdom","0161 275 2207",,,,,20/03/2018,30/06/2018,02/03/2018,NO,,Yes,No,No,Products,0,,23/03/2018,0,"[AIXTRON Limited|Buckingway Business Park, Anderson Road, Swavesey, Cambridge, United Kingdom, CB24 4FQ|NONE||No|No]","Christoph Lohe",20/03/2018,30/06/2018,"OpenOJEU ",
