"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
"15077 (Project 00004567)",Contract,"Warwickshire County Council",Awarded,2017-07-04T09:25:24Z,"WCC - A Learning Outside the Classroom, Educational Visits Advice and Reporting Service for all Warwickshire County Council Maintained Schools","Warwickshire County Council was seeking bids for a single provider to deliver an Educational Visit service providing advice, guidance and support on all aspects of educational trips, Offsite activities, visits, outdoor education and activities that take place away from the customer's premises, including a reporting service for schools to report planned activities for Quality Assurance against national policies.",,,"West Midlands","80000000 ",,procurement@wawickshire.gov.uk,"Strategic Procurement   Warwickshire County Council  PO Box 3 Market Square",,Warwickshire,"CV34 4RH",England,,,,,,01/09/2017,31/08/2020,06/06/2017,NO,,Yes,No,No,Services,126100,,04/07/2017,0,"[Essex County Council (trading as EES for Schools)|Seax House 
Victoria Road South 
Chelmsford 
Essex 
CM1 1QH|||No|No]",,01/09/2017,31/08/2020,"Open ",
"CONTRACT - 00013345",Contract,"WARWICKSHIRE COUNTY COUNCIL",Awarded,2016-05-11T13:30:16Z,"Consultancy Services for Warwickshire County Council Properties","Consultancy regarding Warwickshire County Council properties.",,,"West Midlands","71241000 ",,richardhart@warwickshire.gov.uk,"Heritage and Environment Community Services Communities Group Warwickshire County Council",,Warwick,"CV34 4RL",England,,,,,,02/05/2016,03/10/2016,24/03/2016,NO,,Yes,Yes,No,Services,40000,,03/05/2016,40000,"[Planning Solutions Consulting Limited|9 Leigh Road, Havant, Hampshire, PO9 2ES|||No|No]",,04/05/2016,03/10/2016,"Other ",
00004642,Contract,"Warwickshire County Council",Awarded,2018-07-18T15:52:27Z,"Warwickshire County Council Occupational Health Service and Employee Assistance Programme","Contracts were awarded for an Occupational Health Service & an Employee Assistance Programme, which were offered as 2 Lots
Lot 1: The requirement is for the provision of a comprehensive and highly integrated range of Occupational Health Services so that the Council is able to meet its common law and statutory duties of care for the health, safety and welfare of its employees in their working environment.
Lot 2: Provision of an Employee Assistance Programme",,,"West Midlands","85100000 ","Strategic Procurement Team",procurement@warwickshire.gov.uk,"Shire Hall","Market Place",Warwick,"CV34 4RL",England,,www.warwickshire.gov.uk/procurement,,"https://ted.europa.eu/udl?uri=TED:NOTICE:56719-2018:TEXT:EN:HTML&WT.mc_id=RSS-Feed&WT.rss_f=Other+Services&WT.rss_a=56719-2018&WT.rss_ev=a&ticket=ST-9652426-kwM0665OvPHheF14jzzrfv3Mzi9JIBzzpSXzqs7FR5fC8specXyI1ZKgmFprixakWGdznkRZu49YmO0ojm02yzZW-Jj71zxYb8yraqTzNfjc6ow-3Oyj9uknxiDzjgPo7B4xjZhmHXG5EX1rgFT1ynOabmF ",,01/07/2018,30/06/2021,15/03/2018,NO,,Yes,No,No,Services,828796,,23/05/2018,828796,"[DURADIAMOND HEALTHCARE LIMITED|Friarton Road
PERTH
Perthshire
PH2 8DY
GB|COMPANIES_HOUSE|SC229346|No|No][RIGHT CORECARE LIMITED|Suffolk House, 7 Angel Hill
BURY ST EDMUNDS
Suffolk
IP33 1UZ
GB|COMPANIES_HOUSE|02456305|Yes|No]",,01/07/2018,30/06/2021,"OpenOJEU ",
00013199,Contract,"WARWICKSHIRE COUNTY COUNCIL",Awarded,2016-04-05T15:01:00Z,"Smart Start (0-5 Strategy) Programme, Phase 1","GRANT FUNDING - Smart Start is a 3 year programme (2015 – 2018) designed to give children in Warwickshire the best start in life. Warwickshire County Council is working with partners from health, early years’ education, social care and the third sector to look at how best to improve outcomes for children aged 0-5 years and how best to support their parents or carers.",,,"West Midlands","80110000 ",,procurement@warwickshire.gov.uk,"Shire Hall","Market Place",Warwick,"CV34 4RL",England,,www.warwickshire.gov.uk,,,,01/04/2016,31/03/2017,29/01/2016,NO,,No,Yes,No,NotApplicable,49431,110000,22/03/2016,518217,"[Barnardo Services Ltd|Brooklands
Great Cornbow
Halesowen
West Midlands
B63 3AB|||No|No][Bedworth Heath Nursery & Children's Centre|Glebe Avenue
Bedworth
Warwickshire
CV12 0DP|||No|No][Warwickshire County Council|Shire Hall
Market Place
Warwick
CV34 4RL|||No|No][Malachi Specialist Family Support Services CIC|Billesley And Yardley Wood Community Centre
725 Yardley Wood Road
Birmingham
B13 0PT|||No|No][Soil Association Ltd|South Plaza
Marlborough Street
Bristol
BS1 3NX|||No|No][SWFT - South Warwickshire Foundation Trust|Warwick Hospital
Lakin Road
Warwick
CV34 5BW|||No|No]",,01/04/2016,31/03/2017,"Other ",
"WCC - 7335 - AWARD",Contract,"Coventry - Solihull - Warwickshire",Awarded,2019-07-30T10:25:36Z,"WCC - Provision of Security Service at Warwickshire County Council's Business Centres - AWARD","Warwickshire County Council is seeking one supplier across all sites. Please refer to the ITQ document for our detailed requirements.",,"CV34 4RL","West Midlands","79710000 ","Warwickshire County Council Strategic Procurement Team",procurement@warwickshire.gov.uk,Warwick,Warwick,Warwickshire,"CV34 4RL","United Kingdom","01926 410410",,,,,01/05/2019,30/04/2020,26/03/2019,NO,,No,No,No,Services,40000,80000,30/04/2019,80000,"[Adana Management Group Limited|Ash Tree House, Sopwith Way, Daventry, Northamptonshire, United Kingdom, NN11 8 PB|NONE||No|No]","Steve Adkins",01/05/2019,30/04/2020,"Other ",
00004607,Contract,"WARWICKSHIRE COUNTY COUNCIL",Awarded,2018-07-11T15:01:28Z,"WCC - Conception - 5 Public Health Services","Warwickshire County Council supports families with children from conception to 5 years old through our commissioned 0-5 Public Health Services. These services are currently provided by South Warwickshire Foundation Trust and are based out of a number of locations across Warwickshire, including the family home, health clinics and children's centres.

Delivery of these services consists of:

A.	Health Visiting, which includes:
o	The Healthy Child Programme (0-5)
o	Additional support for breastfeeding in the north of the county through a Health Visitor with a specialist lead role for Infant Feeding 
o	Additional support for families through the HENRY (health, exercise, nutrition for the really young) programme
o	Additional support for vulnerable families in the north of the county through targeted parenting programmes (Baby Steps)
o	Supporting the delivery of the Healthy Start Scheme

B.	Targeted support for all mums age 19 and under through the Family Nurse Partnership Programme (according to the licensed programme)",,,"West Midlands","85323000 ","Heather Boyd",heatherboyd@warwickshire.gov.uk,"Shire Hall",,WARWICK,CV344RL,England,01926412430,,,,,01/04/2018,31/03/2022,09/06/2017,NO,,No,No,No,Services,23456000,,01/12/2017,23456000,"[South Warwickshire NHS Foundation Trust|Heathcote House
Royal Leamington Spa Rehabilitation Hospital
Heathcote Lane
Warwick
CV34 6SR|NONE||No|No]",,01/04/2018,31/03/2022,"CompetitiveDialogueOJEU ",
"WCC 7931",Contract,"Warwickshire County Council",Awarded,2020-02-17T11:47:54Z,"Warwickshire Business Start Up Programme","Warwickshire County Council is looking to appoint a specialist organisation to deliver a start-up support service across Warwickshire. The service should provide support to new business start-ups in their first 24 months of trading and individuals who have ambitions to start a business

The service will be part funded by the European Regional Development Fund (ERDF), with this funding being matched by contributions from the Council, North Warwickshire Borough Council, Nuneaton and Bedworth Borough Council, Rugby Borough Council, Stratford-on-Avon District Council and Warwick District Council. Other funding (Government or other local funding) may be introduced into the contract in later years when ERDF funding comes to an end.

The Deadline for submissions is 12:00 noon on 23rd August 2019

This is an electronic tender exercise via the Council's etendering system and bidders will need to register on http://www.csw-jets.co.uk/ to participate.",,,"West Midlands","79410000 ","James Viggers",jamesviggers@warwickshire.gov.uk,"Shire Hall,Market Square",,WARWICK,CV344RL,England,,,,,,01/11/2019,31/12/2021,23/08/2019,YES,"WCC 7931",Yes,No,No,Services,0,2100000,08/10/2019,556062,"[Coventry & Warwickshire Chamber of Commerce|Chamber House,
Unit 8-9, Coventry Innovation Village
CV1 2TL
GB|COMPANIES_HOUSE|02478695|Yes|No]",,01/11/2019,31/12/2021,"OpenOJEU ",
00003730,Contract,"WARWICKSHIRE COUNTY COUNCIL",Awarded,2016-08-23T09:00:23Z,"Business Start-Up Support Services","Warwickshire County Council (the Authority),on behalf of North Warwickshire Borough Council, Rugby Borough Council, Stratford-on-Avon District Council and Warwick District Council is looking to appoint a specialist organisation to deliver a start-up support service across Warwickshire. 

The service should provide support to individuals who have ambitions to start a business and start-up businesses in their 1st 12 months of trading.

The service will be part funded by the England European Regional development Fund (ERDF) as part of the European Structural and Investment Funds Growth programme 2014-2020.",,,"West Midlands","79000000 ",,procurement@warwickshire.gov.uk,"Warwickshire County Council","Shire Hall",Warwick,"CV34 4SA",England,,,,,"The initial contract term will be until December 2018 however the Authority reserves the right to extend the contract by a further period of up to 12 months (12 months being the maximum available extension period.) 

Any extension is at the discretion of the Authority and subject to funding and the performance of the successful applicant. ",25/07/2016,31/12/2018,15/06/2016,NO,,Yes,Yes,No,Services,604103.2,,25/07/2016,604103.2,"[Coventry & Warwickshire Chamber of Commerce|Chamber House Innovation Village
Cheetah Road
Coventry
CV1 2TL|||No|No]",,25/07/2016,31/12/2018,"Open ",
00006274,Contract,"Warwickshire County Council",Awarded,2019-09-25T15:23:54Z,"WCC - Hospital Social Prescribing Service","Warwickshire County Council's aim is to make the County the best that it can be. Its vision is for Warwickshire's communities is to be supported to be safe, healthy and independent. Specifically: 

o Vulnerable members of our communities are supported to be independent and safe
o We support and coordinate other organisations to deliver services

The Hospital Social Prescribing Service will support the Council to achieve these aims. This service will offer individuals support through a holistic approach to their health and wellbeing. The service will support customers and carers to identify needs and work towards personal outcomes which enable independence and self-sufficiency. The service will signpost individuals towards community groups / resources and statutory services for any needs identified. The service will support timely discharge from hospital, reduce presentation to health and social care services and support individuals to avoid hospital readmission.",,,"West Midlands","85000000 ",,procurement@warwickshire.gov.uk,"Shire Hall",,Warwick,"CV34 4RL",England,,,,,,02/12/2019,01/12/2021,01/08/2019,NO,,Yes,Yes,No,Services,393000,,17/09/2019,393000,"[Age UK Coventry and Warwickshire|8 Clemens Street, 
Leamington Spa, 
Warwickshire, 
CV31 2DL|COMPANIES_HOUSE|4221822|No|Yes]",,02/12/2019,01/12/2021,"OpenNonOJEU ",
00003450,Contract,"WARWICKSHIRE COUNTY COUNCIL",Awarded,2016-04-28T12:35:40Z,"Mental Health and Learning Disability Wellbeing Hubs","Warwickshire County Council has commissioned an established network of Mental Health and Wellbeing Hubs. These Hubs provide information, advice and support to people on mental health and wellbeing, and offer a range of ways for people to access services

Warwickshire County Council has commissioned an established network of Learning Disability Wellbeing Hubs. These Hubs provide information, advice and support to people with learning disabilities by offering a community base that can:

•	Deliver access to information, advice and signposting.
•	Build community connections and inclusion.
•	Support the use of personalised budgets to access community life.",,,"West Midlands","85312000 ",,procurement@warwickshire.gov.uk,"Shire Hall","Market Place",Warwick,"CV34 4SA",England,,www.warwickshire.gov.uk/procurement,,,,01/07/2016,30/06/2021,10/02/2016,NO,,Yes,Yes,No,Services,3609600,,25/04/2016,3609600,"[Coventry & Warwickshire Mind|Wellington Gardens
Windsor Street
Spon End
Coventry
CV1 3BT|||No|No][Individual Support Solutions Ltd (ISS)|Powell House 
Church Street, 
Nuneaton, 
CV11 4DS|||No|No][Turning Point Services Ltd|Standon House, 
21 Mansell Street, 
London, 
E1 8AA|||No|No]",,01/07/2016,30/06/2021,"Open ",
