"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
BIP363032525,Contract,"settle Group",Awarded,2018-12-08T09:15:12Z,"Lot 1 - Contracts for the internal refurbishment","The Authority wishes to appoint suitably qualified and experienced service providers to enter into framework agreements for internal refurbishment to residential housing and flatted blocks owned by the Authority, comprising:
      
      Lot 1 -  Internal Refurbishment Programme",,,"East of England","50700000 ",,cleveland.gordon@settlegroup.org.uk,"Rowan House","Avenue one","Letchworth Garden City","SG6 2WW",UK,+441462474719,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=363032525 ",,14/01/2019,02/09/2022,30/11/2018,NO,,Yes,No,No,Works,5400000,,30/11/2018,5400000,"[Wates Construction Ltd T/A Wates Living Space (Maintenance) LTS|7th Floor
        Civic Centre
        Silver Street
        Enfield
        EM1 3XA|NONE||No|No]",,14/01/2019,02/09/2022,"Open ",
20190902180120-33132,Contract,"Cheshire Constabulary on behalf of the Police and Crime Commissioner for Cheshire",Awarded,2019-09-02T18:01:24Z,"Modernisation Programme - Phase 2 - Cheshire Fire Authority","***This is a Contract Award Notice***
Cheshire Fire Authority (CFA) - Modernisation Programme Phase 2.
Following the success of building 4 new Fire Stations at Alsager, Lymm, Powey Lane and Penketh Cheshire Fire Authority (CFA) is looking to invest in the modernisation and re-modelling of 21 of their Fire Stations to bring them up to a standard closer to the new builds. Tarporley and Bollington fire stations have been contracted to Cruden Construction group (via the Procure North West Lite Framework) to drive progress in the programme, this leaves 19 fire stations over the 5 year programme.
The Stations are located across the Cheshire Fire and Rescue Service area and vary in size, form of construction and date, these being from the 1960's to 1990's.
In January 2017 CFA commissioned condition surveys of all its stock, and this has identified that some of our Station are looking aged and in need of modernisation to extend their lifespan and make them a more suitable pleasant environment to work from. 
Following the completion of the condition surveys, a report was presented to the Authority and funding for a 5 year modernisation programme has been approved to the sum of £8.5m, with £3.5m being released at this stage.
The programme will include some development of a Cheshire Fire Service Corporate Image that will be used in some of the remodelling of Station frontages etc.

Procure North West Framework Suppliers in Lot 2 who responded to the  Project Initiation Form - Fire Station Modernisation Programme - Phase 2 CPA/SPU/1230F - Cheshire Fire Authority and expressed interest were invited to quote/mini-competition.   

The £165,653.87 value relates to the JCT Pre-Construction Services Agreement  dated 7/8/19 for the pre-construction works required in Year 1. The value of work awarded as the works progress will include the  agreed Design & Build contracts/values for the works required each year - and the associated pre-construction works for each year - This contract covers works in Phase Two/Years 1 -5. The Total budget for Modernisation Works from the Cheshire Fire Authority is £8.5m to be released in 2 stages - this contract is in stage 1 - which also covers Phase One/Year Zero works .",,,"North West","45000000 50700000 ","Helen Elliott",helen.elliott@cheshire.pnn.police.uk,"Headquarters, Clemonds Hey, Oakmere Road,",,"Winsford, Cheshire","CW7 2UA",ENG,"+44 1606362063",https://www.cheshirefire.gov.uk/,,,,14/06/2019,15/06/2019,13/06/2019,NO,,Yes,No,No,Works,0,8500000,07/08/2019,165643.87,"[Wates Construction Ltd|Wates House, Station Approach, Leatherhead, Surrey KT22 7SW|NONE||No|No]",,07/08/2019,31/03/2025,"Other ",
"COM1281 - AWARD",Contract,"Parliament UK",Awarded,2018-05-25T08:29:08Z,"COM1281 - Northern Estate Programme: Main Works Contracting Partner - AWARD","The appointment of a Main Works Contracting Partner to provide pre-construction services and construction/refurbishment works for the Northern Estate Programme and other interfacing Parliamentary Estate works. 
      The anticipated scope, services and works required are as stated in the Memorandum of Information.
      The construction/refurbishment works are likely to span a three-to-four year period from financial year 2018/19 to 2021/22. The Main Works Contracting Partner's pre-construction management team will be appointed in advance of commencing the construction/refurbishment to work alongside the already appointed Architect & Lead Design, Engineering and Programme, Project and Cost Management partners to progress the concept design through the developed and technical design stages. 
      For further details please refer to the Memorandum of Information.",,"SW1A 0AA",London,"44000000 50710000 71241000 45420000 45450000 45320000 51700000 71242000 50721000 45410000 71250000 71246000 45000000 71248000 45330000 71244000 44100000 45315100 92522100 45351000 71500000 45212314 71000000 71300000 45262660 50760000 50720000 50750000 71247000 45210000 45350000 71240000 92522000 71530000 65000000 45440000 45453000 45262700 51500000 45340000 71632200 51000000 51300000 45262690 71510000 45200000 71520000 45213000 45213100 45100000 65300000 65200000 45213150 45310000 65100000 71600000 45212353 45454100 51600000 51100000 71540000 50730000 45453100 50700000 45500000 45400000 45300000 45430000 71700000 71324000 71245000 92522200 ","Parliamentary Procurement & Commercial Service",ppcs@parliament.uk,"7 Millbank",London,London,"SW1A 0AA","United Kingdom",02072191600,,,,,11/05/2018,10/05/2024,28/03/2017,NO,,No,No,No,Works,400000000,650000000,11/05/2018,650000000,"[Wates Construction Ltd|5 Wilton Road, The Peak, London, Surrey, United Kingdom, SW1V 1AN|NONE||No|No]","Alec Jackman",11/05/2018,10/05/2024,"Negotiated ",
T/11419,Contract,"LONDON & QUADRANT HOUSING TRUST LIMITED",Awarded,2017-07-25T15:49:48Z,"Internal Refurbishment Programme 2017-2021","The anticipated works include:
the replacement of kitchens, bathrooms and associated electrical works;
electrical testing;
minor and major aids and adaptions (A and As) work for residents with reduced mobility;
asbestos management; asbestos surveys via Service Provider's UKAS accredited consultant; asbestos removal works to be carried out by Service Provider's Licenced Asbestos Removal Service Provider;
associated building works; and
role of Principal Designer (PD) under CDM Regulations 2015 at point of contract award.",,,"London,South East","45453000 ",,Procurement@lqgroup.org.uk,"Kings Hall Mews",Lewisham,London,"SE13 5JQ",England,,,,,,27/06/2017,31/03/2018,13/03/2017,NO,,Yes,No,No,Works,34100000,,16/06/2017,34100000,"[Wates Construction Ltd|Wates House 
Station Approach
Leatherhead
KT22 7SW|||No|No][Keepmoat Regeneration Ltd|The Waterfront
Lakeside Boulevard
Doncaster 
DN4 5PL|||No|No][United Living (South) Ltd|Media House
Azalea Drive
Swanley
BR8 8EX|||No|No][Amber Construction Services Ltd|Unit 5
Rippleside Commercial Estate
Barking
IG11 0RJ|||No|No]",,27/06/2017,31/03/2018,"Open ",
"
            MT157969",Contract,"NPS Property Consultants Ltd",Awarded,2015-08-24T16:45:32Z,"The Social Infrastructure Development (SID) Framework","The SID Framework will be used to develop and deliver social infrastructure projects including schools, housing, libraries, police stations, care homes and primary healthcare through mixed development of a site or sites in public or charitable ownership. The main aim of the panel is to deliver social infrastructure using the development value of surplus public or third sector assets and to make the procurement of a developer as quick and efficient as possible for both private sector panel members and public sector panel users.",,,"Scotland,North East,Yorkshire and the Humber,North West,East Midlands,West Midlands,East of England,South East,South West,Wales,Northern Ireland","45000000 45100000 45110000 45112000 45112300 45112400 45112420 45112500 45112600 45112700 45113000 45200000 45210000 45211350 45211360 45212000 45214000 45215000 45216000 45220000 45230000 45260000 45300000 45111000 45112100 70000000 71000000 71200000 71220000 71230000 71240000 71247000 71248000 71250000 71251000 71300000 71310000 71311000 71311200 71311220 71311300 71312000 71313000 71313200 71313400 71313410 71313420 71313430 71313440 71313450 71314000 71314100 71314200 71314300 71315000 71317210 71318000 71320000 71321000 71321100 71321200 71321300 71321400 71322000 71322100 71324000 71325000 71326000 71330000 71333000 71334000 71336000 71340000 71350000 71351000 71351810 71351914 71355000 71400000 71410000 71500000 71510000 71520000 71530000 71540000 ","Mike Britch",procurement.barnsley@nps.co.uk,"Lancaster House","16 Central Avenue, St. Andrews Business Park",Norwich,"NR7 0HR","
              England
            ","+44 1226772782",http://www.nps.co.uk/,,"http://www.mytenders.org/search/show/search_view.aspx?ID=AUG113752 ",,01/09/2015,31/08/2019,12/12/2014,NO,,Yes,No,No,Works,3000000000,,31/07/2015,0,"[Wates Construction Ltd|2Nd Floor, The Peak,5 Wilton Road, London|||No|No][Msil|10 Furnival Street,London, London|||No|No][Ccg(Scotland)Ltd|1 Cambuslang Road,Cambuslang Investment Park, Glasgow|||No|No][Willmott Dixon Construction Ltd|Munro House,Portsmouth Road, Cobham|||No|No][Bouygues Uk|Elizabeth House,39 York Road, London|||No|No]",,01/09/2015,31/08/2019,"Restricted ",
BIP302423303,Contract,"Teesside University",Awarded,2018-02-13T16:32:09Z,"GB-Middlesbrough: National Horizon Centre, Darlington","The National Horizons Centre project is receiving up to £3.8m of funding from the England European Regional Development Fund as part of the European Structural and Investment Funds Growth Programme 2014-2020. The Department for Communities and Local Government (and in London the intermediate body Greater London Authority) is the Managing Authority for European Regional Development Fund.
      
      Established by the European Union, the European Regional Development Fund helps local areas stimulate their economic development by investing in projects which will support innovation, businesses, create jobs and local community regenerations.
      
      For more information visit https://www.gov.uk/european-growth-funding.
      
      The works comprise the design and construction of a new three storey research and teaching facility along with associated drainage and external works. The new building will provide a range of laboratory accommodation and associated support spaces to support the expansion of Teesside University's Darlington Campus. The external works will include the design and construction of new car parking, service yard and boulevard areas along with a connection to the recently completed spine road to the south.",,,"North East","45214610 ",Procurement,tenders@tees.ac.uk,"Borough Road",,Middlesbrough,"TS1 3BA",UK,01642342166,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=302423303 ",,22/11/2017,31/03/2018,21/11/2017,NO,,No,No,No,Works,10626000,,21/11/2017,10626000,"[Wates Construction Ltd|Maple House
        Tillage Green
        West Park Village
        Darlington
        DL2 2GL|NONE||No|No]",Procurement,22/11/2017,31/03/2018,"NotSpecified ",
DIOCB6/016/001,Contract,"MINISTRY OF DEFENCE",Awarded,2016-12-02T13:49:49Z,"Transparency only - Award to National Framework Contractor For Construction Work at  RAF Marham (ANVIL)","Design and build of new Sqn accommodation, QRF accommodation, GSES Store and refurbishment of HAS's.",,,"East of England","45000000 ",,DIOComrcl-LightningII@mod.uk,"DIO, First floor, Bazalgette Pavillion","RAF Wyton",Huntingdon,"PE28 2EA",England,,,"MTN ANNEX K - Contract Data - REDACTED VERSION.doc ",,,01/12/2016,03/04/2018,29/11/2016,NO,,No,No,No,Works,26915561,,29/11/2016,0,"[Wates Construction Ltd|Wates House, Station Approach, Leatherhead, Surrey.  KT22 7SW|||No|No]",,01/12/2016,03/04/2018,"Restricted ",
SHEFCC001-DN264111-41724496,Contract,"Sheffield City Council",Awarded,2017-11-10T08:42:44Z,"SH05130 - Electrical Upgrade Programme 2017-2021","The aim of this project is to bring approximately 11,250 properties up to a modern day electrical standard by March 2021. Many of our properties have not received electrical works for decades, and the Decent Homes programme did not fund a whole house dedicated programme of electrical works. This 4 year programme - which is identified as a priority in the HRA Business Plan - will therefore include the following works:
Statutory or Regulatory Requirements:
•	Install Isolation Switch.
•	Carry out an initial periodic condition test and report. 
•	Address Category 1, 2 and 3 issues identified by the periodic test. 
•	Ensure earth bonding is adequate.
•	Install earth wiring to lighting circuits.
•	Install Hard Wired Smoke alarms.
•	Carry out final periodic tests.
•	Replace consumer unit to provide improved RCD protection
•	Install additional sockets and / or improve the spread of sockets.
•	Install Carbon Monoxide Detectors.
•	Install external lighting to houses, bungalows & flats.                                                                                                                
                                                                                                                                                                                                           The Council intends to appoint 2 contractors so those with the highest scores following the tender evaluation will be appointed.",,,"Yorkshire and the Humber","45310000 ","Lisa Oxley",lisa.oxley@sheffield.gov.uk,"Capital Delivery Service","Level 3, East Wing, Moorfoot",Sheffield,"S1 4PL","United Kingdom","+44 1142736215",https://www.sheffield.gov.uk/,,,,06/11/2017,06/03/2021,28/06/2017,NO,,No,No,No,Works,13400000,13400000,07/11/2017,20972472,"[Wates Construction Ltd|Unit 1, Peacock Industrial Estate, Livesey Street, Sheffield S6 2BL|||No|No][Kier Services Ltd|Thorncliffe Hall, Thorncliffe Park Estate, Newton Chambers Road Chapeltown Sheffield S35 2PH|||No|No]",,10/11/2017,31/03/2021,"Restricted ",
2015/06/01,Contract,"Amicushorizon Ltd",Awarded,2015-06-17T09:18:49Z,"Remedial works to 33a Miller Road SW19","Remedial works to 33a Miller Road SW19",,,London,"45000000 ",,procurement@amicushorizon.org.uk,"Grosvenor House","125, High Street",Croydon,"CR0 9XP",England,,,,,,04/06/2015,04/07/2015,04/06/2015,NO,,Yes,No,No,NotApplicable,28528,,04/06/2015,28528,"[Wates Construction Ltd|Wates House
Station Approach
Leatherhead
Surrey 
KT22 7SW|||No|No]",,04/06/2015,04/07/2015,"NotApplicable ",
tender_211453/886774,Contract,"Ministry of Justice.",Awarded,2020-09-11T13:46:14Z,"HMPPS Littlehey-Heating Pipework Replacement-BPRN No.542/17/4090","HMPPS Littlehey - Heating Pipework Replacement.
BPRN 542/17/4090
Constructor",,,"Any region","71541000 ","Gavin Mullings",categorymanagementestatesteam@justice.gov.uk,"102 Petty France",,london,"SW1H 9AJ",England,,,,,,14/02/2020,23/05/2023,19/08/2019,NO,,No,No,No,Works,4624641,,20/02/2020,4624641,"[Wates Construction Ltd|2 Lochside View, Edinburgh, EH12 9DH|NONE_OTHER||No|No]",,27/02/2020,23/05/2023,"CallOffFromFrameworkAgreement ",,19:00
tender_143026/817566,Contract,"Ministry of Justice.",Awarded,2019-12-05T14:57:06Z,"HMP Maidstone Chapel and CSU Boiler & Kent Wing Refurbish. BPRN 1086 - Constructor","HMP Maidstone Chapel and CSU Boiler & Kent Wing Refurbish - BPRN 1086.
CONSTRUCTOR",,,"South East","71500000 ",,categorymanagementestatesteam@justice.gov.uk,"102 Petty France",,London,"SW1H 9AJ",England,,,,,,05/01/2018,05/01/2021,28/07/2017,NO,,No,No,No,Services,1552819,,14/11/2017,1552819.68,"[Wates Construction Ltd|184-192 Drummond Street, London NW1 3HP|NONE||No|No]",,05/01/2018,05/01/2021,"CallOffFromFrameworkAgreement ",
LPOOL001-DN356543-25033485,Contract,"Liverpool City Council",Awarded,2018-07-31T11:48:57Z,"Cruise Hotel Further design","Further design and the preparation of all supporting documentation required to enable submission of Planning Applications for the Cruise Liner Hotel",,,"North West","71200000 71500000 ","Lorraine Cross",lorraine.cross@liverpool.gov.uk,"4th Floor, Cunard Building",,Liverpool,"L3 1DS","United Kingdom","+44 1512330593",http://www.liverpool.gov.uk,,,,10/06/2018,01/07/2019,08/06/2018,NO,,No,No,No,Services,0,1,09/06/2018,0,"[Wates Construction Ltd|42 Henry St Liverpool|NONE||No|No]",,10/06/2018,01/07/2019,"DirectAward ",
"Window replacement at 33 Redstone Hill",Contract,"AMICUSHORIZON LIMITED",Awarded,2015-12-18T13:54:32Z,"Window replacement at 33 Redstone Hill","Window replacement project at 33 Redstone Hill",,,"South East","45200000 ","Fawzeya Bastaki",procurement@amicushorizon.org.uk,"125 High Street",Croydon,Surrey,"CR0 9XP",England,,,,,,05/11/2015,05/11/2015,05/11/2015,NO,,No,No,No,Works,56226.15,,05/11/2015,56226.15,"[Wates Construction Ltd|Wates House
Station Approach
Leatherhead
Surrey KT22 7SW|||No|No]",,05/11/2015,05/11/2015,"Restricted ",
