"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
SUN001-DN429775-75376404,Contract,"Sunderland City Council",Awarded,2019-09-19T15:08:02Z,"MAINTENANCE AND SUPPORT FOR SMOOTHWALL","Award to XMA Ltd",,,"North East","48200000 ","Victoria Walton",victoria.walton@sunderland.gov.uk,"Civic Centre","Burdon Road",Sunderland,"SR2 7DN",England,"+44 1915612362",http://www.sunderland.gov.uk/,,,,01/11/2019,31/10/2021,09/09/2019,NO,,Yes,No,No,NotSpecified,62616,62616,19/09/2019,62616,"[XMA Ltd|Unit 44, Wilford Industrial Estate, Ruddington Lane, Wilford, Nottingham, Nottinghamshire, NG11 7EP|NONE||No|No]",,01/11/2019,31/10/2021,"Other ",
con_COL_7822,Contract,"THE CITY OF LONDON",Awarded,2016-08-12T13:36:01Z,"XMA EUD (Call Off Contract) EA16-NFC39","CCS E-Auction for End user Devices (Laptops, Pc, Monitors, Tablets)",,,London,"30200000 ","Robert Pine",robert.pine@cityoflondon.gov.uk,"PO Box 270",Guildhall,London,"EC2P 2EJ",England,,,,,,02/06/2016,01/06/2018,01/06/2016,NO,,Yes,No,No,Products,393000,,22/06/2016,393000,"[XMA Ltd|Unit 44 Wilford Industrial Estate
Ruddington Lane
Wilford
Nottingham
NG11 7EP|||No|No]",,02/06/2016,01/06/2018,"Restricted ",
0440/2,Contract,"ESSEX COUNTY COUNCIL",Awarded,2017-08-25T14:58:38Z,"ICT Peripherals","A single supplier for the provision of ICT Peripherals as required ensuring best value and quality of goods for ECC and its service users.  The successful supplier will provide our core list requirements and discount on any other items within their catalogue with the aim to:
•	Simplify the ordering process for customers and fulfil delivery of orders quickly and within an agreed Service Level Agreement. 
•	Provide customer self-service of ""IT approved"" items via an e-catalogue 
•	Reduce the processing cost/burden within Information Services (quote, ordering, receipting, stores etc) and minimize delays as a result.
•	Continually benchmark against markets and provide and evidence of ongoing value for money on pricing and shipment.
•	Establish a proactive and customer oriented relationship working collaboratively with ECC
As part of the requirement ECC is seeking to obtain flexibility with regards to its ability to allow Public Sector partner organisations (including any future successor organisation(s) to the functions exercised by any such organisations) to utilise the benefits of the contract. These other public sector bodies include:
Essex County Council including partly owned joint ventures, subsidiaries and Local Authority Trading Vehicles and Companies and any of its statutory successors and further legal entities / organisations created (whether as a result of re-organisation or organisational changes occurring) during the life of the procured agreement. Details of existing companies are as follows: 
Anglia Ruskin Health Partnership Ltd, Essex Cares Ltd, ECL Trading Limited, Essex Equipment Services Ltd, Essex Community Support Ltd, Essex Employment and Inclusion Ltd, Essex LEP Ltd, Essex School (Holdings) Ltd, Essex Schools Ltd,  Essex Schools Holdings (Woodlands) Ltd, Essex Trade and Investment Ltd, iESE Limited, Library Services (Slough) Ltd, Vine HR Ltd, TDFHUB2014 Ltd, Essex Assist Ltd, Essex Legal Services Ltd, Exwaste Ltd, Remade Essex Ltd and Smarte East Ltd.  This list is not exhaustive;
Full Members of the Essex Online Partnership:
Basildon Borough Council, Braintree District Council, Brentwood Borough Council, Castle Point Borough Council, Chelmsford City Council, Colchester Borough Council
Essex Fire & Rescue, Essex Police, Harlow District Council, Maldon District Council
Rochford District Council, Southend-on-Sea Borough Council, Tendring District Council, Thurrock Borough Council, Uttlesford District Council.

It is proposed that the Framework would be procured on terms which would allow access for other Public Sector organisations including but not limited to subsidiaries, LATVs, LATCs,.
Unitary, Borough and District Councils, subsidiaries, LATVs and LATCs,. - http://www.local.gov.uk/digital-councils/connect/a-z-councils-online.,
Higher Education Institutes / Universities - http://www.education.gov.uk/edubase/home
NHS partners https://www.gov.uk/government/publications/nhs-foundation-trust-directory).
CQC partners - http://www",,,"East of England","30232000 ","Kate Fabricant",kate.fabricant@essex.gov.uk,"Essex County Council, Commercial Services","PO Box 4, County Hall, Market Road",Chelmsford,"CM1 1JZ",England,"0333 0136 394",www.essex.gov.uk,"0440 Standard Selection Questionnaire.docx 0440 ECC Invitation to tender.docx ",,"The terms & conditions will be in the tender pack on the portal.",01/06/2017,31/05/2020,02/05/2017,YES,0440,Yes,No,No,Products,0,5000000,24/08/2017,5000000,"[XMA Ltd|Unit 44 Wilford Industrial Estate
Ruddington Lane
Nottingham
NG117EP|||No|No]",,25/08/2017,24/08/2019,"Open ",
HCON00383,Contract,"HEALTH AND SOCIAL CARE INFORMATION CENTRE",Awarded,2015-12-30T11:06:56Z,"HP BL460c Blade Servers & Server Memory","Provision of blade servers and memory upgrades",,,"Yorkshire and the Humber,South West","30200000 ",,enquiries@hscic.gov.uk,"1 Trevelyan Square","Boar Lane",Leeds,"LS1 6AE",England,,,,,,01/01/2016,01/01/2017,13/11/2015,NO,,Yes,No,No,Products,92599.14,,14/12/2015,92599.14,"[XMA Ltd|Wilford Industrial Estate
Ruddington Lane
Wilford
Nottingham
NG11 7EP|||No|No][CSA Waverley Ltd|Maindec House
Holtspur Lane
Wooburn Green
Buckinghamshire
HP10 0AB|||No|No]",,01/01/2016,01/01/2017,"Other ",
BIP538633001,Contract,"Student Loans Company",Awarded,2020-10-28T16:45:03Z,"GB-Glasgow: Supply of HP blade enclosures","Supply of HP blade enclosures",,,Scotland,"30215000 ","Linda Milne",linda_milne@slc.co.uk,"100 Bothwell Street",,Glasgow,"G2 7JD",UK,01413062053,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=538633001 ",,20/03/2020,18/03/2021,19/03/2020,NO,,No,No,No,Products,95530,,19/03/2020,95530,"[XMA Ltd|WILFORD INDUTRIAL ESTATE RUDDINGTON LANE WILFORD NOTTINGHAM NG11 7EP
        RUDDINGTON LANE
        WILFORD
        NOTTINGHAM
         NG11 7EP|NONE||No|No]","Jim Harvey",20/03/2020,18/03/2021,"NotSpecified ",,00:00
BRISTOLCC001-DN487906-97186687,Contract,"Bristol City Council",Awarded,2020-10-12T11:27:27Z,"Provision of Two X86_64 Based Servers","Provision of Two X86_64 Based Servers",,,England,"72000000 ","George Rana",george.rana@bristol.gov.uk,"V4S/Bloom Procurement Services","Point 5, New Eden House, Fletcher Road","Gateshead,","NE8 2ET","United Kingdom","+44 1179222222",https://www.bristol.gov.uk/,,,,05/10/2020,04/10/2025,31/07/2020,NO,,No,No,No,Products,60000,60000,25/08/2020,150000,"[XMA LTD|NG11 7EP|NONE||No|No]","Miss Nancy Clayton - Schofield",31/08/2020,30/08/2025,"Open ",,12:00
tender_239117/889124,Contract,"Department for Work and Pensions",Awarded,2020-09-23T12:02:31Z,"Contract award for audio devices and service and maintenance","x349 Neal audio recording devices for health assessments and a 3 year maintenance and service package for the hardware",,,"Any region","50312600 50312610 ",,COMMERCIALDIRECTORATE.CHAPS@DWP.GSI.GOV.UK,"Department for Work and Pensions, Peel Park, Blackpool, Lancashire",,Blackpool,"FY4 5ES",England,,,"Audio equipment order form ecm 8129 REDACTED.docx.pdf ",,,31/03/2020,30/07/2023,02/03/2020,NO,,No,No,No,Products,483044.08,,03/02/2020,483044.08,"[XMA Ltd|Nottingham, Wilford Industrial estate, Ruddington Lane, NG117EP|NONE_OTHER||No|No]",,31/03/2020,30/07/2023,"CallOffFromFrameworkAgreement ",,12:00
20200727160028-30493,Contract,"West Mercia Police Procurement Department",Awarded,2020-07-27T16:00:55Z,"FURTHER COMPETITION WARWICKSHIRE POLICE IT SERVICES UNDER FRAMEWORK RM3804 TECHNOLOGY SERVICES LOT3b","Further Competition via CCS Framework RM3804 Technology Services - Lot3b for an IT Managed Service Partner for Warwickshire Police",,,"West Midlands","72514200 ","Caroline Plane",caroline.plane@warwickshire.pnn.police.uk,"PO Box 4","Leek Wootton",Warwickshire,"CV35 8QB",ENG,"+44 01926 415820",www.warwickshire.police.uk,,"https://uk.eu-supply.com/app/rfq/rwlentrance_s.asp?PID=32466&B=BLUELIGHT https://uk.eu-supply.com/ctm/Company/CompanyInformation/Index/30493 ",,01/09/2020,31/08/2024,17/04/2020,NO,,Yes,No,No,Services,1,2,01/07/2020,2000000,"[XMA Ltd|Unit 7 Handley Page Way, St Albans, AL2 2DQ|NONE||No|No]","Jim Deal",01/09/2020,31/08/2024,"Other ",
tender_235381/862061,Contract,"University of Bristol",Awarded,2020-06-12T10:16:00Z,"HPC BluePebble Migration Platform and Nodes","HPC BluePebble Migration Platform and Nodes purchased via Direct Award from Lot 3b (HPC) of the SUPC SSSNA Framework agreement",,,"South West","30200000 ",,purchasing-office@bristol.ac.uk,"4th Floor, Augustine&apos;s Courtyard, Orchard Lane",,Bristol,"BS1 5DS",England,,,,,,02/06/2020,05/06/2025,28/05/2020,NO,,No,No,No,Products,349235,,02/06/2020,349235,"[XMA Ltd|7 Handley Page Way, Colney Street, St Albans, Herts. AL2 2DQ|NONE_OTHER||No|No]",,02/06/2020,05/06/2025,"CallOffFromFrameworkAgreement ",
BIP485426628,Contract,"Dorset Health Care University NHS Foundation Trust",Awarded,2020-04-14T12:40:02Z,"GB-Poole: Cisco Network Equipment","Supply of Cisco network equipment for the integrated urgent care service for Dorset HealthCare University NHS Foundation Trust",,,"Any region","32429000 32427000 32400000 ","Craig Miles",craig.miles1@nhs.net,"Sentinel House","Nuffield Road",Poole,"BH1 4JQ",UK,01202277277,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=485426628 ","The contracting authority considers that this contract may be suitable for economic operators that are small or medium enterprises (SMEs). However, any selection of tenderers will be based solely on the criteria set out for the procurement.",20/03/2020,09/03/2021,19/03/2020,NO,,No,No,No,Products,44277,,19/03/2020,44277.59,"[XMA Ltd|1 Quarry Court
        Beacon Hill Road
        Halifax
        HX6 6AQ|NONE||No|No]","Richard Field",20/03/2020,09/03/2021,"Open ",
