"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
"CCSO17B80 - 00163110",Contract,"Crown Commercial Service",Awarded,2018-06-28T13:29:31Z,"CO - Bespoke Electoral Management System modifications contract","This contract has already been awarded and is published for transparency purposes.
 The Cabinet Office supports the Prime Minister and ensures the effective running of government. It is also the corporate headquarters for government, in partnership with HM Treasury, and takes the lead in certain critical policy areas.
 A contract for the provision of bespoke modifications to the Xpress Software Ltd Electoral Management System ('EMS') product.",,,"North East,North West,Yorkshire and the Humber,East Midlands,West Midlands,East of England,London,South East,South West,Scotland,Wales,Northern Ireland,Isle of Man,Channel Islands","48000000 ","Crown Commercial Service",supplier@crowncommercial.gov.uk,"Floor 9, The Capital Building, Old Hall Street",,Liverpool,"L3 9PP",England,3450103503,https://www.gov.uk/government/organisations/crown-commercial-service,"00163110; EMS - Contract Award Letter v1.0.pdf ",,,01/04/2017,31/03/2018,31/03/2017,NO,,No,No,No,Services,415950,,31/03/2017,415950,"[XPRESS SOFTWARE SOLUTIONS LIMITED|1 Brassey Road SY3 7FA SHREWSBURY England|NONE||Yes|No]",,01/04/2017,31/03/2018,"CompetitiveQuotationNonOJEU ",
LPOOL001-DN377109-88976413,Contract,"Liverpool City Council",Awarded,2019-05-10T16:53:11Z,"Electoral Software for Merseyside Collaborative Authorities","Electoral Software and Associated Services for Liverpool City Council, Knowsley Borough Council, Preston City Council, Rossendale Borough Council, Sefton Borough Council, St Helens Borough Council, Wirral Borough Council",,,"North West","48000000 ","Paul Christie",paul.christie@liverpool.gov.uk,"4th Floor","Cunard Building",Liverpool,"L3 1DS",England,"+44 1512330591",http://www.liverpool.gov.uk,,"https://procontract.due-north.com/Advert?advertId=a0275ca5-92e9-e811-80ef-005056b64545 ",,08/04/2019,07/04/2022,02/01/2019,NO,,Yes,No,No,Services,400000,400000,02/04/2019,400000,"[Xpress Software Solutions|303 Sperry Way, Stonehouse Business Park, GL10 3UT|NONE||Yes|No]",,08/04/2019,07/04/2022,"Open ",
DN401496,Contract,"REDCAR & CLEVELAND BOROUGH COUNCIL",Awarded,2019-03-30T19:25:40Z,"Elections Software Maintenance","Elections Software Maintenance",,,"North East","72267000 ","Michelle Gray",michelle.gray@redcar-cleveland.gov.uk,"Redcar & Cleveland House,Kirkleatham Street",,REDCAR,TS101RT,England,"01642 771257",www.redcar-cleveland.gov.uk,,,,01/04/2019,31/03/2023,24/01/2019,NO,,Yes,No,No,Services,50000,,28/01/2019,50000,"[Xpress Software Solutions|N8 0NW|NONE||No|No]",,01/04/2019,31/03/2023,"Other Exemption",
CHEAST001-DN399635-10308782,Contract,"Cheshire East Borough Council",Awarded,2019-03-20T15:10:42Z,"18 003 Election Management Software","**********************************THIS IS AN AWARDED OPPORTUNITY ****************************                                               Cheshire East BC have awarded a contract for specialised software in order to run the following functions:
Electoral Registration
Elections
Scanning of forms in relation to Electoral Registration and Elections
Postal Vote Verification and Checking
Automated Registration Response Service",,,"North West","48000000 ","Ann Cleary",ann.cleary@cheshireeast.gov.uk,Westfields,"Middlewich Road",Sandbach,"CW11 1HZ",England,"+44 86595",http://www.cheshireeast.gov.uk/,,,,01/09/2018,31/08/2025,01/08/2018,NO,,Yes,No,No,Products,84000,84000,14/08/2018,84000,"[Xpress Software Solutions Ltd|33 Clarendon Road, London N8 0NW|NONE||Yes|No]","Jamie Doig",01/09/2018,31/08/2025,"Other ",
C6116,Contract,"Doncaster Metropolitan Borough Council",Awarded,2018-09-25T11:08:25Z,"Electoral Management Software","Electoral Management Software.",,,"Yorkshire and the Humber","48000000 72222200 ","Andrea Gater",andrea.gater@doncaster.gov.uk,Waterdale,,DONCASTER,DN13BU,England,"01302 734537",,,,,02/09/2018,31/08/2020,15/08/2018,NO,,No,No,No,Services,30000,,31/08/2018,30000,"[Xpress Software solutions|South West
Stroud
Stonehouse|NONE||Yes|No]",,03/09/2018,31/08/2020,"CallOffFromFrameworkAgreement ",
"HDC 204",Contract,"Harborough District Council",Awarded,2017-12-01T14:53:41Z,"Elections canvassing tablets and software","Elections canvassing tablets and software  contract awarded to sole eligible provider",,,"East Midlands","30200000 ",,commissioning@harborough.gov.uk,"Harborough District Council Offices, The Symington Building,","Adam & Eve Street,","Market Harborough","LE16 7AG",England,,,,,,01/09/2017,31/08/2019,08/08/2017,NO,,Yes,No,No,Products,20890,,15/08/2017,20890,"[Xpress Software Solutions Limited|The Election Centre, Clarendon Road, London N8 0NW|COMPANIES_HOUSE|04152280|Yes|No]",,01/09/2017,31/08/2019,"Other Quotation",
"QU0879 - AWARD",Contract,"Milton Keynes Council Electronic Tendering Site",Awarded,2017-03-28T09:26:17Z,"Procurement of Electoral Management Software - AWARD","The software will enable Milton Keynes Council to run all administrative aspects of the electoral service in accordance with the relevant legislation including, the annual canvass, individual elector registration, all elections and referenda, the Count, absent votes and associated scanning processes relating to these tasks.",,"MK9 3EJ","Any region","72268000 48100000 48170000 48000000 ","Ruth Holt",ruth.holt@milton-keynes.gov.uk,"1 Saxon Gate East","Silbury Boulevard","Central Milton Keynes","MK9 3EJ","United Kingdom","01908 25 4744",,,,,03/04/2017,31/03/2022,14/03/2017,NO,,No,No,No,Services,0,,24/03/2017,49975,"[Xpress Software Solutions Ltd|303 Sperry Way, Stonehouse Business Park, Stonehouse, Gloucestershire, United Kingdom, GL10 3UT|||No|No]","Jamie Doig",03/04/2017,31/03/2022,"Open ",
DAR001-DN335924-33847575,Contract,"Darlington Borough Council",Awarded,2018-04-23T16:02:59Z,"Election management solutions","Election management solutions",,,"North East","85000000 ","Damian Perry",damian.perry@darlington.gov.uk,"Town Hall",Feethams,Darlington,"DL1 5QT","United Kingdom","+44 1325405498",http://www.darlington.gov.uk,,,,01/04/2018,31/03/2023,01/03/2018,NO,,Yes,No,No,Services,62053,62053,31/03/2018,62053.05,"[Xpress Software Solutions Ltd|GL10 3UT|NONE||Yes|No]","Mr Jamie Doig",01/04/2018,31/03/2023,"DirectAward ",
DN302089,Contract,"ROTHERHAM METROPOLITAN BOROUGH COUNCIL",Awarded,2017-11-09T12:33:34Z,"17-085 Renewal of Electoral Services Software","This has been awarded via the G-Cloud 9 framework. The initial term for this is 1 year with the option to extend for 1 year.",,,"Yorkshire and the Humber","48000000 ","Matt Everatt",matthew.everatt@rotherham.gov.uk,"Riverside House",,Rotherham,"S60 1AE",England,,,,,,01/04/2018,31/03/2020,09/11/2017,NO,,Yes,No,No,Services,35200,,09/11/2017,0,"[Xpress Software Solutions Ltd|303 Sperry Way,
Stonehouse Business Park,
Stonehouse,
Gloucestershire,
GL10 3UT,
United Kingdom,|||No|No]",,01/04/2018,31/03/2020,"Other Direct award through G-Cloud 9",
TD0965/2,Contract,"Derby City Council",Awarded,2017-02-06T12:48:52Z,"Elections and Electoral Roll Management Software","The requirement is for an Electoral Registration System that maintains details of those eligible to be included on the electoral register. The register currently comprises of around 180,000 electors and produces monthly electoral registers for use by the Electoral Registration Officer's team, Political Parties and other organisations.

The system should be able to operate in line with changing guidance on Individual Electoral Registration (IER) which was first implemented in June 2014. We would like the system to link with Open Text (the Councils Document Management System) so that forms can be scanned to the Electoral system at point of receipt into the building. We also need the facility to bulk email / text electors where required to save paper forms going to households. The new system needs to have the flexibility to manage more efficiently the process of notifying electors of changes or the requirement to take action to register through electronic channels such as online sources, email and text messaging.

The system should also be capable of managing an election through Candidates and Agents details, nominations, staffing, production of poll cards, ballot papers and the management of the postal voting system. The system needs to link through Government Connect to external sites such as DWP, electoral roll and print service suppliers. Ideally the system should be capable of running / hosting a results service and publishing data relating to this via the Council's website.

Please note, suppliers wishing to express interest and obtain the documentation, must do so by 14:00 on 03/11/2016. It is recommended that you express interest and obtain the documentation well before this time to allow sufficient time to prepare and submit a comprehensive response. The deadline for returns is 14:00 on 04/11/2016. You must visit https://www.eastmidstenders.org to express interest and obtain the documents. Please note we will only accept expressions of interest through the e-tendering system.",,"DE1 2FS",,"48000000 ","Samina Rashid",procurement@derby.gov.uk,"Council House,",Corporation,Derby,"DE1 2FS",England,+441332640768,https://www.eastmidstenders.org,,,"Contract end date is 31/03/2020 with two annual options to extend until 31/03/2022.",01/04/2017,31/03/2020,03/11/2016,YES,TD0965,Yes,No,No,Services,48000,80000,17/01/2017,80000,"[Xpress Software Solutions Ltd|33 Clarendon Road, London, N8 0NW|||No|No]",,01/04/2017,31/03/2022,"Open ",
